# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 4.758616497931249939e-02 -4.758616497931249939e-02 0.000000000000000000e+00
3.067961575771282340e-02 4.870117603413066237e-02 -4.864259653957627577e-02 2.387959169538747452e-03
6.135923151542564680e-02 5.156605215161954442e-02 -5.116115483271788111e-02 6.449338778992360841e-03
9.203884727313846326e-02 5.508812634237893885e-02 -5.353866770794789981e-02 1.297353937720317589e-02
1.227184630308512936e-01 5.818280310043264653e-02 -5.408123118783347838e-02 2.145830864331629839e-02
1.533980787885641239e-01 6.016583324940741329e-02 -5.191756419177858545e-02 3.040549323704597184e-02
1.840776945462769265e-01 6.091210982633531168e-02 -4.746551907195325354e-02 3.817472492010356988e-02
2.147573103039897569e-01 6.091021213200240036e-02 -4.217752330963648461e-02 4.394440202608977664e-02
2.454369260617025872e-01 6.121293554651820873e-02 -3.766760687752455233e-02 4.825116444545620581e-02
2.761165418194154175e-01 6.314127631872684665e-02 -3.466237089693580825e-02 5.277632820650819678e-02
3.067961575771282479e-01 6.766133226393024336e-02 -3.234350687117361345e-02 5.943024017286412802e-02
3.374757733348410782e-01 7.480116372153609861e-02 -2.848490644611925346e-02 6.916519499612418242e-02
3.681553890925538530e-01 8.365486886896456031e-02 -2.040119069227080625e-02 8.112908543685955209e-02
3.988350048502666834e-01 9.286408485076631802e-02 -6.300469452904708910e-03 9.265010706870954738e-02
4.295146206079795137e-01 1.010803764658901871e-01 1.361439466532662901e-02 1.001593268966141509e-01
4.601942363656923440e-01 1.072322756527843007e-01 3.688663200501105660e-02 1.006883176987360962e-01
4.908738521234051744e-01 1.106775240746670219e-01 5.961003728782964667e-02 9.325319184801161843e-02
5.215534678811180047e-01 1.113278608893467497e-01 7.800694167744329222e-02 7.942801558851703136e-02
5.522330836388308350e-01 1.097794063230958933e-01 9.007855611706827581e-02 6.274848030443100355e-02
5.829126993965436654e-01 1.074189802531520521e-01 9.652716927851051620e-02 4.713112463865939961e-02
6.135923151542564957e-01 1.063570455940239939e-01 1.004355475344360232e-01 3.499316988995629374e-02
6.442719309119693261e-01 1.088920410658506949e-01 1.057510846515645614e-01 2.596506696514640916e-02
6.749515466696821564e-01 1.164389705416144088e-01 1.152092941911136426e-01 1.687757070127029677e-02
7.056311624273949867e-01 1.286986886012277953e-01 1.286602445857233379e-01 3.145458761079202546e-03
7.363107781851077061e-01 1.439114019934211175e-01 1.426520039953001195e-01 -1.899729927744817776e-02
