# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.674363264659704892e-02 -5.674363264659704892e-02 0.000000000000000000e+00
3.067961575771282340e-02 5.770434417528995386e-02 -5.755747035420288871e-02 4.114479690723333444e-03
6.135923151542564680e-02 6.022389927948351013e-02 -5.944302276493673015e-02 9.666700005306198482e-03
9.203884727313846326e-02 6.344186866372353295e-02 -6.102389309331478218e-02 1.734805958258253678e-02
1.227184630308512936e-01 6.644797019780389336e-02 -6.082450308982521869e-02 2.675280484891398580e-02
1.533980787885641239e-01 6.862296055574695908e-02 -5.803977301749543849e-02 3.661277732586278727e-02
1.840776945462769265e-01 6.980608518533316931e-02 -5.293959596385860999e-02 4.550042536158750012e-02
2.147573103039897569e-01 7.034722929934456026e-02 -4.667781183277767282e-02 5.262997769901069794e-02
2.454369260617025872e-01 7.105183025235337069e-02 -4.058517298946674734e-02 5.831986210224006373e-02
2.761165418194154175e-01 7.295182312396074342e-02 -3.530649395718238326e-02 6.383901613873053937e-02
3.067961575771282479e-01 7.687359097254305162e-02 -3.024812318907876135e-02 7.067248426758583613e-02
3.374757733348410782e-01 8.300081694650858488e-02 -2.367048027299838500e-02 7.955403181130055179e-02
3.681553890925538530e-01 9.076688726317037881e-02 -1.344643691825430330e-02 8.976536725067463252e-02
3.988350048502666834e-01 9.912315415494643567e-02 1.840648561511792425e-03 9.910606289475068498e-02
4.295146206079795137e-01 1.069144267894173855e-01 2.199125485077108033e-02 1.046282914215754811e-01
4.601942363656923440e-01 1.131628822006296858e-01 4.495963847492151499e-02 1.038482971269050203e-01
4.908738521234051744e-01 1.172482579187692081e-01 6.748602649969395739e-02 9.587903948344930760e-02
5.215534678811180047e-01 1.190341780133774841e-01 8.636347940533466161e-02 8.191754977002652094e-02
5.522330836388308350e-01 1.189675891472878194e-01 9.977710330460788646e-02 6.479056199524339810e-02
5.829126993965436654e-01 1.181284716299135645e-01 1.080693919858482233e-01 4.770054848142080833e-02
6.135923151542564957e-01 1.181339935510824640e-01 1.135127293718851405e-01 3.271850703917211084e-02
6.442719309119693261e-01 1.207454391734900656e-01 1.191210702083654593e-01 1.973909100269457748e-02
6.749515466696821564e-01 1.271683563028069563e-01 1.270048260507790350e-01 6.447092722229137360e-03
7.056311624273949867e-01 1.374476425950337255e-01 1.370380239892369512e-01 -1.060351055346546618e-02
7.363107781851077061e-01 1.504652331145098221e-01 1.465197138012967748e-01 -3.423097783864592625e-02
7.669903939428205364e-01 1.644706777922313456e-01 1.510858167629303694e-01 -6.498984402592608567e-02
7.976700097005333667e-01 1.776757998979728859e-01 1.465405301809377392e-01 -1.004717019049352622e-01
8.283496254582461971e-01 1.886721722669638945e-01 1.307971044176784448e-01 -1.359753877136808398e-01
8.590292412159590274e-01 1.967115710336840295e-01 1.049860723714976241e-01 -1.663531387937924877e-01
8.897088569736718577e-01 2.019411790451930144e-01 7.309923622748501493e-02 -1.882464912212735986e-01
9.203884727313846881e-01 2.056167574811278709e-01 4.018260348930000059e-02 -2.016521989314142005e-01
9.510680884890975184e-01 2.101927341008273942e-01 9.796083770413910319e-03 -2.099643355704585990e-01
9.817477042468103487e-01 2.190221495900677440e-01 -1.810530858977080909e-02 -2.182725356336045752e-01
1.012427320004523068e+00 2.354006494118257853e-01 -4.777600248512178793e-02 -2.305014519044314980e-01
1.043106935762236009e+00 2.612445005925783104e-01 -8.625766399328108069e-02 -2.465933991255400137e-01
