# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.943880503472864091e-02 -5.943880503472864091e-02 0.000000000000000000e+00
3.067961575771282340e-02 5.977734294939836962e-02 -5.943800070156161908e-02 6.360409003448412590e-03
6.135923151542564680e-02 6.065653323578400202e-02 -5.921119796497441995e-02 1.316241086337823982e-02
9.203884727313846326e-02 6.174813210142123671e-02 -5.824716428983814365e-02 2.049633309173062856e-02
1.227184630308512936e-01 6.272285109951092341e-02 -5.612993432433099200e-02 2.799261550476675464e-02
1.533980787885641239e-01 6.344991357354955175e-02 -5.288986442918931080e-02 3.505073142108282996e-02
1.840776945462769265e-01 6.413066891706337147e-02 -4.907212994517317489e-02 4.128763444899739843e-02
2.147573103039897569e-01 6.531441660065215316e-02 -4.542519472218111559e-02 4.693106327727377541e-02
2.454369260617025872e-01 6.774070029495934953e-02 -4.234067984738400930e-02 5.287787161481478926e-02
2.761165418194154175e-01 7.200536659812646623e-02 -3.935358516515335275e-02 6.029981885196346314e-02
3.067961575771282479e-01 7.821608256401783865e-02 -3.503108986507058598e-02 6.993266986556857800e-02
3.374757733348410782e-01 8.588732047095928857e-02 -2.741078589660146669e-02 8.139582688450272552e-02
3.681553890925538530e-01 9.411796414782500064e-02 -1.486633695066029784e-02 9.293644710769130568e-02
3.988350048502666834e-01 1.018719320965037062e-01 2.979025547844409323e-03 1.018283651830861614e-01
4.295146206079795137e-01 1.082150809672458025e-01 2.476114647658182039e-02 1.053441473168434950e-01
4.601942363656923440e-01 1.124869429943383542e-01 4.763014174728425615e-02 1.019052596353354906e-01
4.908738521234051744e-01 1.144378169718081178e-01 6.824199416112329553e-02 9.186427045476532049e-02
5.215534678811180047e-01 1.143532572993676000e-01 8.410246313323274658e-02 7.748188917352620553e-02
5.522330836388308350e-01 1.131535031828064808e-01 9.465186557386008614e-02 6.200596443834509308e-02
5.829126993965436654e-01 1.123876654713790446e-01 1.015303661486581799e-01 4.819307107692982761e-02
6.135923151542564957e-01 1.139493721444304192e-01 1.077992507015891471e-01 3.692940508979022929e-02
6.442719309119693261e-01 1.193888383934188224e-01 1.163795563496219376e-01 2.663632100713335393e-02
6.749515466696821564e-01 1.291263952019367500e-01 1.283824350601641406e-01 1.384110927164033944e-02
7.056311624273949867e-01 1.422315907854122818e-01 1.421353473356297414e-01 -5.231486894647046151e-03
7.363107781851077061e-01 1.569069604036173460e-01 1.534607242313277831e-01 -3.270474493859728410e-02
7.669903939428205364e-01 1.711520383741701179e-01 1.572186328030178992e-01 -6.764112461500937368e-02
7.976700097005333667e-01 1.832345245966777447e-01 1.495136991005963922e-01 -1.059270729578931508e-01
8.283496254582461971e-01 1.919831886306159197e-01 1.295761156667223635e-01 -1.416600683520336523e-01
8.590292412159590274e-01 1.970268670765155106e-01 1.003678363522091249e-01 -1.695461110611596323e-01
8.897088569736718577e-01 1.990526694868437196e-01 6.746504441463548052e-02 -1.872710148740853731e-01
9.203884727313846881e-01 2.000599933714200251e-01 3.653919254575239278e-02 -1.966949118708388178e-01
9.510680884890975184e-01 2.034063578240505321e-01 1.046687029449764293e-02 -2.031368775714637309e-01
9.817477042468103487e-01 2.131995674377292482e-01 -1.259551842980726095e-02 -2.128271798223132227e-01
1.012427320004523068e+00 2.327830763609747555e-01 -3.911858804982094179e-02 -2.294726491525031498e-01
1.043106935762236009e+00 2.631833726025095688e-01 -7.783663904021237423e-02 -2.514099147554747504e-01
1.073786551519948729e+00 3.029133469723326866e-01 -1.358690628154613778e-01 -2.707325129045808354e-01
1.104466167277661670e+00 3.490174283140652367e-01 -2.148522544661052858e-01 -2.750484939384245653e-01
1.135145783035374389e+00 3.981850722054803837e-01 -3.087676627649853511e-01 -2.514237104131825107e-01
1.165825398793087331e+00 4.474124821655874884e-01 -4.045678762125219374e-01 -1.910569620151583714e-01
1.196505014550800050e+00 4.943540490013572097e-01 -4.855688472083392604e-01 -9.278372909514254196e-02
1.227184630308512991e+00 5.375703769194212223e-01 -5.363550508945468254e-01 3.612712998837074724e-02
1.257864246066225711e+00 5.767591827779704472e-01 -5.471829988060961103e-01 1.823236702578141799e-01
1.288543861823938652e+00 6.129584929640631286e-01 -5.159597072127525275e-01 3.309134246743491992e-01
1.319223477581651371e+00 6.486404315883691485e-01 -4.468614633298025884e-01 4.701587413649706004e-01
1.349903093339364313e+00 6.875551780612002561e-01 -3.461862736534360163e-01 5.940430849801360269e-01
1.380582709097077032e+00 7.341795161777098233e-01 -2.174579460133329034e-01 7.012357689754555867e-01
1.411262324854789973e+00 7.927585062887372302e-01 -5.845042185962306264e-02 7.906007826188776733e-01
1.441941940612502693e+00 8.662052285865121659e-01 1.377253228609782443e-01 8.551860811972158416e-01
1.472621556370215412e+00 9.553169567867964007e-01 3.769603241611872435e-01 8.777991808680835062e-01
1.503301172127928353e+00 1.058613153371400717e+00 6.555656032676194789e-01 8.312012682276794795e-01
1.533980787885641073e+00 1.172717563604721347e+00 9.522400307273369835e-01 6.844745487360317515e-01
1.564660403643354014e+00 1.292976336596141973e+00 1.224681856769098243e+00 4.146590849097288589e-01
1.595340019401066733e+00 1.414054593714057173e+00 1.413910145229897219e+00 2.021126467587952211e-02
1.626019635158779675e+00 1.530409928695887656e+00 1.456857092485176031e+00 -4.687450926960104458e-01
1.656699250916492394e+00 1.636645457980078877e+00 1.304608203816306933e+00 -9.882336715888663248e-01
1.687378866674205335e+00 1.727776190090640318e+00 9.409734492145651608e-01 -1.449061603561895728e+00
1.718058482431918055e+00 1.799437128557819454e+00 3.949797389348008725e-01 -1.755552615407298900e+00
1.748738098189630996e+00 1.848048376355477140e+00 -2.580049004175270499e-01 -1.829949800598545950e+00
1.779417713947343715e+00 1.870942481472730012e+00 -9.086400795274209852e-01 -1.635481267045189480e+00
1.810097329705056657e+00 1.866453903190207875e+00 -1.437336050237732588e+00 -1.190678483647435559e+00
1.840776945462769376e+00 1.833968581306635315e+00 -1.743257060723734098e+00 -5.696451329176087652e-01
1.871456561220482318e+00 1.773931777548637845e+00 -1.770331790660950810e+00 1.129570819916163316e-01
1.902136176978195037e+00 1.687813660875959521e+00 -1.522405538850774009e+00 7.286949492867313971e-01
1.932815792735907978e+00 1.578033931583305405e+00 -1.062677310574881462e+00 1.166579625579669210e+00
1.963495408493620697e+00 1.447848771450692462e+00 -4.972572315116822184e-01 1.359779875825722240e+00
1.994175024251333417e+00 1.301205368501805681e+00 5.247129444156112266e-02 1.300146981797653201e+00
2.024854640009046136e+00 1.142571113015932394e+00 4.806044252699936403e-01 1.036575194913213149e+00
2.055534255766759077e+00 9.767463740237380954e-01 7.216901332120544410e-01 6.581768993157440795e-01
2.086213871524472019e+00 8.086719926124973368e-01 7.630379305585222038e-01 2.678124496076214611e-01
2.116893487282184960e+00 6.432469002829181992e-01 6.416137229333698233e-01 -4.580835368318190992e-02
2.147573103039897457e+00 4.851838415346662603e-01 4.275985615970108178e-01 -2.292658505022138749e-01
2.178252718797610399e+00 3.389810124280692172e-01 2.006120422679485704e-01 -2.732451926088392269e-01
2.208932334555323340e+00 2.093545195442001183e-01 2.637066226661204799e-02 -2.076870314324010813e-01
2.239611950313036282e+00 1.046908412298028085e-01 -5.928986942223698348e-02 -8.628373903174262061e-02
2.270291566070748779e+00 6.456011912374187700e-02 -5.510042809839842126e-02 3.364449144577707357e-02
2.300971181828461720e+00 1.097420959651611294e-01 1.217282895392055725e-02 1.090648883100571037e-01
2.331650797586174662e+00 1.586207913973418648e-01 1.018186869397216948e-01 1.216285758092644775e-01
2.362330413343887603e+00 1.919021172184874335e-01 1.751781662880498025e-01 7.835197922767786483e-02
2.393010029101600100e+00 2.080551587089420618e-01 2.080188855876890230e-01 3.884881498709003532e-03
2.423689644859313042e+00 2.084531672011128434e-01 1.957376341495023209e-01 -7.169031659666941225e-02
2.454369260617025983e+00 1.956282560451078067e-01 1.507977815754200923e-01 -1.246212005847405629e-01
2.485048876374738480e+00 1.729360889080203134e-01 9.459387760668984402e-02 -1.447718521195791030e-01
2.515728492132451422e+00 1.446291754171968869e-01 4.758349683370739769e-02 -1.365774842751720508e-01
2.546408107890164363e+00 1.163872351057987919e-01 2.157886981348890523e-02 -1.143693178835345631e-01
2.577087723647877304e+00 9.619588723579561296e-02 1.672053456665886437e-02 -9.473158103234144423e-02
2.607767339405589802e+00 9.231811733869632608e-02 2.353879639826315581e-02 -8.926679031466526471e-02
2.638446955163302743e+00 1.044710870041264256e-01 2.852469085220581818e-02 -1.005014926834912198e-01
2.669126570921015684e+00 1.237829822166050808e-01 2.051034615561871458e-02 -1.220719148166893864e-01
2.699806186678728626e+00 1.425902021562749089e-01 -4.780487996124730375e-03 -1.425100441564953746e-01
2.730485802436441123e+00 1.568087412887156085e-01 -4.357614642508225722e-02 -1.506323365260299196e-01
2.761165418194154064e+00 1.646092880934122982e-01 -8.631181011497056355e-02 -1.401659343824214199e-01
2.791845033951867006e+00 1.654861047306896427e-01 -1.219556766835239725e-01 -1.118591247221278479e-01
2.822524649709579947e+00 1.598308486974074072e-01 -1.424146184547162020e-01 -7.255326764337460821e-02
2.853204265467292444e+00 1.487326443345259874e-01 -1.452544625080663676e-01 -3.197718893576077803e-02
2.883883881225005386e+00 1.338842116446500030e-01 -1.338791786104514547e-01 1.160888582194116378e-03
2.914563496982718327e+00 1.175566483902479170e-01 -1.154532419877664223e-01 2.213852965448753068e-02
2.945243112740430824e+00 1.025891025731269224e-01 -9.772676939063601464e-02 3.120901330111227126e-02
2.975922728498143766e+00 9.214053931543503273e-02 -8.620211106335345930e-02 3.254343303280254895e-02
3.006602344255856707e+00 8.866009729833543296e-02 -8.271710349837083087e-02 3.191384717940028842e-02
3.037281960013569648e+00 9.235574704961030390e-02 -8.574507289618270300e-02 3.431277440137880941e-02
3.067961575771282146e+00 1.012729690776489611e-01 -9.190946036918677675e-02 4.253075781651823040e-02
3.098641191528995087e+00 1.131980403448982070e-01 -9.774126609167878288e-02 5.710027356082321426e-02
3.129320807286708028e+00 1.269785504125092446e-01 -1.007510306626283880e-01 7.728377633941203861e-02
3.160000423044420970e+00 1.426141653013751620e-01 -9.937932617283701253e-02 1.022866055455983608e-01
3.190680038802133467e+00 1.607978561978007648e-01 -9.206552491199536392e-02 1.318328095751864770e-01
3.221359654559846408e+00 1.823379722576351780e-01 -7.619736760111033014e-02 1.656535459858538561e-01
3.252039270317559350e+00 2.076725440470830741e-01 -4.781980401709973183e-02 2.020919392127104031e-01
3.282718886075272291e+00 2.366185718525941617e-01 -2.631342264360046063e-03 2.366039403379602835e-01
3.313398501832984788e+00 2.683749294836386690e-01 6.186261539272185084e-02 2.611476968922379904e-01
3.344078117590697730e+00 3.016803186848433516e-01 1.438352823559835569e-01 2.651837593657709879e-01
3.374757733348410671e+00 3.350122694072069085e-01 2.354183361760700532e-01 2.383514792181031516e-01
3.405437349106123612e+00 3.667640489355906697e-01 3.227998523565849265e-01 1.741152575456708929e-01
3.436116964863836110e+00 3.953830309053381620e-01 3.885630128653919102e-01 7.311994366013192803e-02
3.466796580621549051e+00 4.194743216928963347e-01 4.158410006857815033e-01 -5.509055008223606720e-02
3.497476196379261992e+00 4.378768461949844593e-01 3.931035050158972477e-01 -1.928879643157719315e-01
3.528155812136974490e+00 4.497170761689049390e-01 3.180260728891203814e-01 -3.179699129801946689e-01
3.558835427894687431e+00 4.544433512883412907e-01 1.990843827176745906e-01 -4.085145873626807034e-01
3.589515043652400372e+00 4.518425453527592506e-01 5.420801975262538874e-02 -4.485790636948622234e-01
3.620194659410113314e+00 4.420405417922826374e-01 -9.322206840875117695e-02 -4.320989314377077783e-01
3.650874275167825811e+00 4.254882396799667399e-01 -2.198819837276050349e-01 -3.642693444938375213e-01
3.681553890925538752e+00 4.029353207391417890e-01 -3.078921568441000400e-01 -2.599217044670243393e-01
3.712233506683251694e+00 3.753945650055784400e-01 -3.485290347903132191e-01 -1.394582064414285061e-01
3.742913122440964635e+00 3.440999228309714608e-01 -3.432869861266466538e-01 -2.363899423334381994e-02
3.773592738198677132e+00 3.104615310115064197e-01 -3.021853947415364949e-01 7.120638625088562823e-02
3.804272353956390074e+00 2.760196966962196186e-01 -2.400651671883050065e-01 1.362188990820444867e-01
3.834951969714103015e+00 2.423959033042323297e-01 -1.721648713517433260e-01 1.706312720784570469e-01
3.865631585471815956e+00 2.112288597733260331e-01 -1.103503984688745249e-01 1.801122448888471395e-01
3.896311201229528454e+00 1.840641727268331196e-01 -6.100565319010623627e-02 1.736603868487627822e-01
3.926990816987241395e+00 1.621458424841828450e-01 -2.494077116948367062e-02 1.602162044500396176e-01
3.957670432744954336e+00 1.460859026119679105e-01 1.014031986137172662e-03 1.460823831989485899e-01
3.988350048502666834e+00 1.355403938661937646e-01 2.155180068623315653e-02 1.338159865508744550e-01
4.019029664260379775e+00 1.291947374611099875e-01 4.054389579424427792e-02 1.226681405315601797e-01
4.049709280018092272e+00 1.252030768378284142e-01 5.958470952892953865e-02 1.101157247626888824e-01
4.080388895775805658e+00 1.217932010565943579e-01 7.777106948649030460e-02 9.372963551907963209e-02
4.111068511533518155e+00 1.176622036122967202e-01 9.257201766473936722e-02 7.262792647722191020e-02
4.141748127291231540e+00 1.120868008000787674e-01 1.012757460003801124e-01 4.802784802240291084e-02
4.172427743048944038e+00 1.048753108362125569e-01 1.023644782210192117e-01 2.281105919352904160e-02
4.203107358806656535e+00 9.628272294521385277e-02 9.628192015448051866e-02 3.931782179195464984e-04
4.233786974564369920e+00 8.694607074087955245e-02 8.534921782407589586e-02 -1.658705019274005210e-02
4.264466590322082418e+00 7.784766054359235077e-02 7.292927580816185862e-02 -2.723194782250145524e-02
4.295146206079794915e+00 7.025808206921915766e-02 6.220851039482956646e-02 -3.265423908930531471e-02
4.325825821837508300e+00 6.551747280448766420e-02 5.507420470364227105e-02 -3.548762064365668101e-02
4.356505437595220798e+00 6.450830994366099636e-02 5.149483004455514268e-02 -3.885362956622989000e-02
4.387185053352934183e+00 6.709404138625202352e-02 4.960404020666649844e-02 -4.517797676651216787e-02
4.417864669110646680e+00 7.218982193703331329e-02 4.643122582817470201e-02 -5.527668278210640107e-02
4.448544284868359178e+00 7.840507092321803706e-02 3.900440699226953578e-02 -6.801478796303231378e-02
4.479223900626072563e+00 8.455021677210033948e-02 2.544278428614584961e-02 -8.063128353175215424e-02
