# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.176355041196008519e-02 -1.176355041196008519e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.416562423426536745e-02 -1.395132755947624606e-02 -2.454662761889067710e-03
6.135923151542564680e-02 1.939313593934860469e-02 -1.932030572586787218e-02 -1.679139130939294629e-03
9.203884727313846326e-02 2.514487288278207527e-02 -2.481744045988859212e-02 4.044660840064840876e-03
1.227184630308512936e-01 3.035059702228449716e-02 -2.689250475073799024e-02 1.406953900597454968e-02
1.533980787885641239e-01 3.445752932304556315e-02 -2.310296989015450317e-02 2.556509552697113288e-02
1.840776945462769265e-01 3.711801046218397154e-02 -1.326576123937949978e-02 3.466650082443532149e-02
2.147573103039897569e-01 3.810509750777982957e-02 3.505273959711468221e-04 3.810348522933410670e-02
2.454369260617025872e-01 3.729443144856844222e-02 1.389046563240004147e-02 3.461111933450122108e-02
2.761165418194154175e-01 3.466878142084304365e-02 2.347680144532730828e-02 2.551008034293246116e-02
3.067961575771282479e-01 3.033829662099480490e-02 2.681308374048467849e-02 1.419404037577817745e-02
3.374757733348410782e-01 2.459550629236332067e-02 2.413672791761989692e-02 4.728350157134313461e-03
3.681553890925538530e-01 1.810627249193673405e-02 1.810566223059099575e-02 1.486564630805421955e-04
3.988350048502666834e-01 1.270994922830157026e-02 1.265463925143410669e-02 1.184447044855488611e-03
4.295146206079795137e-01 1.277552494031026359e-02 1.130079088564542311e-02 5.958704797135270549e-03
4.601942363656923440e-01 1.899147868146535550e-02 1.562098735795848514e-02 1.080097294094630074e-02
4.908738521234051744e-01 2.725947664217990077e-02 2.455786574633328501e-02 1.183174952365972053e-02
5.215534678811180047e-01 3.548606893789721384e-02 3.485980207036906003e-02 6.637415783261319327e-03
5.522330836388308350e-01 4.272794511371152959e-02 4.246940090380157962e-02 -4.693322971256388455e-03
5.829126993965436654e-01 4.841426222943601143e-02 4.425580755570344971e-02 -1.963069751213988856e-02
6.135923151542564957e-01 5.220962160996327206e-02 3.932338098767111656e-02 -3.434408677420335010e-02
6.442719309119693261e-01 5.405162637693619598e-02 2.930176205629921732e-02 -4.542009527057301599e-02
6.749515466696821564e-01 5.427007668677608782e-02 1.746500218686578357e-02 -5.138302173093103192e-02
7.056311624273949867e-01 5.376947405507147976e-02 7.054396361821207648e-03 -5.330470741059675083e-02
7.363107781851077061e-01 5.417799610076055872e-02 -4.392011008496301996e-04 -5.417621585056525690e-02
7.669903939428205364e-01 5.760239752078906428e-02 -6.218580840292922511e-03 -5.726574414495762266e-02
7.976700097005333667e-01 6.564372119398825811e-02 -1.383923001665323706e-02 -6.416832430989784231e-02
8.283496254582461971e-01 7.846975604944443627e-02 -2.762849793012754282e-02 -7.344500470817781623e-02
8.590292412159590274e-01 9.506014196888064316e-02 -5.047968447603241177e-02 -8.054956267009745485e-02
8.897088569736718577e-01 1.139906300828894825e-01 -8.197001509549714515e-02 -7.921351129660973711e-02
9.203884727313846881e-01 1.338747221753036065e-01 -1.176847839197784351e-01 -6.381796668078502932e-02
9.510680884890975184e-01 1.534944997813181000e-01 -1.501640330755774910e-01 -3.180133068904393567e-02
9.817477042468103487e-01 1.718515478466203228e-01 -1.712008881039494279e-01 1.494022789980888055e-02
1.012427320004523068e+00 1.882354985060051555e-01 -1.746006916203449999e-01 7.033634468396449124e-02
1.043106935762236009e+00 2.023310272756586037e-01 -1.582385961468756874e-01 1.260888230093741846e-01
1.073786551519948729e+00 2.143595819095835964e-01 -1.244807317874667696e-01 1.745124000468397385e-01
1.104466167277661670e+00 2.252327622753014791e-01 -7.870388828722643670e-02 2.110343459502131425e-01
1.135145783035374389e+00 2.366547067012570726e-01 -2.650425876247462786e-02 2.351658446103723488e-01
1.165825398793087331e+00 2.510506527721976244e-01 2.913593216787291329e-02 2.493542213680283171e-01
1.196505014550800050e+00 2.711809943050229044e-01 8.927677488641200254e-02 2.560640332771116912e-01
1.227184630308512991e+00 2.994518090239006725e-01 1.580579367390386736e-01 2.543404697673666282e-01
1.257864246066225711e+00 3.372311399962449885e-01 2.393375151682035074e-01 2.375760838474212377e-01
1.288543861823938652e+00 3.845640812886503279e-01 3.320632570361823910e-01 1.939678477065360507e-01
1.319223477581651371e+00 4.403519329975691954e-01 4.263352216805465500e-01 1.102184360680866088e-01
1.349903093339364313e+00 5.027356578957706823e-01 5.022408130015086902e-01 -2.230039182339541709e-02
1.380582709097077032e+00 5.694383138886084383e-01 5.328052459064730462e-01 -2.009441794599786391e-01
1.411262324854789973e+00 6.379923049514665268e-01 4.909811407140967643e-01 -4.073962452457918770e-01
1.441941940612502693e+00 7.058787506731255545e-01 3.589726911592951430e-01 -6.077856675290277400e-01
1.472621556370215412e+00 7.706214227269506667e-01 1.369625095740067411e-01 -7.583525882707197185e-01
1.503301172127928353e+00 8.298622320050096368e-01 -1.519949929367769847e-01 -8.158240289612004315e-01
1.533980787885641073e+00 8.814299595722948633e-01 -4.633056109714086546e-01 -7.498444401834470918e-01
1.564660403643354014e+00 9.234050656219809916e-01 -7.389748914793689005e-01 -5.537084295722703997e-01
1.595340019401066733e+00 9.541793578724433456e-01 -9.209177075380658994e-01 -2.497375080613676301e-01
1.626019635158779675e+00 9.725078493187767625e-01 -9.659208629549692615e-01 1.129973605663418951e-01
1.656699250916492394e+00 9.775499350710711299e-01 -8.578853499120868698e-01 4.686540322707912209e-01
1.687378866674205335e+00 9.688973991040958911e-01 -6.135059368830434456e-01 7.499150854596411397e-01
1.718058482431918055e+00 9.465874159232858798e-01 -2.793628884827458747e-01 9.044247412155975718e-01
