# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.625731245840815242e-02 -7.625731245840815242e-02 0.000000000000000000e+00
3.067961575771282340e-02 7.660045280510109633e-02 -7.603946001839265167e-02 9.253641988848768443e-03
6.135923151542564680e-02 7.750066261715728155e-02 -7.515845402675329356e-02 1.890924362334070116e-02
9.203884727313846326e-02 7.864056565507446250e-02 -7.309253805264363801e-02 2.901412496652134784e-02
1.227184630308512936e-01 7.968412168367330906e-02 -6.940655491539234057e-02 3.914446810566061391e-02
1.533980787885641239e-01 8.046104527974341780e-02 -6.410826926291468553e-02 4.862211039869155510e-02
1.840776945462769265e-01 8.109736251195549805e-02 -5.773320363668336952e-02 5.695313340142732494e-02
2.147573103039897569e-01 8.204632435025305259e-02 -5.105844074192645438e-02 6.422332106322524437e-02
2.454369260617025872e-01 8.397868348551396078e-02 -4.456676471775006948e-02 7.117740345469793228e-02
2.761165418194154175e-01 8.752104627934421954e-02 -3.795589916638936190e-02 7.886243250307459207e-02
3.067961575771282479e-01 9.293713976581718939e-02 -3.001026278886284246e-02 8.795849063731386863e-02
3.374757733348410782e-01 9.994682863329021338e-02 -1.899606673911563570e-02 9.812501211360610820e-02
3.681553890925538530e-01 1.077962668543613056e-01 -3.471384056326991350e-03 1.077403575289694049e-01
3.988350048502666834e-01 1.154957573504929724e-01 1.684518874226254709e-02 1.142607088294200074e-01
4.295146206079795137e-01 1.220764934492502701e-01 4.059459800471810348e-02 1.151292702387198413e-01
4.601942363656923440e-01 1.267954758687022399e-01 6.500022695910560866e-02 1.088671814461797116e-01
4.908738521234051744e-01 1.292915679565358744e-01 8.679306709177930790e-02 9.582939553947643352e-02
5.215534678811180047e-01 1.297113255225757489e-01 1.034833297173777256e-01 7.820631968983134119e-02
5.522330836388308350e-01 1.288007642821916987e-01 1.144031024381606532e-01 5.917404018824831691e-02
5.829126993965436654e-01 1.279084171134742820e-01 1.209870182347418943e-01 4.150547659214082197e-02
6.135923151542564957e-01 1.287753596903311593e-01 1.260701280916872447e-01 2.625673373288725174e-02
6.442719309119693261e-01 1.329971672779305392e-01 1.324386683994346892e-01 1.217561565336284200e-02
6.749515466696821564e-01 1.413116000205562883e-01 1.412604370005883792e-01 -3.802267582967405486e-03
7.056311624273949867e-01 1.532173251326348629e-01 1.511482008403020882e-01 -2.509522073103262474e-02
7.363107781851077061e-01 1.672263318371654539e-01 1.583823067986776523e-01 -5.366275200586837629e-02
7.669903939428205364e-01 1.814588068261126230e-01 1.583110424357948853e-01 -8.868434144564874000e-02
7.976700097005333667e-01 1.941749412862726898e-01 1.473761128571114132e-01 -1.264285932163108639e-01
8.283496254582461971e-01 2.041367551713630657e-01 1.248451789774677467e-01 -1.615100495262665747e-01
8.590292412159590274e-01 2.108766671530833137e-01 9.337144024183402502e-02 -1.890786685397321809e-01
8.897088569736718577e-01 2.149445171625275486e-01 5.796655671508921942e-02 -2.069807328251314360e-01
9.203884727313846881e-01 2.181175607913077852e-01 2.369127339939042926e-02 -2.168271059860025496e-01
9.510680884890975184e-01 2.234067033513504330e-01 -6.975827435631598919e-03 -2.232977674180970928e-01
9.817477042468103487e-01 2.345253727392580534e-01 -3.585344299507904620e-02 -2.317685938255797107e-01
1.012427320004523068e+00 2.546471401348709418e-01 -6.889054454748487488e-02 -2.451515018326822226e-01
1.043106935762236009e+00 2.850676186056119721e-01 -1.139047887760724076e-01 -2.613221120979872247e-01
1.073786551519948729e+00 3.248384375340280794e-01 -1.769504971981567809e-01 -2.724124300410570299e-01
1.104466167277661670e+00 3.714857353737622270e-01 -2.587475402540966862e-01 -2.665546135384632698e-01
1.135145783035374389e+00 4.219888660577693629e-01 -3.527331915787386141e-01 -2.316331121307981800e-01
1.165825398793087331e+00 4.734739649599660205e-01 -4.457375817683989494e-01 -1.596734282658545667e-01
1.196505014550800050e+00 5.236225739898456855e-01 -5.212203269871114042e-01 -5.009960805435636350e-02
1.227184630308512991e+00 5.709447112524085322e-01 -5.638797638149820601e-01 8.954035552227909700e-02
1.257864246066225711e+00 6.150002927000852715e-01 -5.637665939711494767e-01 2.457490336570209988e-01
1.288543861823938652e+00 6.565695919265764902e-01 -5.181553148203226211e-01 4.032352895842370999e-01
1.319223477581651371e+00 6.977106108644299809e-01 -4.303719552429990380e-01 5.491630692728108887e-01
1.349903093339364313e+00 7.415989276680746700e-01 -3.061910871968803738e-01 6.754376267573717341e-01
1.380582709097077032e+00 7.920510028027338834e-01 -1.496891363350160431e-01 7.777775732843505985e-01
1.411262324854789973e+00 8.527334170197754526e-01 3.904204754341473321e-02 8.518391861295416811e-01
1.441941940612502693e+00 9.262505460401443402e-01 2.625036824222177767e-01 8.882746707828839128e-01
1.472621556370215412e+00 1.013441778038467245e+00 5.204808392517374926e-01 8.695768703487789519e-01
1.503301172127928353e+00 1.113140273322010376e+00 8.025704439489766973e-01 7.713377668641296925e-01
1.533980787885641073e+00 1.222392267853928738e+00 1.081871205290951155e+00 5.690321183126443305e-01
1.564660403643354014e+00 1.336939512904581795e+00 1.313530064468034109e+00 2.490904070897601297e-01
1.595340019401066733e+00 1.451753773098417799e+00 1.440642956342269576e+00 -1.792676491922015336e-01
1.626019635158779675e+00 1.561506528593845200e+00 1.407491138589028967e+00 -6.762184067552139410e-01
1.656699250916492394e+00 1.660944984863862661e+00 1.177089354769834451e+00 -1.171835693957114399e+00
1.687378866674205335e+00 1.745186475218578837e+00 7.476703634317301006e-01 -1.576916250449500678e+00
1.718058482431918055e+00 1.809950340157402859e+00 1.620565135785209110e-01 -1.802680759381059428e+00
1.748738098189630996e+00 1.851740367235864992e+00 -4.946399391188480710e-01 -1.784453338778943632e+00
1.779417713947343715e+00 1.867983604487943872e+00 -1.110184850645089316e+00 -1.502282378261128315e+00
1.810097329705056657e+00 1.857126589393727656e+00 -1.570257499753833219e+00 -9.915697421260996069e-01
1.840776945462769376e+00 1.818687974744146674e+00 -1.786756068723009516e+00 -3.393062044237649677e-01
1.871456561220482318e+00 1.753266425596911482e+00 -1.721114688906533630e+00 3.342265500458278527e-01
1.902136176978195037e+00 1.662503742469392920e+00 -1.395369470876773432e+00 9.038045880995575487e-01
1.932815792735907978e+00 1.549004877534210456e+00 -8.871765368114904460e-01 1.269777107667304117e+00
1.963495408493620697e+00 1.416218489805475489e+00 -3.098463130429042200e-01 1.381908127612186954e+00
1.994175024251333417e+00 1.268283718716524344e+00 2.168903601838704509e-01 1.249600801384476823e+00
2.024854640009046136e+00 1.109850869006918650e+00 5.968030336309746442e-01 9.357323818722306230e-01
2.055534255766759077e+00 9.458858285692290924e-01 7.790892401842488546e-01 5.363953360323213682e-01
2.086213871524472019e+00 7.814709078578975232e-01 7.663262574636514612e-01 1.531040396266542258e-01
2.116893487282184960e+00 6.216204837882356449e-01 6.070211552608576477e-01 -1.339303659776001909e-01
2.147573103039897457e+00 4.711456833496353580e-01 3.761809015429996572e-01 -2.836656204993668884e-01
2.178252718797610399e+00 3.346579386557992364e-01 1.508262611522997731e-01 -2.987429913021675265e-01
2.208932334555323340e+00 2.170406825362380110e-01 -1.159391527837183231e-02 -2.167307984673935983e-01
2.239611950313036282e+00 1.259552391300224061e-01 -8.559185723740399265e-02 -9.240539074617336313e-02
2.270291566070748779e+00 8.124541853830906379e-02 -7.816504084073155889e-02 2.215952219321934077e-02
2.300971181828461720e+00 9.488160068708367811e-02 -1.900139684355038258e-02 9.295948078026851358e-02
2.331650797586174662e+00 1.233274361264017210e-01 5.479730748621316344e-02 1.104848930568025911e-01
2.362330413343887603e+00 1.425580524251284509e-01 1.133567073488787741e-01 8.644683458789176322e-02
2.393010029101600100e+00 1.494352466348857211e-01 1.429408117778035725e-01 4.357542042403785010e-02
2.423689644859313042e+00 1.468352950697390247e-01 1.467955203682461685e-01 3.417466610393114172e-03
2.454369260617025983e+00 1.407796821649849039e-01 1.389154308032717888e-01 -2.283466652297723096e-02
2.485048876374738480e+00 1.394009830976689346e-01 1.343304131689064818e-01 -3.725552558302541728e-02
2.515728492132451422e+00 1.496019966123315892e-01 1.404661649494466924e-01 -5.147828566289774921e-02
2.546408107890164363e+00 1.722605927415902516e-01 1.532116494050164424e-01 -7.873945833112100390e-02
2.577087723647877304e+00 2.026506467782768772e-01 1.590344614583678318e-01 -1.255998595074885038e-01
2.607767339405589802e+00 2.347848462607617093e-01 1.418290065566548963e-01 -1.871054700772851465e-01
2.638446955163302743e+00 2.637501853494176873e-01 9.124499353485025777e-02 -2.474641619036528628e-01
2.669126570921015684e+00 2.860057722715921291e-01 8.757183494473045823e-03 -2.858716731505833164e-01
2.699806186678728626e+00 2.991844231386509012e-01 -9.118510192121613567e-02 -2.849501644786763821e-01
2.730485802436441123e+00 3.019097162439340898e-01 -1.854647712863458087e-01 -2.382274026517441079e-01
2.761165418194154064e+00 2.936708199003819630e-01 -2.503307716113286063e-01 -1.535482179819727955e-01
2.791845033951867006e+00 2.747224487026883044e-01 -2.699434556664140339e-01 -5.101915879428012973e-02
2.822524649709579947e+00 2.459852654378237025e-01 -2.420729676769765581e-01 4.369701514495064748e-02
