# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 3.500742892590032185e-02 3.500742892590032185e-02 0.000000000000000000e+00
3.067961575771282340e-02 3.513583472918922757e-02 3.450471061067558048e-02 -6.629617469389284361e-03
6.135923151542564680e-02 3.536497482899238903e-02 3.271206691050703580e-02 -1.343882893327301951e-02
9.203884727313846326e-02 3.530294381917888774e-02 2.904894270187360905e-02 -2.006132523547147356e-02
1.227184630308512936e-01 3.449486769830973493e-02 2.327601211691077143e-02 -2.545826304871004128e-02
1.533980787885641239e-01 3.259974975950739873e-02 1.605809793447309647e-02 -2.837042782739402844e-02
1.840776945462769265e-01 2.954430061976362487e-02 9.016146797493013523e-03 -2.813493906225890059e-02
2.147573103039897569e-01 2.570867099422526059e-02 4.105502111010501595e-03 -2.537874340281267085e-02
2.454369260617025872e-01 2.224387253122686939e-02 2.562534496793941047e-03 -2.209577521016654195e-02
2.761165418194154175e-01 2.127961924361067639e-02 3.974314752507550688e-03 -2.090519115916060489e-02
3.067961575771282479e-01 2.449988460635137838e-02 6.057528123472173849e-03 -2.373922279178231759e-02
3.374757733348410782e-01 3.106385211415036568e-02 5.433121573085511295e-03 -3.058503062188882432e-02
3.681553890925538530e-01 3.899681098895945580e-02 -8.217399280251519922e-04 -3.898815218498202090e-02
3.988350048502666834e-01 4.673366143139501272e-02 -1.352354693619278216e-02 -4.473420155819089750e-02
4.295146206079795137e-01 5.317139307868840037e-02 -3.047783362356323508e-02 -4.356946981020989873e-02
4.601942363656923440e-01 5.750365366118036919e-02 -4.690894228689160977e-02 -3.325990556075069521e-02
4.908738521234051744e-01 5.915648878877882710e-02 -5.722001401471796950e-02 -1.501200059860088518e-02
5.215534678811180047e-01 5.778198947336038449e-02 -5.741107727135371513e-02 6.536552152487110773e-03
5.522330836388308350e-01 5.327009572320165476e-02 -4.706918799815721505e-02 2.494382968898721173e-02
5.829126993965436654e-01 4.576214741783556778e-02 -2.992040679131949266e-02 3.462576199498975521e-02
6.135923151542564957e-01 3.566707281978141741e-02 -1.251503371841520412e-02 3.339931158809296419e-02
6.442719309119693261e-01 2.372771119685410796e-02 -1.472816752763207292e-03 2.368195704442721539e-02
6.749515466696821564e-01 1.164826374144524966e-02 -4.543878326675023296e-04 1.163939774592276030e-02
7.056311624273949867e-01 9.415486074096051164e-03 -8.277824748652679379e-03 4.486534903696828662e-03
7.363107781851077061e-01 2.044934109912045078e-02 -1.919392788453028534e-02 7.054692321542281944e-03
7.669903939428205364e-01 3.184241356388436278e-02 -2.540036286459347245e-02 1.920314734413157767e-02
7.976700097005333667e-01 4.107054791924603238e-02 -2.080887133134978403e-02 3.540876699777067982e-02
8.283496254582461971e-01 4.716473720960903671e-02 -4.377549535806330404e-03 4.696114879464770298e-02
8.590292412159590274e-01 4.962610547979483255e-02 1.864850140470265469e-02 4.598895237391829871e-02
8.897088569736718577e-01 4.849490418338822662e-02 3.842333165648281063e-02 2.958721541767543942e-02
9.203884727313846881e-01 4.469611913625035071e-02 4.464764622376584530e-02 2.081046015669235465e-03
9.510680884890975184e-01 4.076067444233613668e-02 3.149794785844424461e-02 -2.587106224531266624e-02
9.817477042468103487e-01 4.130089272078561746e-02 1.107597745621440553e-03 -4.128603840001770359e-02
1.012427320004523068e+00 4.998109233862464001e-02 -3.619392726486172357e-02 -3.446896024698194866e-02
