# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.171849804634246317e-02 -7.171849804634246317e-02 0.000000000000000000e+00
3.067961575771282340e-02 7.230926403678315795e-02 -7.190248783464237015e-02 7.659106261851168079e-03
6.135923151542564680e-02 7.387652433942235031e-02 -7.208804793569188740e-02 1.615717157471104060e-02
9.203884727313846326e-02 7.591347581635944641e-02 -7.138905061453627854e-02 2.581587230515693110e-02
1.227184630308512936e-01 7.785746822736228090e-02 -6.891861697565121458e-02 3.622167297265831837e-02
1.533980787885641239e-01 7.933184417306779479e-02 -6.431757987327448023e-02 4.644125772569977079e-02
1.840776945462769265e-01 8.030407762021961326e-02 -5.798056897323661946e-02 5.556076406938630780e-02
2.147573103039897569e-01 8.113853397602038831e-02 -5.082545706415364517e-02 6.324740793105824987e-02
2.454369260617025872e-01 8.252116905540182734e-02 -4.370381090555571640e-02 6.999800179006281098e-02
2.761165418194154175e-01 8.522636049277433623e-02 -3.676444764471973464e-02 7.688893231293426889e-02
3.067961575771282479e-01 8.976819009477575440e-02 -2.914113786848516324e-02 8.490654884413648129e-02
3.374757733348410782e-01 9.611805556533954686e-02 -1.919637526617557627e-02 9.418163187321540453e-02
3.681553890925538530e-01 1.036788904674161571e-01 -5.274753948079666070e-03 1.035446246762317252e-01
3.988350048502666834e-01 1.115013159312255725e-01 1.336258013022588800e-02 1.106977186154180504e-01
4.295146206079795137e-01 1.185719217023284006e-01 3.588921212382530784e-02 1.130100219861679689e-01
4.601942363656923440e-01 1.240527184619384382e-01 5.992685019616341563e-02 1.086179063661399657e-01
4.908738521234051744e-01 1.274541148256458645e-01 8.230323895915715726e-02 9.731766665318687670e-02
5.215534678811180047e-01 1.287635172903529301e-01 1.002701274701179729e-01 8.078332081630040795e-02
5.522330836388308350e-01 1.285374079077642728e-01 1.126354719451547748e-01 6.192831090332782951e-02
5.829126993965436654e-01 1.279214431218402837e-01 1.202491426089332821e-01 4.363529892404371252e-02
6.135923151542564957e-01 1.285013214375432811e-01 1.255433956623684955e-01 2.741250475160590325e-02
6.442719309119693261e-01 1.318701810867817237e-01 1.312643421315000392e-01 1.262605023929140417e-02
6.749515466696821564e-01 1.389786836740372067e-01 1.389404012748883255e-01 -3.261810745753208288e-03
7.056311624273949867e-01 1.496666434643979526e-01 1.478149699910905612e-01 -2.346995552684776401e-02
7.363107781851077061e-01 1.627479409823485434e-01 1.548134612152369805e-01 -5.019645924318087704e-02
7.669903939428205364e-01 1.765164455070331595e-01 1.556643067833794192e-01 -8.322667317685689126e-02
7.976700097005333667e-01 1.892859717111629037e-01 1.467405463467790772e-01 -1.195675170959402123e-01
8.283496254582461971e-01 1.997846920012783523e-01 1.267912333763301647e-01 -1.543952923406495259e-01
8.590292412159590274e-01 2.074385154708812407e-01 9.769721898521166459e-02 -1.829917787861483069e-01
8.897088569736718577e-01 2.126114181400661773e-01 6.376680757938613109e-02 -2.028235917605829275e-01
9.203884727313846881e-01 2.168011323928130119e-01 2.974300492366671947e-02 -2.147512157472380445e-01
9.510680884890975184e-01 2.226595321533911820e-01 -1.658904362677556281e-03 -2.226533523104526069e-01
9.817477042468103487e-01 2.335646294057031336e-01 -3.153458329288089113e-02 -2.314260274169001319e-01
1.012427320004523068e+00 2.525721988362222836e-01 -6.492112467639205020e-02 -2.440859750082265134e-01
1.043106935762236009e+00 2.811896824972733855e-01 -1.089524536654256220e-01 -2.592238422352401983e-01
1.073786551519948729e+00 3.188845709940760775e-01 -1.695905754127409182e-01 -2.700488962192797993e-01
1.104466167277661670e+00 3.635860781646759188e-01 -2.481979504640373368e-01 -2.656927052454038929e-01
1.135145783035374389e+00 4.125565370110012009e-01 -3.394280705366833906e-01 -2.345026250647397614e-01
1.165825398793087331e+00 4.630832779043996816e-01 -4.314758310210268788e-01 -1.681509129306103245e-01
1.196505014550800050e+00 5.129116422207073978e-01 -5.087855069866467073e-01 -6.492811876131776572e-02
1.227184630308512991e+00 5.605312913218494231e-01 -5.562470480824126540e-01 6.917044202939674757e-02
1.257864246066225711e+00 6.053974304375594473e-01 -5.631987146715400350e-01 2.220658834056347120e-01
1.288543861823938652e+00 6.480961904810335072e-01 -5.255564394703957642e-01 3.792348890163302899e-01
1.319223477581651371e+00 6.904044171519837514e-01 -4.451750578349875642e-01 5.277096049008260792e-01
1.349903093339364313e+00 7.351550998707584439e-01 -3.268274008896883132e-01 6.585111015720812588e-01
1.380582709097077032e+00 7.858223539302083838e-01 -1.744176470833208592e-01 7.662214146852930341e-01
1.411262324854789973e+00 8.458224549847878082e-01 1.136160369502099525e-02 8.457461435430674301e-01
1.441941940612502693e+00 9.176862320482157553e-01 2.321297807327085683e-01 8.878422074827465593e-01
1.472621556370215412e+00 1.002384846138382857e+00 4.872475983685288226e-01 8.759938114233287720e-01
1.503301172127928353e+00 1.099044914381028581e+00 7.669906307789018385e-01 7.871626872027058797e-01
1.533980787885641073e+00 1.205084416507161249e+00 1.046435082629439073e+00 5.976638425994368342e-01
1.564660403643354014e+00 1.316617887481936089e+00 1.283536052542899153e+00 2.932880213373674216e-01
1.595340019401066733e+00 1.428942784570659708e+00 1.423945027230266946e+00 -1.194070391674814241e-01
1.626019635158779675e+00 1.536988016901444043e+00 1.412884271274239101e+00 -6.050538819679580627e-01
1.656699250916492394e+00 1.635684472307323167e+00 1.211582882407692852e+00 -1.098876977647613273e+00
1.687378866674205335e+00 1.720260496077492540e+00 8.134292105743359258e-01 -1.515793222622793701e+00
1.718058482431918055e+00 1.786476862972922852e+00 2.541036015687846983e-01 -1.768313021387148964e+00
1.748738098189630996e+00 1.830812932649828806e+00 -3.889309992081581568e-01 -1.789024502966018559e+00
1.779417713947343715e+00 1.850609829399105122e+00 -1.009249916600399199e+00 -1.551183853226519416e+00
1.810097329705056657e+00 1.844172107527153104e+00 -1.494352095085253351e+00 -1.080686160777242444e+00
1.840776945462769376e+00 1.810827244760514265e+00 -1.752798214976191149e+00 -4.547457838652645967e-01
1.871456561220482318e+00 1.750941995547272700e+00 -1.737870221404346216e+00 2.135531908613737262e-01
1.902136176978195037e+00 1.665895494459390891e+00 -1.460538074477115922e+00 8.012716964068907766e-01
1.932815792735907978e+00 1.558010509628306117e+00 -9.874445817649659674e-01 1.205134824845446762e+00
1.963495408493620697e+00 1.430446047402623488e+00 -4.240731443197837680e-01 1.366139766933281319e+00
1.994175024251333417e+00 1.287056371713021896e+00 1.122005309324896338e-01 1.282156443194650164e+00
2.024854640009046136e+00 1.132223307194815565e+00 5.213687008819739566e-01 1.005039449522161066e+00
2.055534255766759077e+00 9.706704716563578916e-01 7.439383672516299839e-01 6.235037051025077437e-01
2.086213871524472019e+00 8.072701652925353688e-01 7.716045916429500329e-01 2.373003875406734242e-01
2.116893487282184960e+00 6.468572606013890391e-01 6.431293250333812717e-01 -6.934685915627832042e-02
2.147573103039897457e+00 4.940740457057576918e-01 4.277388461856638235e-01 -2.472825147555163527e-01
2.178252718797610399e+00 3.533042580774286567e-01 2.020297168498780549e-01 -2.898411500894936821e-01
2.208932334555323340e+00 2.289124313868933780e-01 2.791304633023744194e-02 -2.272042321085265271e-01
2.239611950313036282e+00 1.270074859091560593e-01 -6.187376792070746478e-02 -1.109168081052592653e-01
2.270291566070748779e+00 6.743009460478366357e-02 -6.721218839963948033e-02 5.416584619614370558e-03
2.300971181828461720e+00 8.376027254653291287e-02 -1.346470810206632299e-02 8.267094346138566252e-02
2.331650797586174662e+00 1.221954021272089463e-01 6.237544157429101427e-02 1.050762608272796800e-01
2.362330413343887603e+00 1.496220432658415533e-01 1.266232601980179506e-01 7.970762703700573493e-02
2.393010029101600100e+00 1.621647470709728645e-01 1.596766105621714449e-01 2.829814891418243675e-02
2.423689644859313042e+00 1.614087244540195476e-01 1.595434900138223699e-01 -2.446734812117911870e-02
2.454369260617025983e+00 1.510721140145824537e-01 1.380614362049706889e-01 -6.133370578936028078e-02
2.485048876374738480e+00 1.367597918665306445e-01 1.124441072272868436e-01 -7.784319765551261927e-02
2.515728492132451422e+00 1.260107384587260126e-01 9.619800075888228219e-02 -8.139195818327221721e-02
2.546408107890164363e+00 1.263145424494606373e-01 9.317227748203127380e-02 -8.528945036185869855e-02
2.577087723647877304e+00 1.398698507817179026e-01 9.680553096291574788e-02 -1.009567448598061579e-01
2.607767339405589802e+00 1.620649637982171931e-01 9.430132946100922009e-02 -1.318040657673489602e-01
2.638446955163302743e+00 1.863759525252197402e-01 7.346427112139801430e-02 -1.712862999433541478e-01
2.669126570921015684e+00 2.077181741736539577e-01 2.901875732399380320e-02 -2.056811892356897042e-01
2.699806186678728626e+00 2.227772414361454123e-01 -3.431350305126807526e-02 -2.201187924967998866e-01
2.730485802436441123e+00 2.296077727591462614e-01 -1.031694757596180040e-01 -2.051238371884197831e-01
2.761165418194154064e+00 2.273211985274787295e-01 -1.606097359245678702e-01 -1.608708799820836866e-01
2.791845033951867006e+00 2.159039509462364337e-01 -1.926654491675471037e-01 -9.743993396581390742e-02
2.822524649709579947e+00 1.961130035363295165e-01 -1.936337801062602004e-01 -3.108487345640749758e-02
2.853204265467292444e+00 1.694365297166507689e-01 -1.680220645174992367e-01 2.184773301051626260e-02
2.883883881225005386e+00 1.381842030413594213e-01 -1.284929054029464723e-01 5.083745893812055550e-02
2.914563496982718327e+00 1.059621203254661331e-01 -9.079855728723522368e-02 5.462227511213008091e-02
2.945243112740430824e+00 7.923464796074963790e-02 -6.784198405955332856e-02 4.093402785369699287e-02
2.975922728498143766e+00 6.911853674679777071e-02 -6.522691806404365411e-02 2.286528551942814888e-02
3.006602344255856707e+00 8.105559343066839895e-02 -7.992134263591113563e-02 1.351252077412306608e-02
3.037281960013569648e+00 1.044678103780654344e-01 -1.023115947367586043e-01 2.111542061169291787e-02
3.067961575771282146e+00 1.292264004826770563e-01 -1.205494648119306289e-01 4.655415250293290508e-02
3.098641191528995087e+00 1.507990761235075972e-01 -1.252539838600573718e-01 8.397500155932077770e-02
3.129320807286708028e+00 1.675044825975398888e-01 -1.126369530442469791e-01 1.239785001489275978e-01
3.160000423044420970e+00 1.791907323010006603e-01 -8.492670559176589140e-02 1.577871136053207446e-01
3.190680038802133467e+00 1.868388753470635044e-01 -4.819176563109193318e-02 1.805168110351870747e-01
3.221359654559846408e+00 1.923957655544195344e-01 -8.781405205559452212e-03 1.921952588538201889e-01
3.252039270317559350e+00 1.985039356110161468e-01 2.986101770733916652e-02 1.962450816569537015e-01
3.282718886075272291e+00 2.079152454353455637e-01 6.850035703004180021e-02 1.963070308756076909e-01
3.313398501832984788e+00 2.226189849908928875e-01 1.109161127146273546e-01 1.930202798118670904e-01
3.344078117590697730e+00 2.431302761719608130e-01 1.607590699728799755e-01 1.823975126280745485e-01
3.374757733348410671e+00 2.684303180619768692e-01 2.179220268981257591e-01 1.567317001996297865e-01
3.405437349106123612e+00 2.964892334667743601e-01 2.761775551914312787e-01 1.078509321712118607e-01
3.436116964863836110e+00 3.249002669487450201e-01 3.233726193470732313e-01 3.146954909080579982e-02
3.466796580621549051e+00 3.513218198911893797e-01 3.444422293382878864e-01 -6.918505460088628101e-02
3.497476196379261992e+00 3.737091963560818519e-01 3.263296066068884782e-01 -1.821196071072578027e-01
3.528155812136974490e+00 3.904184885053508247e-01 2.630542601851357798e-01 -2.884944581187889323e-01
3.558835427894687431e+00 4.002482311544066640e-01 1.589947835390794484e-01 -3.673136334926769275e-01
3.589515043652400372e+00 4.024510655002550563e-01 2.902634194559539429e-02 -4.014029541440221616e-01
3.620194659410113314e+00 3.967278420755714907e-01 -1.047423204319988810e-01 -3.826513125398370296e-01
3.650874275167825811e+00 3.832085450611735222e-01 -2.186700569149147289e-01 -3.146938118500734460e-01
3.681553890925538752e+00 3.624223674546167562e-01 -2.938868572215132535e-01 -2.120860381634564751e-01
3.712233506683251694e+00 3.352598513226456856e-01 -3.211532869533223478e-01 -9.622751263520996912e-02
3.742913122440964635e+00 3.029320000831687287e-01 -3.027462196419447027e-01 1.060769375973501932e-02
3.773592738198677132e+00 2.669347747506498059e-01 -2.508799677507179693e-01 9.117793457070003105e-02
3.804272353956390074e+00 2.290335353634356530e-01 -1.833432870585582630e-01 1.372647056298057222e-01
3.834951969714103015e+00 1.912922725418836345e-01 -1.179156949401610061e-01 1.506274291788091968e-01
