# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.827531726370753007e-02 -6.827531726370753007e-02 0.000000000000000000e+00
3.067961575771282340e-02 6.903260172625980129e-02 -6.871050438436891727e-02 6.660832406090606665e-03
6.135923151542564680e-02 7.102787655155964885e-02 -6.954062366010045626e-02 1.445893870198895065e-02
9.203884727313846326e-02 7.358505423127525980e-02 -6.960525384882811084e-02 2.387192583056343270e-02
1.227184630308512936e-01 7.596021288292648110e-02 -6.771111806161395075e-02 3.442613007681354087e-02
1.533980787885641239e-01 7.764062004005080342e-02 -6.331018304447945388e-02 4.494314856658403190e-02
1.840776945462769265e-01 7.852523193063506990e-02 -5.681955161363194673e-02 5.420102032421385968e-02
2.147573103039897569e-01 7.899028292247664562e-02 -4.938251206402220067e-02 6.165089049170018043e-02
2.454369260617025872e-01 7.982694699820244710e-02 -4.217040237130519759e-02 6.777904271156415250e-02
2.761165418194154175e-01 8.199791201320853762e-02 -3.558764295731935839e-02 7.387270973281165332e-02
3.067961575771282479e-01 8.621973401210321353e-02 -2.882646058864960295e-02 8.125809315415208345e-02
3.374757733348410782e-01 9.257683851572658107e-02 -2.006850289025444503e-02 9.037547356064458415e-02
3.681553890925538530e-01 1.004491378922155176e-01 -7.310540806749463161e-03 1.001827594768789492e-01
3.988350048502666834e-01 1.087694148846173881e-01 1.054476541693626090e-02 1.082570715318117716e-01
4.295146206079795137e-01 1.163768145621315170e-01 3.287172341034253625e-02 1.116378643994172942e-01
4.601942363656923440e-01 1.222955173127147493e-01 5.723496543665698016e-02 1.080756785139431464e-01
4.908738521234051744e-01 1.259224462749191920e-01 8.016686101717204749e-02 9.710683225455010725e-02
5.215534678811180047e-01 1.271639360058116619e-01 9.852078275542178187e-02 8.040100736775097900e-02
5.522330836388308350e-01 1.265429708521848551e-01 1.107951725694592549e-01 6.113553146412203237e-02
5.829126993965436654e-01 1.252487135997083223e-01 1.177784909804395347e-01 4.260830107798575100e-02
6.135923151542564957e-01 1.250215821403616034e-01 1.221379790826103151e-01 2.669663024606348453e-02
6.442719309119693261e-01 1.277119441113205855e-01 1.270586222239858398e-01 1.290144128520256603e-02
6.749515466696821564e-01 1.345220595742316616e-01 1.345136680233847970e-01 -1.502540178418264229e-03
7.056311624273949867e-01 1.453892444483965707e-01 1.439815063244589688e-01 -2.018311764359988908e-02
7.363107781851077061e-01 1.590355666868772666e-01 1.522807176231593396e-01 -4.585732778511839025e-02
7.669903939428205364e-01 1.735597315051784495e-01 1.547117793238340089e-01 -7.865904740462426048e-02
7.976700097005333667e-01 1.870632061696969883e-01 1.470739080573209012e-01 -1.155937224559936138e-01
8.283496254582461971e-01 1.980787654750519600e-01 1.276559156440147946e-01 -1.514568074838790745e-01
8.590292412159590274e-01 2.058594658789987819e-01 9.822101671958792524e-02 -1.809164214950016725e-01
8.897088569736718577e-01 2.106272580062091559e-01 6.339226105769958652e-02 -2.008613030257612175e-01
9.203884727313846881e-01 2.138023172039518471e-01 2.855777749491248893e-02 -2.118864889187847822e-01
9.510680884890975184e-01 2.180952359432376253e-01 -2.853876363387901349e-03 -2.180765630021689883e-01
9.817477042468103487e-01 2.271558657434012141e-01 -3.147265798118849961e-02 -2.249650175943656571e-01
1.012427320004523068e+00 2.444866148205641354e-01 -6.234856171252887297e-02 -2.364029646150780928e-01
1.043106935762236009e+00 2.719907865096653499e-01 -1.031445365055683877e-01 -2.516747753256131093e-01
1.073786551519948729e+00 3.092658338382387462e-01 -1.606833965323256896e-01 -2.642464797466496096e-01
1.104466167277661670e+00 3.541161140165863253e-01 -2.371840459155723779e-01 -2.629485701982949286e-01
1.135145783035374389e+00 4.035644415642919980e-01 -3.278068520910982220e-01 -2.353867587975663755e-01
1.165825398793087331e+00 4.546452519086834898e-01 -4.207049895293667463e-01 -1.723647785024703394e-01
1.196505014550800050e+00 5.048736455728458639e-01 -4.997773875322689685e-01 -7.155390209789937173e-02
1.227184630308512991e+00 5.525404202616829297e-01 -5.491458669659201597e-01 6.115335491373446314e-02
1.257864246066225711e+00 5.969423224738825695e-01 -5.575564722637680326e-01 2.132391066321910611e-01
1.288543861823938652e+00 6.385673687608075522e-01 -5.208430592427936157e-01 3.694466024809390792e-01
1.319223477581651371e+00 6.791861025908538796e-01 -4.413898319276180482e-01 5.162061392733168219e-01
1.349903093339364313e+00 7.217507289838488438e-01 -3.249024690367733892e-01 6.444862298005487045e-01
1.380582709097077032e+00 7.699940520342596351e-01 -1.761634065978379127e-01 7.495714071014067947e-01
1.411262324854789973e+00 8.276975363117082818e-01 3.837853915211866807e-03 8.276886386158729403e-01
1.441941940612502693e+00 8.977773431072234578e-01 2.173656004026690014e-01 8.710662165175805383e-01
1.472621556370215412e+00 9.815063218684584312e-01 4.653707122822742792e-01 8.641670903347561383e-01
1.503301172127928353e+00 1.078164132890939930e+00 7.402525459401428920e-01 7.838775833518962788e-01
1.533980787885641073e+00 1.185172308504359728e+00 1.019029949095803245e+00 6.051539999796398117e-01
1.564660403643354014e+00 1.298541956403494568e+00 1.260653690535729954e+00 3.113896033570476840e-01
1.595340019401066733e+00 1.413410551839767937e+00 1.410307026183595491e+00 -9.361346029914989486e-02
1.626019635158779675e+00 1.524528166953021069e+00 1.411241426986637126e+00 -5.767007600045781501e-01
1.656699250916492394e+00 1.626649933986419994e+00 1.221713098710828893e+00 -1.073967928839780983e+00
1.687378866674205335e+00 1.714842462633108022e+00 8.320316941245768927e-01 -1.499469216630261226e+00
1.718058482431918055e+00 1.784723933968882292e+00 2.756821136626981805e-01 -1.763303403469701047e+00
1.748738098189630996e+00 1.832652802430887018e+00 -3.704557419025883425e-01 -1.794820001434457524e+00
1.779417713947343715e+00 1.855872431580938064e+00 -9.987267340322950604e-01 -1.564227410906524174e+00
1.810097329705056657e+00 1.852613583692257482e+00 -1.493991289095678132e+00 -1.095521391204801187e+00
1.840776945462769376e+00 1.822154103238452283e+00 -1.761631293212987615e+00 -4.657260597405568636e-01
1.871456561220482318e+00 1.764834679450707489e+00 -1.752226308119510412e+00 2.105811267083378679e-01
1.902136176978195037e+00 1.682030434041520639e+00 -1.475323514923279289e+00 8.078656493231577418e-01
1.932815792735907978e+00 1.576079645908134097e+00 -9.977402244577657786e-01 1.220057988271408655e+00
1.963495408493620697e+00 1.450172784985747310e+00 -4.264848277453598402e-01 1.386041773546645040e+00
1.994175024251333417e+00 1.308206917177806128e+00 1.188640314443989293e-01 1.302795716979697538e+00
