# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.903571304118658047e-02 -6.903571304118658047e-02 0.000000000000000000e+00
3.067961575771282340e-02 6.754155780798012931e-02 -6.550045146543397034e-02 1.647886188281979039e-02
6.135923151542564680e-02 6.320558219430844060e-02 -5.605830652668424008e-02 2.919609374354366696e-02
9.203884727313846326e-02 5.651336289451387718e-02 -4.381084202897856522e-02 3.569832357911088133e-02
1.227184630308512936e-01 4.846572620497473921e-02 -3.274364585771767644e-02 3.573206224834977324e-02
1.533980787885641239e-01 4.098568195092364141e-02 -2.632547234250673732e-02 3.141330340677625510e-02
1.840776945462769265e-01 3.732304822002403821e-02 -2.620667039400688403e-02 2.657480677811454098e-02
2.147573103039897569e-01 4.047379548680685862e-02 -3.147183481187291326e-02 2.544900262646949615e-02
2.454369260617025872e-01 4.969073513790377150e-02 -3.876454932131041115e-02 3.108824334794420621e-02
2.761165418194154175e-01 6.180486822347414783e-02 -4.333346192851685735e-02 4.406872829355056725e-02
3.067961575771282479e-01 7.417025793698941993e-02 -4.071647406034473865e-02 6.199512805481423305e-02
3.374757733348410782e-01 8.501084056473103001e-02 -2.849687683788168155e-02 8.009226569406513452e-02
3.681553890925538530e-01 9.308614225409657383e-02 -7.455535900641798233e-03 9.278709427600448367e-02
3.988350048502666834e-01 9.752890483066882499e-02 1.841269657565737863e-02 9.577504832826988501e-02
4.295146206079795137e-01 9.783309543566420796e-02 4.316360218387559761e-02 8.779645783877564058e-02
4.601942363656923440e-01 9.393575134401181692e-02 6.108588745549715232e-02 7.136133220686365075e-02
4.908738521234051744e-01 8.640303707735345895e-02 6.900527413620627382e-02 5.199766300111511447e-02
5.215534678811180047e-01 7.680639036556749510e-02 6.775861082206421915e-02 3.616617564039610599e-02
5.522330836388308350e-01 6.837361790154382335e-02 6.211813455919266980e-02 2.857077149522476572e-02
5.829126993965436654e-01 6.618262738764668640e-02 5.902121651067070152e-02 2.994388367484442093e-02
6.135923151542564957e-01 7.417090982240494290e-02 6.467429290505948003e-02 3.631197737818610272e-02
6.442719309119693261e-01 9.102434835073988650e-02 8.165455922691708390e-02 4.022393504040517459e-02
6.749515466696821564e-01 1.124107903110850570e-01 1.072631522899446521e-01 3.362739863841502502e-02
7.056311624273949867e-01 1.344561446097490565e-01 1.339783706558651255e-01 1.132479667443810761e-02
7.363107781851077061e-01 1.543126130645837701e-01 1.520326272651811028e-01 -2.642844675092470216e-02
7.669903939428205364e-01 1.698838920239653660e-01 1.532101326078460779e-01 -7.339749338701247183e-02
7.976700097005333667e-01 1.796905398823189504e-01 1.343344003920089458e-01 -1.193438686926089065e-01
8.283496254582461971e-01 1.829181852822220344e-01 9.889759997679192782e-02 -1.538776371854330138e-01
8.590292412159590274e-01 1.796093339951896628e-01 5.595026255515869740e-02 -1.706724376640950391e-01
8.897088569736718577e-01 1.710207191525613957e-01 1.649431633664418320e-02 -1.702234528731161323e-01
