# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.106373212653317777e-02 1.106373212653317777e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.399553146334667729e-02 7.687523385905746520e-03 -1.169516503229770833e-02
6.135923151542564680e-02 1.989486563150530754e-02 -1.363167778887140096e-03 -1.984810953472030196e-02
9.203884727313846326e-02 2.581740966711676757e-02 -1.325388081384531493e-02 -2.215566034430293055e-02
1.227184630308512936e-01 3.054773385259887050e-02 -2.444100182953947917e-02 -1.832488671445646131e-02
1.533980787885641239e-01 3.352324315240440278e-02 -3.197070206168343282e-02 -1.008375134254605072e-02
1.840776945462769265e-01 3.453669885433673786e-02 -3.453408030593220490e-02 -4.252824691540503781e-04
2.147573103039897569e-01 3.374343075253194435e-02 -3.287006859209614523e-02 7.627431396073858227e-03
2.454369260617025872e-01 3.180866872910393522e-02 -2.935182406399272637e-02 1.225813323611274833e-02
2.761165418194154175e-01 3.015091747971867381e-02 -2.690600720412243685e-02 1.360678511627623835e-02
3.067961575771282479e-01 3.089360427013052718e-02 -2.768056340224492665e-02 1.371864404865604653e-02
3.374757733348410782e-01 3.562964633055366870e-02 -3.199124158748473112e-02 1.568541230989877605e-02
3.681553890925538530e-01 4.404647629579357127e-02 -3.798866190344367400e-02 2.229245703958522215e-02
3.988350048502666834e-01 5.464981424440246843e-02 -4.222033301668387528e-02 3.469936133285465157e-02
4.295146206079795137e-01 6.592547849248032998e-02 -4.091086717481840634e-02 5.169593467059910991e-02
4.601942363656923440e-01 7.663957606027509140e-02 -3.148306966360749082e-02 6.987446560264434781e-02
4.908738521234051744e-01 8.581149852450743742e-02 -1.371593069454508408e-02 8.470824354337645745e-02
5.215534678811180047e-01 9.269359528822587735e-02 9.954757872441854713e-03 9.215750323852349435e-02
5.522330836388308350e-01 9.680009202958743397e-02 3.516976440523864739e-02 9.018506244726232080e-02
5.829126993965436654e-01 9.797708286638183439e-02 5.717961687557526762e-02 7.956129826095274804e-02
6.135923151542564957e-01 9.651192755166111692e-02 7.260122473956176492e-02 6.358941992228524243e-02
6.442719309119693261e-01 9.328356036688456587e-02 8.069328026075364702e-02 4.680189264849939773e-02
6.749515466696821564e-01 8.991617340076789311e-02 8.359974788098467613e-02 3.310589665411221849e-02
7.056311624273949867e-01 8.874188954060828471e-02 8.540299957195042480e-02 2.411328727799173094e-02
7.363107781851077061e-01 9.215940266674525760e-02 9.031214918739993713e-02 1.835949915014320824e-02
7.669903939428205364e-01 1.013797771724069680e-01 1.006919932189417471e-01 1.178905090002912298e-02
7.976700097005333667e-01 1.157487860390937345e-01 1.157471225185417868e-01 -6.205628103393861540e-04
8.283496254582461971e-01 1.333969049977817567e-01 1.314497553649525974e-01 -2.270894267642875608e-02
8.590292412159590274e-01 1.522215760414584729e-01 1.418115266554414999e-01 -5.532539308670595540e-02
