# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.453529359316622395e-02 -1.453529359316622395e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.461169151091136140e-02 -1.450208920322651474e-02 1.786319554754986494e-03
6.135923151542564680e-02 1.482421953410129577e-02 -1.436933975148652412e-02 3.644113047310643290e-03
9.203884727313846326e-02 1.513240970574696379e-02 -1.405926303419823345e-02 5.597048011033317789e-03
1.227184630308512936e-01 1.549479123412717332e-02 -1.349956582562534396e-02 7.605937017146052054e-03
1.533980787885641239e-01 1.589252900706954880e-02 -1.266748511873940809e-02 9.597254764101170732e-03
1.840776945462769265e-01 1.634297994479744914e-02 -1.159607428822598957e-02 1.151625175905753549e-02
2.147573103039897569e-01 1.689707308626423043e-02 -1.033546144599913064e-02 1.336747229586882600e-02
2.454369260617025872e-01 1.761975384397416675e-02 -8.892423498352128655e-03 1.521119751525820338e-02
2.761165418194154175e-01 1.856006922679971291e-02 -7.188759763944167769e-03 1.711133842689972068e-02
3.067961575771282479e-01 1.972513272354110489e-02 -5.070829081634977212e-03 1.906220221763889333e-02
3.374757733348410782e-01 2.107222005652734792e-02 -2.373087939542628446e-03 2.093816877718562147e-02
3.681553890925538530e-01 2.252229667039300220e-02 9.948775649935364621e-04 2.250031257427034803e-02
3.988350048502666834e-01 2.398605158373131110e-02 4.984772656968108548e-03 2.346236799932526623e-02
4.295146206079795137e-01 2.539006739947214514e-02 9.405015059919925868e-03 2.358391855210701521e-02
4.601942363656923440e-01 2.669447687462978350e-02 1.397755430072542514e-02 2.274253880683545226e-02
4.908738521234051744e-01 2.789800099247055631e-02 1.842349549641560807e-02 2.094930244827836879e-02
5.215534678811180047e-01 2.902949314525849617e-02 2.252979052399844626e-02 1.830628338072368133e-02
5.522330836388308350e-01 3.012847936059176446e-02 2.616377260980948943e-02 1.493928617450601681e-02
5.829126993965436654e-01 3.122159444267689349e-02 2.923767852986721566e-02 1.095199131332444398e-02
6.135923151542564957e-01 3.230534424358895429e-02 3.165894224717968886e-02 6.430135495191928278e-03
6.442719309119693261e-01 3.334471123420110206e-02 3.331153785143286389e-02 1.487014883857185835e-03
6.749515466696821564e-01 3.429066672215413947e-02 3.409143496163696829e-02 -3.691054931361176152e-03
7.056311624273949867e-01 3.511115284999796748e-02 3.397860265241017114e-02 -8.845768267682829408e-03
7.363107781851077061e-01 3.582409942986368445e-02 3.309587452466158930e-02 -1.371237358769864141e-02
7.669903939428205364e-01 3.651889415234720743e-02 3.170499911041409907e-02 -1.812243530872659561e-02
7.976700097005333667e-01 3.735395341486976578e-02 3.012627390228513058e-02 -2.208450715965276992e-02
8.283496254582461971e-01 3.852494322821391898e-02 2.861944619382439381e-02 -2.578950465394587790e-02
8.590292412159590274e-01 4.021509949682765261e-02 2.729539081739432507e-02 -2.953330099507085402e-02
8.897088569736718577e-01 4.256095117735961275e-02 2.611379537613853566e-02 -3.360809807434443630e-02
9.203884727313846881e-01 4.567139291031761111e-02 2.496288394317278461e-02 -3.824566061147717522e-02
9.510680884890975184e-01 4.970863023424935273e-02 2.374651592202030315e-02 -4.366979392360999940e-02
9.817477042468103487e-01 5.499239972886661026e-02 2.237105577350151364e-02 -5.023643987702883923e-02
1.012427320004523068e+00 6.205603742245990179e-02 2.056419640141338157e-02 -5.854968494314756466e-02
1.043106935762236009e+00 7.158971831878560566e-02 1.756442975636653483e-02 -6.940157473931504728e-02
1.073786551519948729e+00 8.427226875473534107e-02 1.184061278991577378e-02 -8.343629408015211524e-02
1.104466167277661670e+00 1.005843307690355432e-01 1.060400898257470980e-03 -1.005787410250780917e-01
1.135145783035374389e+00 1.207102552926245242e-01 -1.753167463414469912e-02 -1.194303400201685572e-01
1.165825398793087331e+00 1.445552424910307998e-01 -4.633741448450823253e-02 -1.369272147914051274e-01
1.196505014550800050e+00 1.718356263916895055e-01 -8.645146868305698951e-02 -1.485046331262654951e-01
1.227184630308512991e+00 2.021983894682239657e-01 -1.368885397156874573e-01 -1.488143689233343003e-01
