# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.498547463174804096e-03 -1.498547463174804096e-03 0.000000000000000000e+00
3.067961575771282340e-02 2.415385675828977952e-02 -1.054320019384061106e-02 -2.173130750720214319e-02
6.135923151542564680e-02 4.665240597003342954e-02 -3.382075842485024464e-02 -3.213414511638254534e-02
9.203884727313846326e-02 6.608748105315136179e-02 -6.134967433430336958e-02 -2.457178485632572490e-02
1.227184630308512936e-01 8.113795431443798778e-02 -8.113784207769458856e-02 1.349566853442034126e-04
1.533980787885641239e-01 9.075464654176350343e-02 -8.414066684464381607e-02 3.401108719019555610e-02
1.840776945462769265e-01 9.421969778377792260e-02 -6.802490741123498608e-02 6.519174351219143848e-02
2.147573103039897569e-01 9.119729389587445667e-02 -3.817487285470148178e-02 8.282285612352351112e-02
2.454369260617025872e-01 8.177118629242889625e-02 -5.495634407496862751e-03 8.158630344690367964e-02
2.761165418194154175e-01 6.648169115688030983e-02 1.811694551582234899e-02 6.396554966742287740e-02
3.067961575771282479e-01 4.644139092610254094e-02 2.479046515349295210e-02 3.927130795663075907e-02
3.374757733348410782e-01 2.427750325576327056e-02 1.408896376118442227e-02 1.977114727246824175e-02
3.681553890925538530e-01 1.684353295016405294e-02 -6.642098570073259357e-03 1.547860228924733718e-02
3.988350048502666834e-01 3.900867419523181001e-02 -2.522446868328692346e-02 2.975571948576645823e-02
4.295146206079795137e-01 6.483138231660499906e-02 -2.974559517853042276e-02 5.760475414891370882e-02
4.601942363656923440e-01 8.852897415403966630e-02 -1.372722434099254291e-02 8.745823332687829854e-02
4.908738521234051744e-01 1.078649988542403348e-01 2.081661268303474158e-02 1.058372647711087883e-01
5.215534678811180047e-01 1.211793172015450393e-01 6.380721149043222518e-02 1.030197392699472997e-01
5.522330836388308350e-01 1.272058007886943676e-01 1.009776360782300569e-01 7.736170090132149513e-02
5.829126993965436654e-01 1.251144289067883386e-01 1.197073515879073929e-01 3.638365424858966413e-02
6.135923151542564957e-01 1.145901092422394740e-01 1.144336614738176300e-01 -5.985838107072830906e-03
6.442719309119693261e-01 9.594913278323741190e-02 8.932831969989159238e-02 -3.502409715394939893e-02
6.749515466696821564e-01 7.045473716920161444e-02 5.697259118594883570e-02 -4.144868928132739577e-02
7.056311624273949867e-01 4.211539540040221130e-02 3.339148608604565471e-02 -2.566544733094748218e-02
7.363107781851077061e-01 3.141743988528254011e-02 3.136197733443750468e-02 1.865986768326692016e-03
7.669903939428205364e-01 5.996625241117194832e-02 5.473288722455789401e-02 2.450025478039388055e-02
7.976700097005333667e-01 9.967706321583001683e-02 9.620217437724053189e-02 2.608943419132688304e-02
8.283496254582461971e-01 1.396744377723405095e-01 1.396571772709844506e-01 -2.195769505264505341e-03
8.590292412159590274e-01 1.760567887200606141e-01 1.663080715397794729e-01 -5.777212299318473798e-02
8.897088569736718577e-01 2.060829055600604809e-01 1.622016066838240234e-01 -1.271251460304484715e-01
9.203884727313846881e-01 2.276039219183588758e-01 1.240016095758727510e-01 -1.908589691243543218e-01
9.510680884890975184e-01 2.391446580482360640e-01 6.051364362879894931e-02 -2.313617652244520650e-01
9.817477042468103487e-01 2.401677129482281403e-01 -1.086850428762988451e-02 -2.399216662940891753e-01
1.012427320004523068e+00 2.315187952669296167e-01 -7.147373011775931539e-02 -2.202100326163732580e-01
