# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.091234683667204886e-01 -1.091234683667204886e-01 0.000000000000000000e+00
3.067961575771282340e-02 1.105221814931721669e-01 -1.091510985430764191e-01 1.735483473990201073e-02
6.135923151542564680e-02 1.141381749322054606e-01 -1.079361090692666919e-01 3.711225317657362854e-02
9.203884727313846326e-02 1.185348577349562560e-01 -1.023804331620391112e-01 5.973909443404346736e-02
1.227184630308512936e-01 1.220459150755202338e-01 -8.954056705858456922e-02 8.293185297247504528e-02
1.533980787885641239e-01 1.232940580919673207e-01 -6.866900097417764914e-02 1.024011380112242603e-01
1.840776945462769265e-01 1.214842163975583950e-01 -4.218756376945561465e-02 1.139237652859442368e-01
2.147573103039897569e-01 1.165674493661586070e-01 -1.496762450245625077e-02 1.156025106495763843e-01
2.454369260617025872e-01 1.093796571828112435e-01 7.824533073916176834e-03 1.090994321140330431e-01
2.761165418194154175e-01 1.017749224638783423e-01 2.326827425451607340e-02 9.907937351308329643e-02
3.067961575771282479e-01 9.655689538034595287e-02 3.228289673422892608e-02 9.100026716410333782e-02
3.374757733348410782e-01 9.664204200554292468e-02 3.933981190480004969e-02 8.827266554430128476e-02
3.681553890925538530e-01 1.032834590545183007e-01 5.026740615164044385e-02 9.022561051637377483e-02
3.988350048502666834e-01 1.150823430582941648e-01 6.911318438323489632e-02 9.201800599989048979e-02
4.295146206079795137e-01 1.290768632917314029e-01 9.559740512655984235e-02 8.672930744737158970e-02
4.601942363656923440e-01 1.422506717065894488e-01 1.245240097432738779e-01 6.876790383916701888e-02
4.908738521234051744e-01 1.522033157178001583e-01 1.476402966244166337e-01 3.698908120170894820e-02
5.215534678811180047e-01 1.572960564152372509e-01 1.572430680967378536e-01 -4.082511397431381681e-03
5.522330836388308350e-01 1.567065004254925009e-01 1.498878094667757399e-01 -4.572277166638539364e-02
5.829126993965436654e-01 1.505587972522303142e-01 1.283565353154443867e-01 -7.869276505405863043e-02
6.135923151542564957e-01 1.402031507591030290e-01 1.007379847167264031e-01 -9.751298333038718735e-02
6.442719309119693261e-01 1.286874778819044052e-01 7.680046484289865250e-02 -1.032577143051322810e-01
6.749515466696821564e-01 1.211268918140362000e-01 6.319443550590905789e-02 -1.033353145909892967e-01
7.056311624273949867e-01 1.234757319400258679e-01 5.974858155747947430e-02 -1.080572227109060507e-01
7.363107781851077061e-01 1.384667236725752870e-01 5.881143208500068387e-02 -1.253564877488543561e-01
7.669903939428205364e-01 1.633636937217269602e-01 4.829980325447021106e-02 -1.560603262587441920e-01
7.976700097005333667e-01 1.928858956345072539e-01 1.738003075844088072e-02 -1.921012838727572669e-01
8.283496254582461971e-01 2.221001331445309479e-01 -3.767929897253419896e-02 -2.188806514330509378e-01
8.590292412159590274e-01 2.471066130565658103e-01 -1.102885015117046064e-01 -2.211292035227145070e-01
8.897088569736718577e-01 2.649522654917871312e-01 -1.847969319192448445e-01 -1.898678407273449720e-01
9.203884727313846881e-01 2.735631825475729473e-01 -2.421439545503930035e-01 -1.272914770134038476e-01
9.510680884890975184e-01 2.718263423739119000e-01 -2.677246903368877273e-01 -4.704307167263591799e-02
9.817477042468103487e-01 2.598431146483429766e-01 -2.580168326283518998e-01 3.075318374713325795e-02
1.012427320004523068e+00 2.394544143703031813e-01 -2.227237074737577482e-01 8.793501401926800964e-02
1.043106935762236009e+00 2.152686424698812551e-01 -1.809347114464058270e-01 1.166328368197885323e-01
1.073786551519948729e+00 1.962149757169169562e-01 -1.524343914204837058e-01 1.235478571560716110e-01
1.104466167277661670e+00 1.952198698196037085e-01 -1.476859851291991155e-01 1.276700723302097717e-01
1.135145783035374389e+00 2.212330804021513941e-01 -1.610550023470366798e-01 1.516751861156623027e-01
1.165825398793087331e+00 2.709050893819777706e-01 -1.709098875984268184e-01 2.101889097315804422e-01
1.196505014550800050e+00 3.342788621743081334e-01 -1.475518759971212179e-01 2.999513320295147945e-01
1.227184630308512991e+00 4.022470428266167741e-01 -6.650033782754538603e-02 3.967119717522782363e-01
1.257864246066225711e+00 4.678711167076211597e-01 7.806658570828642341e-02 4.613122478810716132e-01
1.288543861823938652e+00 5.257469001029092537e-01 2.656739125540464319e-01 4.536817994542467480e-01
1.319223477581651371e+00 5.715320982237745984e-01 4.519295181363913727e-01 3.498694755720759830e-01
1.349903093339364313e+00 6.017786522860102405e-01 5.813913976380603588e-01 1.553112652051664988e-01
1.380582709097077032e+00 6.139300042257340717e-01 6.070409385243535905e-01 -9.171340711194780893e-02
1.411262324854789973e+00 6.063916966581036627e-01 5.092963529645153642e-01 -3.291323664317100106e-01
1.441941940612502693e+00 5.786380164943858428e-01 3.069133197783160405e-01 -4.905366125736287386e-01
1.472621556370215412e+00 5.313620028461573108e-01 5.459424155840527509e-02 -5.285499473629169387e-01
1.503301172127928353e+00 4.667444594883017883e-01 -1.730977110429480770e-01 -4.334600014934700263e-01
1.533980787885641073e+00 3.890974476523036407e-01 -3.066015534735199721e-01 -2.395669242135931021e-01
1.564660403643354014e+00 3.067114165737721554e-01 -3.063005881657132612e-01 -1.586955405889284645e-02
1.595340019401066733e+00 2.371875744613132775e-01 -1.782060980858985455e-01 1.565264580952374918e-01
1.626019635158779675e+00 2.142870119406829477e-01 2.601927043696540542e-02 2.127014834278182775e-01
1.656699250916492394e+00 2.592254381821084142e-01 2.255468180173839654e-01 1.277750393580028565e-01
1.687378866674205335e+00 3.457987346103327808e-01 3.380833189631238245e-01 -7.263906866821767672e-02
1.718058482431918055e+00 4.447045930331953723e-01 3.091101522222376996e-01 -3.197078179493972327e-01
1.748738098189630996e+00 5.406823191496226144e-01 1.320920771002351557e-01 -5.242986299890167734e-01
1.779417713947343715e+00 6.253746396226789184e-01 -1.478636760615380796e-01 -6.076428006524590142e-01
1.810097329705056657e+00 6.934200922265643108e-01 -4.484956494931271465e-01 -5.288507130459738637e-01
1.840776945462769376e+00 7.411780852346919746e-01 -6.780148706205494369e-01 -2.994007168487808346e-01
1.871456561220482318e+00 7.663281569377962121e-01 -7.660514603281847190e-01 2.059136335300136914e-02
1.902136176978195037e+00 7.677381863688522712e-01 -6.869092036959666414e-01 3.428960027278060707e-01
1.932815792735907978e+00 7.454045040370140818e-01 -4.669905373959961081e-01 5.809885649660119222e-01
1.963495408493620697e+00 7.003946354015745390e-01 -1.741025195079702881e-01 6.784106116507033768e-01
1.994175024251333417e+00 6.347679773897414446e-01 1.070404503634211774e-01 6.256778141387620007e-01
2.024854640009046136e+00 5.514690170577040140e-01 3.039212116763573834e-01 4.601629861991998749e-01
2.055534255766759077e+00 4.542016349520720531e-01 3.793737348019861622e-01 2.497492633333031342e-01
2.086213871524472019e+00 3.473195543041460165e-01 3.408105938736095686e-01 6.692542047345104161e-02
2.116893487282184960e+00 2.358842211168456493e-01 2.329946401419139279e-01 -3.680846963731263660e-02
2.147573103039897457e+00 1.269957296286395865e-01 1.179957282010795083e-01 -4.695661263557558002e-02
2.178252718797610399e+00 5.210473962375841012e-02 5.051536868995783885e-02 1.277111652821660143e-02
2.208932334555323340e+00 1.100415605241884531e-01 5.802262879732478229e-02 9.350144164688845017e-02
2.239611950313036282e+00 1.948590475701516000e-01 1.327844868738819184e-01 1.426125116025465933e-01
2.270291566070748779e+00 2.687203567980689378e-01 2.379555380838924983e-01 1.248510795022880621e-01
2.300971181828461720e+00 3.263149066008157462e-01 3.244177729198470805e-01 3.513583475065934492e-02
2.331650797586174662e+00 3.654755884360249563e-01 3.511607980368017801e-01 -1.012842518105121908e-01
2.362330413343887603e+00 3.853559676775284992e-01 3.010899816860257427e-01 -2.405078891699669041e-01
2.393010029101600100e+00 3.861483944979506311e-01 1.864366932829932821e-01 -3.381596397724719871e-01
2.423689644859313042e+00 3.689848555035080691e-01 4.236038510804625290e-02 -3.665452514553186325e-01
2.454369260617025983e+00 3.358646158802782722e-01 -8.796405466615833668e-02 -3.241409651480293697e-01
2.485048876374738480e+00 2.896050349505981392e-01 -1.703488911142310713e-01 -2.342057462251706246e-01
2.515728492132451422e+00 2.338948443363989826e-01 -1.918472309711652668e-01 -1.337962562101222552e-01
2.546408107890164363e+00 1.737627064501194030e-01 -1.637332088290295584e-01 -5.818001787056931856e-02
2.577087723647877304e+00 1.178263691393232337e-01 -1.146550144458617915e-01 -2.715291746710257748e-02
2.607767339405589802e+00 8.645471784444368202e-02 -7.736104141163303860e-02 -3.859647016593574509e-02
2.638446955163302743e+00 1.033614924695273884e-01 -7.475892702594114092e-02 -7.137717391055892202e-02
2.669126570921015684e+00 1.466111127674429304e-01 -1.109776113335326220e-01 -9.580599234709295808e-02
2.699806186678728626e+00 1.915972852360526280e-01 -1.707379387781698954e-01 -8.693719555867454596e-02
2.730485802436441123e+00 2.294817191405943979e-01 -2.267779820715430106e-01 -3.512273148947209211e-02
2.761165418194154064e+00 2.568068732530679465e-01 -2.518292633836826666e-01 5.031691816525635241e-02
2.791845033951867006e+00 2.721059039031211157e-01 -2.299975321495033587e-01 1.454054955772743352e-01
2.822524649709579947e+00 2.750552251737063414e-01 -1.629436708600431327e-01 2.215958867443442171e-01
2.853204265467292444e+00 2.661964076547776448e-01 -6.864528816905529629e-02 2.571932189240142552e-01
2.883883881225005386e+00 2.468023753508646057e-01 2.632592816893674845e-02 2.453942908563136183e-01
2.914563496982718327e+00 2.187960633294893098e-01 9.748256024334635284e-02 1.958797278354353910e-01
2.945243112740430824e+00 1.847292028422950760e-01 1.315255620919199564e-01 1.297147057937314274e-01
2.975922728498143766e+00 1.479124304962523284e-01 1.302595710201551460e-01 7.007518286065210489e-02
3.006602344255856707e+00 1.129517590166626423e-01 1.080580911681107287e-01 3.288690922027331931e-02
3.037281960013569648e+00 8.699977754661698814e-02 8.436229477568940593e-02 2.125945703306010223e-02
3.067961575771282146e+00 7.900846726400194420e-02 7.467948046746197832e-02 2.579366388314837874e-02
3.098641191528995087e+00 8.927134040248899116e-02 8.398416463855634673e-02 3.026602562644998065e-02
3.129320807286708028e+00 1.070861517837458504e-01 1.052106335367269524e-01 1.995410971835132052e-02
3.160000423044420970e+00 1.237440172205921812e-01 1.232432014064134274e-01 -1.112183010967308754e-02
3.190680038802133467e+00 1.351366879134731358e-01 1.224577160134811826e-01 -5.714921004690292489e-02
3.221359654559846408e+00 1.396437038676633380e-01 9.442756295381883602e-02 -1.028775941810568806e-01
3.252039270317559350e+00 1.369957802944150593e-01 4.244122553352700639e-02 -1.302558489807192355e-01
3.282718886075272291e+00 1.278786338685052038e-01 -1.908590363326867489e-02 -1.264463256982059913e-01
3.313398501832984788e+00 1.138760052495943476e-01 -7.003372033549000453e-02 -8.979433494144278827e-02
3.344078117590697730e+00 9.768496080767667678e-02 -9.255172440414628776e-02 -3.124947804070143595e-02
3.374757733348410671e+00 8.361053940662710460e-02 -7.829276508133370394e-02 2.934220911564498768e-02
3.405437349106123612e+00 7.746298312744544223e-02 -3.197910757413974236e-02 7.055388319408432973e-02
3.436116964863836110e+00 8.300439806450714275e-02 3.008519026744496325e-02 7.736027032413207716e-02
3.466796580621549051e+00 9.774903068521920146e-02 8.589533709034032072e-02 4.665687587094458771e-02
3.497476196379261992e+00 1.162486268092289554e-01 1.156535324582089880e-01 -1.174749611489125933e-02
3.528155812136974490e+00 1.342602118188538085e-01 1.086378145318469268e-01 -7.888998498787738733e-02
3.558835427894687431e+00 1.491919385718186442e-01 6.650500058317762586e-02 -1.335489402138738402e-01
3.589515043652400372e+00 1.595589372954977769e-01 1.997979523844988208e-03 -1.595464275648028618e-01
3.620194659410113314e+00 1.646229308493344645e-01 -6.616251801522496367e-02 -1.507422653780610688e-01
3.650874275167825811e+00 1.642161570526877168e-01 -1.200316071321261141e-01 -1.120685483373097396e-01
3.681553890925538752e+00 1.586508849816582745e-01 -1.482183608717933532e-01 -5.658109937021554847e-02
3.712233506683251694e+00 1.486658681141072857e-01 -1.486658674264240143e-01 -1.429930309823012832e-05
3.742913122440964635e+00 1.353938583030218634e-01 -1.277435408789599769e-01 4.486741166909725270e-02
3.773592738198677132e+00 1.203474816181877016e-01 -9.644411735099961414e-02 7.198644705933640586e-02
3.804272353956390074e+00 1.054102641291812525e-01 -6.550960366388433598e-02 8.258217490224235846e-02
3.834951969714103015e+00 9.275084302241393130e-02 -4.152071440906252714e-02 8.293822494079275409e-02
3.865631585471815956e+00 8.442128900515338819e-02 -2.536291405556923353e-02 8.052128059029761697e-02
3.896311201229528454e+00 8.143336699061580475e-02 -1.335604170160494680e-02 8.033062560128176322e-02
3.926990816987241395e+00 8.296083514209164067e-02 -2.077558189238136411e-04 8.296057500399217632e-02
3.957670432744954336e+00 8.681963963508704252e-02 1.771537357501702659e-02 8.499303127588733742e-02
3.988350048502666834e+00 9.071638899920092536e-02 4.027928296176874756e-02 8.128371667892719810e-02
4.019029664260379775e+00 9.297272068570747172e-02 6.347176466195897371e-02 6.793571875235790425e-02
4.049709280018092272e+00 9.261258903956402777e-02 8.118578194663565728e-02 4.456411626325044312e-02
4.080388895775805658e+00 8.922699110249557308e-02 8.797830069392494068e-02 1.487529993694750204e-02
4.111068511533518155e+00 8.282851264361371091e-02 8.152917203217169284e-02 -1.461357637615892831e-02
4.141748127291231540e+00 7.373727690111028799e-02 6.373867297460715509e-02 -3.707516112206520748e-02
4.172427743048944038e+00 6.249277557260406873e-02 4.005197762821337271e-02 -4.797067944939862466e-02
4.203107358806656535e+00 4.978424761797147630e-02 1.737599085095895002e-02 -4.665346989061894961e-02
4.233786974564369920e+00 3.640329219286747575e-02 1.520960531668516958e-03 -3.637150480170421585e-02
4.264466590322082418e+00 2.326314090035613846e-02 -4.766715633269401689e-03 -2.276954427785869359e-02
4.295146206079794915e+00 1.185575631615524116e-02 -2.436070116330816323e-03 -1.160278071051826926e-02
4.325825821837508300e+00 8.141204311429126386e-03 4.709825641419334262e-03 -6.640538386897642913e-03
4.356505437595220798e+00 1.462879688842950825e-02 1.185103748412942408e-02 -8.576398367186786886e-03
4.387185053352934183e+00 2.150778136740841284e-02 1.514308304452682656e-02 -1.527323460354107834e-02
4.417864669110646680e+00 2.651958140367936118e-02 1.304301410802682394e-02 -2.309043050279031145e-02
4.448544284868359178e+00 2.934964206503450079e-02 6.508933206797682877e-03 -2.861879238988061791e-02
4.479223900626072563e+00 3.010861541671776623e-02 -1.867032842114205431e-03 -3.005067238313116271e-02
4.509903516383785060e+00 2.916959654278350467e-02 -9.287559158551061955e-03 -2.765152088665615362e-02
4.540583132141497558e+00 2.715929069558172676e-02 -1.404996320277890690e-02 -2.324275381893614600e-02
4.571262747899210943e+00 2.497518597255425979e-02 -1.615590536162079746e-02 -1.904590865015432649e-02
4.601942363656923440e+00 2.370287816159433875e-02 -1.703163860372658781e-02 -1.648483301751752991e-02
4.632621979414635938e+00 2.419721636854953173e-02 -1.857662380526012638e-02 -1.550529999658968767e-02
4.663301595172349323e+00 2.649001221320976956e-02 -2.204397222077720403e-02 -1.468958936749443361e-02
4.693981210930061820e+00 2.984089412256851759e-02 -2.729528618103795393e-02 -1.206011253386893821e-02
4.724660826687775206e+00 3.333976383546197880e-02 -3.276620898671791376e-02 -6.157548314313484629e-03
4.755340442445487703e+00 3.627048005515257773e-02 -3.613570160860390956e-02 3.123906638355510891e-03
4.786020058203200200e+00 3.816375176617593096e-02 -3.537242727991184860e-02 1.432701424574026917e-02
4.816699673960913586e+00 3.875902257683369601e-02 -2.967507900251202535e-02 2.493294040634144379e-02
4.847379289718626083e+00 3.796557338975587587e-02 -1.988898376414241498e-02 3.233903349889447054e-02
4.878058905476338580e+00 3.583479479522945488e-02 -8.227122762015074212e-03 3.487759981814885640e-02
4.908738521234051966e+00 3.254093771261790807e-02 2.567784318376804993e-03 3.243946841288828514e-02
4.939418136991764463e+00 2.837022477287002090e-02 1.024973658096234481e-02 2.645397047106634592e-02
4.970097752749476960e+00 2.372487590146000330e-02 1.385159767126234627e-02 1.926143760193296459e-02
5.000777368507190346e+00 1.915790734181320801e-02 1.391550202797188149e-02 1.316754407727617482e-02
5.031456984264902843e+00 1.544567724774255184e-02 1.211222612400202243e-02 9.584514800576754770e-03
5.062136600022616229e+00 1.353319321598936767e-02 1.044763644356460491e-02 8.601988802852593083e-03
5.092816215780328726e+00 1.384641053082254041e-02 1.041127202847089324e-02 9.128444519043366762e-03
5.123495831538041223e+00 1.563468902377720265e-02 1.241927585823612498e-02 9.497635917808847084e-03
5.154175447295754608e+00 1.778382187891303784e-02 1.575408064886937853e-02 8.250652309352601507e-03
5.184855063053467106e+00 1.956741225953498656e-02 1.898070190385297423e-02 4.755688990217105463e-03
5.215534678811179603e+00 2.063160694849069249e-02 2.062357046075357150e-02 -5.758009442004811572e-04
5.246214294568892988e+00 2.084745904780327397e-02 1.979882540909210994e-02 -6.528633943645730832e-03
5.276893910326605486e+00 2.022610365358464349e-02 1.654340264348433398e-02 -1.163662743156734444e-02
5.307573526084318871e+00 1.887762947563605825e-02 1.173289816727662513e-02 -1.478864413040357345e-02
5.338253141842031368e+00 1.699112908657929993e-02 6.662365411593802397e-03 -1.563046239748522651e-02
5.368932757599743866e+00 1.482736843820641436e-02 2.498191770249221042e-03 -1.461539916257434228e-02
5.399612373357457251e+00 1.271941793435086947e-02 -1.571998868469275026e-04 -1.271844647684070885e-02
5.430291989115169748e+00 1.105987879722353760e-02 -1.417684903235626485e-03 -1.096864114302280313e-02
5.460971604872882246e+00 1.020314505891480560e-02 -1.949118314003634844e-03 -1.001524372600453780e-02
5.491651220630595631e+00 1.024030365982568462e-02 -2.591800746685120425e-03 -9.906885884823836419e-03
5.522330836388308128e+00 1.089636052494702932e-02 -3.952631262017598443e-03 -1.015418036062709813e-02
5.553010452146020626e+00 1.175245821425921489e-02 -6.143598847033750546e-03 -1.001880568154879698e-02
5.583690067903734011e+00 1.247690649786589896e-02 -8.762632826669307026e-03 -8.881973975500364119e-03
5.614369683661446508e+00 1.287666625586288312e-02 -1.109983706197809061e-02 -6.527032331957259743e-03
5.645049299419159894e+00 1.286899904927778400e-02 -1.245836073682505922e-02 -3.224962679078359571e-03
5.675728915176872391e+00 1.244879794809438008e-02 -1.244259279500239783e-02 3.930074938639788054e-04
5.706408530934584888e+00 1.166573297959246427e-02 -1.109641182621361015e-02 3.599857015801882949e-03
5.737088146692298274e+00 1.060892712039353085e-02 -8.850641030627987363e-03 5.849400652441727640e-03
5.767767762450010771e+00 9.396243028793372504e-03 -6.323694784490307280e-03 6.949839374313491851e-03
5.798447378207723268e+00 8.165948225743620975e-03 -4.075372211471266562e-03 7.076302124944438936e-03
5.829126993965436654e+00 7.066592765857283853e-03 -2.420355268821256824e-03 6.639172666165242369e-03
5.859806609723149151e+00 6.234928335012303313e-03 -1.368505910254985214e-03 6.082887711961849214e-03
5.890486225480861648e+00 5.750541126224366535e-03 -6.964134049481381745e-04 5.708216149884861798e-03
5.921165841238575034e+00 5.588002263502327496e-03 -9.891973186167712950e-05 5.587126648247339039e-03
5.951845456996287531e+00 5.627760319531710867e-03 6.562623039674177639e-04 5.589365438266408193e-03
5.982525072754000917e+00 5.727960953994107492e-03 1.636339820555051099e-03 5.489255749384149528e-03
