# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 2.583553086234753864e-03 -2.583553086234753864e-03 0.000000000000000000e+00
3.067961575771282340e-02 2.470799710766920232e-02 -1.171088081853398875e-02 -2.175638737306086548e-02
6.135923151542564680e-02 4.760789926221029728e-02 -3.519331083831241797e-02 -3.206154931376032496e-02
9.203884727313846326e-02 6.743237726898514139e-02 -6.293715241203831634e-02 -2.420827028952301369e-02
1.227184630308512936e-01 8.282005850760545962e-02 -8.281438768936813521e-02 9.691660529662470946e-04
1.533980787885641239e-01 9.270151048736137434e-02 -8.567623512115817019e-02 3.539989805214690394e-02
1.840776945462769265e-01 9.634492104835620796e-02 -6.916095873334802968e-02 6.707537252150093388e-02
2.147573103039897569e-01 9.340559908022542934e-02 -3.871492765391629232e-02 8.500447233109464928e-02
2.454369260617025872e-01 8.396405843938348212e-02 -5.375138957741086750e-03 8.379183128919656665e-02
2.761165418194154175e-01 6.856471800469225719e-02 1.880956726732075507e-02 6.593421520181388940e-02
3.067961575771282479e-01 4.833550426014092405e-02 2.585096873569080189e-02 4.084174809564886793e-02
3.374757733348410782e-01 2.591260076100797977e-02 1.527907291364068165e-02 2.092875555543241214e-02
3.681553890925538530e-01 1.724496512505621290e-02 -5.500101522199896467e-03 1.634434781231418332e-02
3.988350048502666834e-01 3.893632085033000428e-02 -2.417828518166122154e-02 3.051962658739625772e-02
4.295146206079795137e-01 6.509670379349108416e-02 -2.869758047707122312e-02 5.842969895129990210e-02
4.601942363656923440e-01 8.926947554593935019e-02 -1.248119733749839672e-02 8.839264096784012203e-02
4.908738521234051744e-01 1.091104527645517797e-01 2.246344641451951396e-02 1.067730512707560225e-01
5.215534678811180047e-01 1.229141895576452426e-01 6.596333235012274976e-02 1.037146893158341215e-01
5.522330836388308350e-01 1.293826788883581935e-01 1.035884367325688449e-01 7.751976116856004739e-02
5.829126993965436654e-01 1.276595617870113220e-01 1.225479659119882020e-01 3.576254697984936060e-02
6.135923151542564957e-01 1.174071284355196337e-01 1.171684413439682410e-01 -7.482657315397790547e-03
6.442719309119693261e-01 9.892006306245967884e-02 9.161447745445602808e-02 -3.730906588254345735e-02
6.749515466696821564e-01 7.342282286186715967e-02 5.856629203582636861e-02 -4.428205453882444464e-02
7.056311624273949867e-01 4.468504623197690900e-02 3.421231074821245305e-02 -2.874493259727113267e-02
7.363107781851077061e-01 3.151112722413895728e-02 3.148809871017829720e-02 -1.204482691423710596e-03
7.669903939428205364e-01 5.845200473053187989e-02 5.432851581297543780e-02 2.156500003657313771e-02
7.976700097005333667e-01 9.820576630820665454e-02 9.540893522925873727e-02 2.327031616891378496e-02
8.283496254582461971e-01 1.385893759086734289e-01 1.384990118298096151e-01 -5.003882185049355474e-03
8.590292412159590274e-01 1.754709188775854800e-01 1.646563205672566255e-01 -6.064931548663195227e-02
8.897088569736718577e-01 2.060259788753132093e-01 1.598229192407449872e-01 -1.300128395847783558e-01
9.203884727313846881e-01 2.280444525962370961e-01 1.206752510084986296e-01 -1.934987239078162224e-01
9.510680884890975184e-01 2.399891912682377004e-01 5.617165715623534394e-02 -2.333228596985411907e-01
