# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 2.824584063384253784e-03 -2.824584063384253784e-03 0.000000000000000000e+00
3.067961575771282340e-02 2.458648766996237439e-02 -1.186918410183703844e-02 -2.153178684414999364e-02
6.135923151542564680e-02 4.733410267273636951e-02 -3.513828231032581351e-02 -3.171464002811623384e-02
9.203884727313846326e-02 6.703414552254828573e-02 -6.262835276464617795e-02 -2.390117352610991036e-02
1.227184630308512936e-01 8.232669083934625320e-02 -8.231958093835094192e-02 1.081951335128592461e-03
1.533980787885641239e-01 9.214759298309230240e-02 -8.514455396601154635e-02 3.523611531520734474e-02
1.840776945462769265e-01 9.576940391661580010e-02 -6.876207487970092957e-02 6.666000138600589042e-02
2.147573103039897569e-01 9.285007813098081209e-02 -3.856923433231935344e-02 8.446035266293813737e-02
2.454369260617025872e-01 8.347106481535672418e-02 -5.503910826144017658e-03 8.328940885267069327e-02
2.761165418194154175e-01 6.817693851979630959e-02 1.849302105604561097e-02 6.562090458194506926e-02
3.067961575771282479e-01 4.809908913101443306e-02 2.550489297567761979e-02 4.078017667363030563e-02
3.374757733348410782e-01 2.590232665469021853e-02 1.506612532894733257e-02 2.106994052432818038e-02
3.681553890925538530e-01 1.743251923987186591e-02 -5.483071089052277657e-03 1.654776898802076679e-02
3.988350048502666834e-01 3.886459923775970049e-02 -2.394398391850247054e-02 3.061278667521412020e-02
4.295146206079795137e-01 6.481944301381359352e-02 -2.836636924828506851e-02 5.828301028851354260e-02
4.601942363656923440e-01 8.882476867110918051e-02 -1.223301358021262018e-02 8.797836613749082657e-02
4.908738521234051744e-01 1.085331070728877551e-01 2.246443468113794306e-02 1.061827881784604688e-01
5.215534678811180047e-01 1.222445563892968767e-01 6.564031317153724843e-02 1.031265283695640411e-01
5.522330836388308350e-01 1.286677255783865437e-01 1.029892357148757959e-01 7.712717376113778500e-02
5.829126993965436654e-01 1.269519076416507630e-01 1.218308128103012117e-01 3.569369557548739136e-02
6.135923151542564957e-01 1.167636215713881570e-01 1.165401059744795437e-01 -7.221289491733532025e-03
