# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.795260540377507236e-02 -1.795260540377507236e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.787909417685901517e-02 -1.744915935652021147e-02 3.897287048160186923e-03
6.135923151542564680e-02 1.769843349744303768e-02 -1.609584909557384633e-02 7.359224833902570408e-03
9.203884727313846326e-02 1.752961708234994712e-02 -1.428341352295331781e-02 1.016226220809763291e-02
1.227184630308512936e-01 1.756098773085610146e-02 -1.243387434181935161e-02 1.240109103809519144e-02
1.533980787885641239e-01 1.801168166005589349e-02 -1.077412078256743955e-02 1.443395294386961084e-02
1.840776945462769265e-01 1.905468711748847105e-02 -9.197658784332067225e-03 1.668784509852546186e-02
2.147573103039897569e-01 2.073635745451600509e-02 -7.287656798058401476e-03 1.941356687667607911e-02
2.454369260617025872e-01 2.295398860085809747e-02 -4.498849238810102846e-03 2.250879712945099559e-02
2.761165418194154175e-01 2.550310596824261269e-02 -4.180974994783010368e-04 2.549967859617728247e-02
3.067961575771282479e-01 2.814911742414628534e-02 5.019123062121938136e-03 2.769803631028112251e-02
3.374757733348410782e-01 3.068691254865127047e-02 1.146330609518667228e-02 2.846540382879938699e-02
3.681553890925538530e-01 3.298287024800094364e-02 1.827325851348209421e-02 2.745829115396513503e-02
3.988350048502666834e-01 3.500304443737749932e-02 2.476923908565437440e-02 2.473252746895706483e-02
4.295146206079795137e-01 3.682471779705649706e-02 3.048895018859431455e-02 2.065148317265044428e-02
4.601942363656923440e-01 3.861995286236095948e-02 3.530930286976451116e-02 1.564461216976062441e-02
4.908738521234051744e-01 4.059871293196874037e-02 3.936084356128488615e-02 9.948843444162972643e-03
5.215534678811180047e-01 4.291480344157456300e-02 4.277282958879058405e-02 3.487893834000735382e-03
5.522330836388308350e-01 4.556814891318983901e-02 4.539077897084965035e-02 -4.016637871916948349e-03
5.829126993965436654e-01 4.835333636924523532e-02 4.664713293726145682e-02 -1.273146208299860867e-02
6.135923151542564957e-01 5.088047291005422246e-02 4.570865606510553930e-02 -2.235042022586270632e-02
6.442719309119693261e-01 5.265305071880888726e-02 4.188776606086486859e-02 -3.190233227254268833e-02
6.749515466696821564e-01 5.317235007361518356e-02 3.515064354792445112e-02 -3.989650448996556048e-02
7.056311624273949867e-01 5.205446597819980703e-02 2.646286677603469292e-02 -4.482615431050716165e-02
7.363107781851077061e-01 4.917596528537247075e-02 1.774220154813081762e-02 -4.586381848444002346e-02
7.669903939428205364e-01 4.490616785241458714e-02 1.134141742390507718e-02 -4.345038736312917954e-02
7.976700097005333667e-01 4.053462929698823519e-02 9.200541362483456026e-03 -3.947665399804659719e-02
8.283496254582461971e-01 3.879952426080898742e-02 1.198623400801505055e-02 -3.690167038455317156e-02
8.590292412159590274e-01 4.310166373559831676e-02 1.858206075771494728e-02 -3.889036429211201185e-02
8.897088569736718577e-01 5.447345894741037475e-02 2.617072692732039241e-02 -4.777500164092964713e-02
9.203884727313846881e-01 7.128663379176908288e-02 3.090359851244130901e-02 -6.423979885042938043e-02
9.510680884890975184e-01 9.171022090711024310e-02 2.889658159953445091e-02 -8.703879704299920250e-02
9.817477042468103487e-01 1.146075673704918946e-01 1.715188588168425204e-02 -1.133168447728912093e-01
1.012427320004523068e+00 1.394518681046692798e-01 -5.940647583667130541e-03 -1.393252748935696617e-01
1.043106935762236009e+00 1.661940442887467895e-01 -4.063884742352664309e-02 -1.611488269803328377e-01
1.073786551519948729e+00 1.951737848270788944e-01 -8.624145507853304971e-02 -1.750863150268011648e-01
1.104466167277661670e+00 2.270129101729086996e-01 -1.414551422828763949e-01 -1.775536654279609716e-01
1.135145783035374389e+00 2.624611347308825615e-01 -2.043545622999956013e-01 -1.646968734111237120e-01
1.165825398793087331e+00 3.022094455098890409e-01 -2.717858851484586391e-01 -1.321475750419334461e-01
1.196505014550800050e+00 3.467165901363248315e-01 -3.384227327328936941e-01 -7.538201274415963493e-02
1.227184630308512991e+00 3.960959160051229500e-01 -3.959916494591739777e-01 9.087806915865845325e-03
1.257864246066225711e+00 4.500858359914137741e-01 -4.332735143564235836e-01 1.218659982001698561e-01
1.288543861823938652e+00 5.080968117358015679e-01 -4.372853295048626521e-01 2.587352134826457761e-01
1.319223477581651371e+00 5.693086753382824439e-01 -3.956212890821594885e-01 4.093851040773227035e-01
1.349903093339364313e+00 6.327878994406341828e-01 -2.994644349960238205e-01 5.574419950550930647e-01
1.380582709097077032e+00 6.975987977480938573e-01 -1.464794568646440587e-01 6.820468102236273422e-01
1.411262324854789973e+00 7.628891839184962498e-01 5.720481351545313176e-02 7.607414253545626837e-01
1.441941940612502693e+00 8.279372908605233672e-01 2.964311080915871810e-01 7.730515867347125258e-01
1.472621556370215412e+00 8.921531449842390327e-01 5.479579121459791091e-01 7.040449990035352323e-01
1.503301172127928353e+00 9.550350371239334502e-01 7.826587477947689608e-01 5.472999238394221644e-01
1.533980787885641073e+00 1.016090238249024003e+00 9.686017677064916453e-01 3.070016088896249107e-01
1.564660403643354014e+00 1.074737279619928376e+00 1.074736892084914075e+00 -9.126864215109448640e-04
1.595340019401066733e+00 1.130212574427793548e+00 1.075090435092859842e+00 -3.486560192604543085e-01
1.626019635158779675e+00 1.181504662093319391e+00 9.533901934689218427e-01 -6.978541434608959149e-01
1.656699250916492394e+00 1.227334127027561284e+00 7.077690251449294534e-01 -1.002702381772329510e+00
1.687378866674205335e+00 1.266187629104998047e+00 3.546648965907032158e-01 -1.215501510992414325e+00
1.718058482431918055e+00 1.296403432313916859e+00 -6.949004136684819311e-02 -1.294539684005916236e+00
1.748738098189630996e+00 1.316296470786253670e+00 -5.103416677941507995e-01 -1.213337455581682489e+00
1.779417713947343715e+00 1.324305350094374223e+00 -9.024523972656689486e-01 -9.692080947650149048e-01
1.810097329705056657e+00 1.319142136088323092e+00 -1.180638902983545124e+00 -5.884112133240454456e-01
1.840776945462769376e+00 1.299927510262894437e+00 -1.293867674701908888e+00 -1.253713376325023277e-01
1.871456561220482318e+00 1.266297584739697557e+00 -1.218307549492140707e+00 3.453060786723085585e-01
1.902136176978195037e+00 1.218473216491132494e+00 -9.655731571568083593e-01 7.431994735496519899e-01
1.932815792735907978e+00 1.157287259406313940e+00 -5.829617064487407907e-01 9.997346896044716491e-01
1.963495408493620697e+00 1.084169420196802403e+00 -1.445463235362207111e-01 1.074490433667063094e+00
1.994175024251333417e+00 1.001092048074536223e+00 2.652380617619476411e-01 9.653155231896122235e-01
2.024854640009046136e+00 9.104832078436398968e-01 5.713416528920099990e-01 7.089064729820644395e-01
2.055534255766759077e+00 8.151157043211635367e-01 7.256612356957286014e-01 3.712537978789371418e-01
2.086213871524472019e+00 7.179822251686465151e-01 7.173338514919304076e-01 3.050608401408066300e-02
2.116893487282184960e+00 6.221671042919203476e-01 5.728414749574558540e-01 -2.427849876568972665e-01
2.147573103039897457e+00 5.307233781309778076e-01 3.461827559650465513e-01 -4.022745375576260995e-01
2.178252718797610399e+00 4.465571697649027838e-01 1.024510587724111882e-01 -4.346459322538889225e-01
2.208932334555323340e+00 3.723042164861973813e-01 -9.994080356478239613e-02 -3.586394643597199949e-01
2.239611950313036282e+00 3.101482128212181832e-01 -2.230728182636195212e-01 -2.154772184434396720e-01
2.270291566070748779e+00 2.614900034264636686e-01 -2.557532794668063714e-01 -5.447276323031172846e-02
2.300971181828461720e+00 2.264267490563465768e-01 -2.113415156614951440e-01 8.126399230980313471e-02
2.331650797586174662e+00 2.033064992437714213e-01 -1.191095379191337011e-01 1.647617996121919226e-01
2.362330413343887603e+00 1.889618985675081408e-01 -1.289514404828829251e-02 1.885213896888390805e-01
2.393010029101600100e+00 1.797866613940845015e-01 7.893288295468767202e-02 1.615327942050553689e-01
2.423689644859313042e+00 1.728802260584665351e-01 1.393559332875163592e-01 1.023107834961290152e-01
2.454369260617025983e+00 1.665283875411650016e-01 1.635876702179911157e-01 3.115731069444580351e-02
2.485048876374738480e+00 1.600603942927019407e-01 1.560518612324933441e-01 -3.559700025296869824e-02
2.515728492132451422e+00 1.534507777460988320e-01 1.256954026034636795e-01 -8.802162776974642444e-02
2.546408107890164363e+00 1.469160854776703773e-01 8.190570542582362168e-02 -1.219663543391387994e-01
2.577087723647877304e+00 1.406132723922614292e-01 3.240015272578886107e-02 -1.368295380252592397e-01
2.607767339405589802e+00 1.344842657568733058e-01 -1.682888120651786570e-02 -1.334271580057906914e-01
2.638446955163302743e+00 1.282549352091260919e-01 -6.046437621791587308e-02 -1.131078583214953359e-01
2.669126570921015684e+00 1.215541934510557809e-01 -9.301595901075143669e-02 -7.825249717962297347e-02
2.699806186678728626e+00 1.140894795197116562e-01 -1.090915241624840770e-01 -3.339833368575231831e-02
2.730485802436441123e+00 1.058213353353417985e-01 -1.048729214756803363e-01 1.413595958223718557e-02
2.761165418194154064e+00 9.711009731728459382e-02 -8.006450542109629087e-02 5.495494493353374199e-02
2.791845033951867006e+00 8.882396108105432286e-02 -3.920066783492177909e-02 7.970573193581992344e-02
