# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 8.712453597440139585e-02 -8.712453597440139585e-02 0.000000000000000000e+00
3.067961575771282340e-02 8.781182148743528482e-02 -8.724018021508510301e-02 1.000334688895051193e-02
6.135923151542564680e-02 8.964592301330240320e-02 -8.715658646491873662e-02 2.097905976658837046e-02
9.203884727313846326e-02 9.205647070764808038e-02 -8.582217289256791060e-02 3.330087745309802394e-02
1.227184630308512936e-01 9.438901097662330542e-02 -8.215376027597617870e-02 4.647628498129507957e-02
1.533980787885641239e-01 9.616296428907687710e-02 -7.565230405679308767e-02 5.936366390108348962e-02
1.840776945462769265e-01 9.724468132157525202e-02 -6.669958890304987509e-02 7.076505412630497427e-02
2.147573103039897569e-01 9.791628332511989607e-02 -5.635409428887470235e-02 8.007380718490766935e-02
2.454369260617025872e-01 9.882769711507824462e-02 -4.573251017412949954e-02 8.760965260884662209e-02
2.761165418194154175e-01 1.008052300139255647e-01 -3.529868983445122455e-02 9.442296804343555672e-02
3.067961575771282479e-01 1.045277932549117106e-01 -2.445836485529059856e-02 1.016260200507087402e-01
3.374757733348410782e-01 1.101992499553249016e-01 -1.172649294876574981e-02 1.095735554494729619e-01
3.681553890925538530e-01 1.174172438497383120e-01 4.549670117094055388e-03 1.173290656874694943e-01
3.988350048502666834e-01 1.253122111022392793e-01 2.522757476837599391e-02 1.227465670503178757e-01
4.295146206079795137e-01 1.328345670682683499e-01 4.964280913804634127e-02 1.232096331830339619e-01
4.601942363656923440e-01 1.390347474000011574e-01 7.552441741224222294e-02 1.167335571252908072e-01
4.908738521234051744e-01 1.432734015468769828e-01 9.967293884721302455e-02 1.029202256719853464e-01
5.215534678811180047e-01 1.453683354664440097e-01 1.191502834635655289e-01 8.327762548750165805e-02
5.522330836388308350e-01 1.456915898070970661e-01 1.324513261525428476e-01 6.068513443135929025e-02
5.829126993965436654e-01 1.451989986864823390e-01 1.400872825852900461e-01 3.818772679050421587e-02
6.135923151542564957e-01 1.453254661794343705e-01 1.442498856909132099e-01 1.764827465868514314e-02
6.442719309119693261e-01 1.476519210836989837e-01 1.476478362068491257e-01 -1.098300114869094025e-03
6.749515466696821564e-01 1.533479715407729538e-01 1.520199996864877445e-01 -2.013752891965583589e-02
7.056311624273949867e-01 1.626515847499015455e-01 1.570298418391918582e-01 -4.239300406450094427e-02
7.363107781851077061e-01 1.747593843584226703e-01 1.601169583801448637e-01 -7.002429621514137670e-02
7.669903939428205364e-01 1.881854188127890237e-01 1.574594376174577592e-01 -1.030547299202648898e-01
7.976700097005333667e-01 2.012968386038243851e-01 1.456660477620267402e-01 -1.389309892042990824e-01
8.283496254582461971e-01 2.127732770513368621e-01 1.234207186127886102e-01 -1.733199170443714687e-01
8.590292412159590274e-01 2.219431692881542462e-01 9.224922658445545987e-02 -2.018634453987152300e-01
8.897088569736718577e-01 2.290397262653801891e-01 5.592743039625267670e-02 -2.221065481632466254e-01
9.203884727313846881e-01 2.353799252592468638e-01 1.867180200810298826e-02 -2.346381746963158432e-01
9.510680884890975184e-01 2.433621998993704683e-01 -1.712605662768488385e-02 -2.427588484983533579e-01
9.817477042468103487e-01 2.560728613405018894e-01 -5.253661181486235510e-02 -2.506256466009142980e-01
1.012427320004523068e+00 2.763838427575123768e-01 -9.217742289152891511e-02 -2.605596884525416823e-01
1.043106935762236009e+00 3.058844080242800190e-01 -1.424398505863591347e-01 -2.706956963775004055e-01
1.073786551519948729e+00 3.443577855851745473e-01 -2.083834571773915123e-01 -2.741507236319526419e-01
1.104466167277661670e+00 3.900898556877593903e-01 -2.905044565895455455e-01 -2.603406541670159058e-01
1.135145783035374389e+00 4.405960909770513245e-01 -3.827830979382633725e-01 -2.181788608390922146e-01
1.165825398793087331e+00 4.932871130059152120e-01 -4.729942721403929684e-01 -1.400306908505787595e-01
1.196505014550800050e+00 5.459291491145570330e-01 -5.453624260437346383e-01 -2.486885828976304058e-02
1.227184630308512991e+00 5.969550041287425834e-01 -5.846281767482752745e-01 1.206862540073825873e-01
1.257864246066225711e+00 6.456906843970593446e-01 -5.799273446058730297e-01 2.839026856081568462e-01
1.288543861823938652e+00 6.925107817799107668e-01 -5.269030231021726296e-01 4.493822283170691989e-01
1.319223477581651371e+00 7.388857749498570771e-01 -4.272311003860593814e-01 6.028480532324606012e-01
1.349903093339364313e+00 7.872529510213519544e-01 -2.859530560943330801e-01 7.334835094275388157e-01
1.380582709097077032e+00 8.406472838627571109e-01 -1.081475250652679243e-01 8.336617831519497201e-01
1.411262324854789973e+00 9.020937764647195545e-01 1.030211983163837192e-01 8.961918400843849053e-01
1.441941940612502693e+00 9.738828907826985182e-01 3.452930700573103029e-01 9.106154955466456702e-01
1.472621556370215412e+00 1.056950969579035560e+00 6.130955160595764619e-01 8.609641341436384820e-01
1.503301172127928353e+00 1.150567777905078692e+00 8.916062910989310808e-01 7.272169093373986870e-01
1.533980787885641073e+00 1.252388602012210805e+00 1.151959769622538543e+00 4.913917984880171175e-01
1.564660403643354014e+00 1.358775185800730201e+00 1.350784596835183704e+00 1.471427147385095391e-01
1.595340019401066733e+00 1.465233248148120948e+00 1.436191015316046649e+00 -2.902823435969801302e-01
1.626019635158779675e+00 1.566849741119457740e+00 1.360075223057446436e+00 -7.779546894719183703e-01
1.656699250916492394e+00 1.658674856068819814e+00 1.093922114876533458e+00 -1.246810604999400995e+00
1.687378866674205335e+00 1.736036954988167347e+00 6.432021843844223374e-01 -1.612487289589500827e+00
1.718058482431918055e+00 1.794796244248048511e+00 5.490751329603795611e-02 -1.793956165392718294e+00
1.748738098189630996e+00 1.831545323466660768e+00 -5.858001491707898190e-01 -1.735337562880512108e+00
1.779417713947343715e+00 1.843761685743125378e+00 -1.170724402728632318e+00 -1.424381103030371687e+00
1.810097329705056657e+00 1.829913972605537786e+00 -1.592570860190367199e+00 -9.012786485929281666e-01
1.840776945462769376e+00 1.789521960022500080e+00 -1.771418262875212202e+00 -2.539019168004365001e-01
1.871456561220482318e+00 1.723169949621730979e+00 -1.675997773268060431e+00 4.004324403440137070e-01
1.902136176978195037e+00 1.632474063066983616e+00 -1.333085970235707629e+00 9.422597107735999344e-01
1.932815792735907978e+00 1.520005456763356744e+00 -8.216484925930630512e-01 1.278792533294563771e+00
1.963495408493620697e+00 1.389173356500644552e+00 -2.529783431368209934e-01 1.365944571465114610e+00
1.994175024251333417e+00 1.244073849996158776e+00 2.575662005832101142e-01 1.217119302517791324e+00
2.024854640009046136e+00 1.089312513086604373e+00 6.189911622399065783e-01 8.963546687756712705e-01
2.055534255766759077e+00 9.298113770065102868e-01 7.850513642257953562e-01 4.982404563440832601e-01
2.086213871524472019e+00 7.706142382009616432e-01 7.610502963792415976e-01 1.210320226184670445e-01
2.116893487282184960e+00 6.167112317097309671e-01 5.959233504655673253e-01 -1.587706008265575008e-01
2.147573103039897457e+00 4.729213247185241054e-01 3.630990800151331910e-01 -3.030076524870083388e-01
2.178252718797610399e+00 3.439247240147643714e-01 1.369101647351427808e-01 -3.154993226313297372e-01
2.208932334555323340e+00 2.347116658721402349e-01 -2.780784307882259998e-02 -2.330585547878017139e-01
2.239611950313036282e+00 1.522009295237858328e-01 -1.070192819803068712e-01 -1.082219766605839878e-01
2.270291566070748779e+00 1.078022406365205244e-01 -1.073652951996891119e-01 9.696209204523719913e-03
2.300971181828461720e+00 1.051832994925086390e-01 -5.636366456263756930e-02 8.880689055023401057e-02
2.331650797586174662e+00 1.207020378430883056e-01 1.222138390195612323e-02 1.200817209861489848e-01
2.362330413343887603e+00 1.344370966295434511e-01 7.190801770332078124e-02 1.135894798833065600e-01
2.393010029101600100e+00 1.420837018096307025e-01 1.111620726342337495e-01 8.849164891439978420e-02
2.423689644859313042e+00 1.468475652933480535e-01 1.332514349581492286e-01 6.171112147885700339e-02
2.454369260617025983e+00 1.548946643433261605e-01 1.496174850568953441e-01 4.008697054257624043e-02
2.485048876374738480e+00 1.715824006616954445e-01 1.705418900006251681e-01 1.886753751408067753e-02
2.515728492132451422e+00 1.980848770989865892e-01 1.976223435048128085e-01 -1.352877980404708011e-02
2.546408107890164363e+00 2.313985241956533490e-01 2.214188429207751274e-01 -6.722330696679146289e-02
2.577087723647877304e+00 2.668255112260375372e-01 2.251697873983730114e-01 -1.431587240932518101e-01
2.607767339405589802e+00 2.998194154881230755e-01 1.927700160892151793e-01 -2.296331918530147842e-01
2.638446955163302743e+00 3.266313521927929897e-01 1.173637013275480867e-01 -3.048176534356080714e-01
2.669126570921015684e+00 3.444283446147239913e-01 6.651783134810393405e-03 -3.443641072399482028e-01
2.699806186678728626e+00 3.512813174629689783e-01 -1.176002349138609016e-01 -3.310117048485202718e-01
2.730485802436441123e+00 3.461309399342143434e-01 -2.259513386847959715e-01 -2.622072083797302722e-01
2.761165418194154064e+00 3.287434885320754674e-01 -2.912258677116620342e-01 -1.525115576860598676e-01
2.791845033951867006e+00 2.996511128159533022e-01 -2.981825917442527674e-01 -2.962990706228153109e-02
2.822524649709579947e+00 2.600729298909154608e-01 -2.491520777235272099e-01 7.457325947076810790e-02
2.853204265467292444e+00 2.118203643580813256e-01 -1.634378278136783824e-01 1.347439913181168458e-01
2.883883881225005386e+00 1.572068747233514030e-01 -7.068185537440165034e-02 1.404210695768824679e-01
2.914563496982718327e+00 9.906984549429795339e-02 -6.879457678702689165e-04 9.906745690126772530e-02
2.945243112740430824e+00 4.214654247281453270e-02 2.651735363187902525e-02 3.275913611154347010e-02
2.975922728498143766e+00 3.082234499928445878e-02 6.798625197385724066e-03 -3.006319421951678811e-02
3.006602344255856707e+00 8.037287168828444184e-02 -4.783429580729302300e-02 -6.458853340990043657e-02
3.037281960013569648e+00 1.282969637989277434e-01 -1.146000766643690272e-01 -5.767957479510504165e-02
3.067961575771282146e+00 1.690076507508617432e-01 -1.686368026767722517e-01 -1.118994170139603513e-02
3.098641191528995087e+00 2.008641522043694561e-01 -1.916021169862148488e-01 6.029126310818960777e-02
3.129320807286708028e+00 2.232240353489350349e-01 -1.770379055991145312e-01 1.359652526881100498e-01
3.160000423044420970e+00 2.363035930519688244e-01 -1.308099408650331141e-01 1.967946835159858354e-01
3.190680038802133467e+00 2.412359787575450443e-01 -6.695217519990005750e-02 2.317589344191774980e-01
3.221359654559846408e+00 2.401540437603189304e-01 -1.008407452457678972e-03 2.401519265982328122e-01
3.252039270317559350e+00 2.362127332593607909e-01 5.621050079633131691e-02 2.294271887856440817e-01
3.282718886075272291e+00 2.333671961003251916e-01 1.019264213620858645e-01 2.099315432326599173e-01
3.313398501832984788e+00 2.356151518045535853e-01 1.406127032786790854e-01 1.890570481006856596e-01
3.344078117590697730e+00 2.456685540280028335e-01 1.797752134324052398e-01 1.674333033585101438e-01
3.374757733348410671e+00 2.638300799020016907e-01 2.243743288357285814e-01 1.387893065787596802e-01
3.405437349106123612e+00 2.880752231143726694e-01 2.724857788517505153e-01 9.348173348815531913e-02
3.436116964863836110e+00 3.151439809559442584e-01 3.142209959457369362e-01 2.410175179587015215e-02
3.466796580621549051e+00 3.416278546642174119e-01 3.345210141027979978e-01 -6.932014285985924062e-02
3.497476196379261992e+00 3.645605142915962493e-01 3.187943781524209541e-01 -1.768460150497160044e-01
3.528155812136974490e+00 3.816235516376666470e-01 2.591596013868123771e-01 -2.801300344011247168e-01
