# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 2.312983129724844808e-02 -2.312983129724844808e-02 0.000000000000000000e+00
3.067961575771282340e-02 2.293885626432325825e-02 -2.261296835939572217e-02 3.852893548003919182e-03
6.135923151542564680e-02 2.245192972293167180e-02 -2.127792707388001178e-02 7.165121612513399366e-03
9.203884727313846326e-02 2.191322482398829624e-02 -1.965083267276097889e-02 9.697123153482511623e-03
1.227184630308512936e-01 2.166824772980933955e-02 -1.827251530698038862e-02 1.164594968375508126e-02
1.533980787885641239e-01 2.203830673490633427e-02 -1.738870212229680010e-02 1.353957171567286670e-02
1.840776945462769265e-01 2.315950167010037350e-02 -1.679581271293486416e-02 1.594563240888857356e-02
2.147573103039897569e-01 2.490938503050779337e-02 -1.592776149618761738e-02 1.915160244780182361e-02
2.454369260617025872e-01 2.698892236097727090e-02 -1.413821637657177929e-02 2.298940555769322935e-02
2.761165418194154175e-01 2.907141980145287394e-02 -1.102615088671975857e-02 2.689928337141336140e-02
3.067961575771282479e-01 3.091610700826714908e-02 -6.628694783772706538e-03 3.019712035956756066e-02
3.374757733348410782e-01 3.242707917913379562e-02 -1.378003521099568484e-03 3.239778650441492436e-02
3.681553890925538530e-01 3.367273253148769796e-02 4.150852290451409465e-03 3.341591449294727817e-02
3.988350048502666834e-01 3.486855681398139811e-02 9.557329843796062360e-03 3.353317313566871183e-02
4.295146206079795137e-01 3.631193711593971168e-02 1.481644338678766645e-02 3.315161809743343707e-02
4.601942363656923440e-01 3.826822187693204591e-02 2.024484311187464691e-02 3.247465370096627030e-02
4.908738521234051744e-01 4.084878786606185169e-02 2.624496117144859558e-02 3.130216419412047008e-02
5.215534678811180047e-01 4.395227558563693376e-02 3.296822310545213103e-02 2.906714286655826332e-02
5.522330836388308350e-01 4.730393744111980464e-02 4.009066666366686849e-02 2.510778651924790508e-02
5.829126993965436654e-01 5.055880027876504673e-02 4.683899464238822780e-02 1.903420254485014076e-02
6.135923151542564957e-01 5.341210353016441481e-02 5.226951112533482352e-02 1.098867645512873435e-02
6.442719309119693261e-01 5.568476266025190746e-02 5.566031968992236206e-02 1.649728627449340360e-03
6.749515466696821564e-01 5.737406529643074293e-02 5.680908076353434477e-02 -8.031918291499889201e-03
7.056311624273949867e-01 5.866318679758425469e-02 5.607635626963056175e-02 -1.722822546781093214e-02
7.363107781851077061e-01 5.987886992363383731e-02 5.415538350488298402e-02 -2.554747542851365516e-02
7.669903939428205364e-01 6.139289956088345157e-02 5.170509794162791994e-02 -3.310092088355530426e-02
7.976700097005333667e-01 6.349411988985753652e-02 4.906285051489831656e-02 -4.030310112063765354e-02
8.283496254582461971e-01 6.630152751618911822e-02 4.620384882981578428e-02 -4.755099267409161612e-02
8.590292412159590274e-01 6.979518447623044020e-02 4.295615675099543479e-02 -5.501032969593027538e-02
8.897088569736718577e-01 7.398166012335709307e-02 3.930104970686793681e-02 -6.267945059224930282e-02
9.203884727313846881e-01 7.913080938487818128e-02 3.549900193638578366e-02 -7.072132532289254758e-02
9.510680884890975184e-01 8.596732418077181193e-02 3.185125381632682856e-02 -7.984909803579398613e-02
9.817477042468103487e-01 9.567009953945657119e-02 2.811829684112478883e-02 -9.144467906140806013e-02
1.012427320004523068e+00 1.095792904790013622e-01 2.286389190515185008e-02 -1.071674547091181623e-01
1.043106935762236009e+00 1.287299031924630521e-01 1.313233602731179311e-02 -1.280583059641453858e-01
1.073786551519948729e+00 1.535352935013103437e-01 -5.205697628121244702e-03 -1.534470171190632226e-01
1.104466167277661670e+00 1.837992714974370778e-01 -3.638355385655395874e-02 -1.801621747530702256e-01
1.135145783035374389e+00 2.189398297556370554e-01 -8.325313504306650070e-02 -2.024933691727417440e-01
1.165825398793087331e+00 2.582495250758873873e-01 -1.459454172809540595e-01 -2.130557494568254551e-01
1.196505014550800050e+00 3.011216708396781683e-01 -2.212243961965571215e-01 -2.042890774778431395e-01
1.227184630308512991e+00 3.472358421173793452e-01 -3.027703002135723187e-01 -1.700084567295075677e-01
1.257864246066225711e+00 3.966962235730116526e-01 -3.821585345802096523e-01 -1.064084030732326269e-01
1.288543861823938652e+00 4.500968401682607922e-01 -4.499298519769182603e-01 -1.225943838360103212e-02
1.319223477581651371e+00 5.084775552887884631e-01 -4.961199204989243938e-01 1.114201450214625799e-01
1.349903093339364313e+00 5.731473148642994841e-01 -5.100219244474993863e-01 2.614870572686643357e-01
1.380582709097077032e+00 6.453889409765239948e-01 -4.796420942008669530e-01 4.318221238026206388e-01
1.411262324854789973e+00 7.261078184706392102e-01 -3.919151003034113678e-01 6.112569984861996319e-01
1.441941940612502693e+00 8.155152175349086319e-01 -2.348616343269142037e-01 7.809642006854733420e-01
