# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.744713231471357606e-04 -9.744713231471357606e-04 0.000000000000000000e+00
3.067961575771282340e-02 1.120202437614632078e-03 -1.103309469931256469e-03 -1.938084487265026633e-04
6.135923151542564680e-02 1.435365979323694049e-03 -1.419584685863485140e-03 -2.122611934898545837e-04
9.203884727313846326e-02 1.754357751742078100e-03 -1.754235062333661709e-03 2.074770292663914674e-05
1.227184630308512936e-01 1.989322378601087946e-03 -1.939529847520722388e-03 4.422979726149952944e-04
1.533980787885641239e-01 2.107107016658146641e-03 -1.907859275747861424e-03 8.944120770611502409e-04
1.840776945462769265e-01 2.120097446374919706e-03 -1.729502140820869888e-03 1.226228170864412893e-03
2.147573103039897569e-01 2.095804436550614824e-03 -1.565290300198463090e-03 1.393650785659680293e-03
2.454369260617025872e-01 2.161747802560048254e-03 -1.560420270639724686e-03 1.496075579925642152e-03
2.761165418194154175e-01 2.451647497025678368e-03 -1.741258402388267974e-03 1.725860546447635473e-03
3.067961575771282479e-01 3.000410974149895094e-03 -1.976650293157313464e-03 2.257281469458390002e-03
3.374757733348410782e-01 3.736510119522347493e-03 -2.028615347954459188e-03 3.137869921353737823e-03
3.681553890925538530e-01 4.559702776150987777e-03 -1.665422320870249377e-03 4.244674062868217072e-03
3.988350048502666834e-01 5.386479226726488719e-03 -7.733743659261009019e-04 5.330670741106074972e-03
4.295146206079795137e-01 6.162647069243685702e-03 5.956951055362308314e-04 6.133788897679635747e-03
4.601942363656923440e-01 6.868539002184161600e-03 2.265778235547369780e-03 6.484063310289687153e-03
4.908738521234051744e-01 7.521578080186721096e-03 4.037490286392090080e-03 6.346086116941281226e-03
5.215534678811180047e-01 8.171546705798348603e-03 5.781838396339768378e-03 5.774471432404441017e-03
5.522330836388308350e-01 8.882942252171014547e-03 7.463990029722415709e-03 4.816172327856368431e-03
5.829126993965436654e-01 9.705017970119607720e-03 9.078282853463067598e-03 3.431057305388959290e-03
6.135923151542564957e-01 1.064152183238092561e-02 1.053581655973501521e-02 1.496180580228648064e-03
6.442719309119693261e-01 1.163665592677210966e-02 1.158544994830449856e-02 -1.090463503933876031e-03
6.749515466696821564e-01 1.258303561404689776e-02 1.184086188018935656e-02 -4.257555072885275613e-03
7.056311624273949867e-01 1.334365107726275500e-02 1.092999731428536889e-02 -7.654291788366190605e-03
7.363107781851077061e-01 1.377711600249717505e-02 8.707339137683843197e-03 -1.067666476422403019e-02
7.669903939428205364e-01 1.376066481528043749e-02 5.417483085686927019e-03 -1.264937837108183818e-02
7.976700097005333667e-01 1.321007694883945607e-02 1.704518534756613909e-03 -1.309964692497208975e-02
8.283496254582461971e-01 1.209820917414165635e-02 -1.570404334451816573e-03 -1.199585326050716175e-02
8.590292412159590274e-01 1.047724276141996126e-02 -3.642678459091989139e-03 -9.823619980709462005e-03
8.897088569736718577e-01 8.521244339548813412e-03 -4.151751047957116109e-03 -7.441409028542892400e-03
9.203884727313846881e-01 6.640773096770053764e-03 -3.295074329735125322e-03 -5.765618135491245091e-03
9.510680884890975184e-01 5.700125659444355355e-03 -1.748750955137905920e-03 -5.425246780595350399e-03
9.817477042468103487e-01 6.559365867594564928e-03 -3.897248601349473005e-04 -6.547777876375876667e-03
1.012427320004523068e+00 8.774559874025108716e-03 4.373984870524425553e-05 -8.774450855095535656e-03
1.043106935762236009e+00 1.151325356846129126e-02 -8.158235533850911403e-04 -1.148431276400241688e-02
1.073786551519948729e+00 1.440058452878613740e-02 -2.950502016282348112e-03 -1.409508327831476490e-02
1.104466167277661670e+00 1.739073239925203324e-02 -6.147877321398368365e-03 -1.626779572724682335e-02
1.135145783035374389e+00 2.063366826302735421e-02 -1.026581128798752414e-02 -1.789864197608551089e-02
