# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 4.659192287684478170e-03 -4.659192287684478170e-03 0.000000000000000000e+00
3.067961575771282340e-02 4.680322427757178418e-03 -4.587726637095569313e-03 9.263813097481079064e-04
6.135923151542564680e-02 4.747320786125133925e-03 -4.384403651037606028e-03 1.820455786649009073e-03
9.203884727313846326e-02 4.871426709592624991e-03 -4.077546128135722987e-03 2.665410992672199650e-03
1.227184630308512936e-01 5.071978950051244696e-03 -3.698660668889049933e-03 3.470573400200048248e-03
1.533980787885641239e-01 5.374939249823953644e-03 -3.262098628154436186e-03 4.271847899854467473e-03
1.840776945462769265e-01 5.807576345169511954e-03 -2.745258335714359076e-03 5.117763151530489545e-03
2.147573103039897569e-01 6.389728453309624981e-03 -2.079594720068341472e-03 6.041847027796921378e-03
2.454369260617025872e-01 7.125353515445452014e-03 -1.161864507839533746e-03 7.029988163965402055e-03
2.761165418194154175e-01 7.998875456753562832e-03 1.124229464404565801e-04 7.998085374248524795e-03
3.067961575771282479e-01 8.978026858640219751e-03 1.803411538133832407e-03 8.795036844640898022e-03
3.374757733348410782e-01 1.002169759268773178e-02 3.889281479262550727e-03 9.236228246115855967e-03
3.681553890925538530e-01 1.109025889924918420e-02 6.257223979611139728e-03 9.156472602555804433e-03
3.988350048502666834e-01 1.215600733885316073e-02 8.731234989533039753e-03 8.457780440506001279e-03
4.295146206079795137e-01 1.321113259815576320e-02 1.112433812957287771e-02 7.126228013822240304e-03
4.601942363656923440e-01 1.426979585684376092e-02 1.328562774649253916e-02 5.207606857052764736e-03
4.908738521234051744e-01 1.536071057088498996e-02 1.511119447107226420e-02 2.757395673444941464e-03
5.215534678811180047e-01 1.650884200345062794e-02 1.650765588416881757e-02 -1.978926596981009107e-04
5.522330836388308350e-01 1.771014816732181113e-02 1.733002092510516762e-02 -3.649619547830855112e-03
5.829126993965436654e-01 1.890882373279046541e-02 1.734334513767356659e-02 -7.533391958027583872e-03
6.135923151542564957e-01 1.998710946372464145e-02 1.625980352302697218e-02 -1.162339597998239202e-02
6.442719309119693261e-01 2.077216297771031575e-02 1.387008137809209868e-02 -1.546297504808378902e-02
6.749515466696821564e-01 2.105803440227906054e-02 1.023063876822736216e-02 -1.840583720675622453e-02
7.056311624273949867e-01 2.063913377346216979e-02 5.814864859443322383e-03 -1.980306010659155236e-02
7.363107781851077061e-01 1.935655825745273215e-02 1.520132309426167625e-03 -1.929677551654680398e-02
7.669903939428205364e-01 1.717452156072373295e-02 -1.535514701203981357e-03 -1.710574130057363959e-02
7.976700097005333667e-01 1.435612402717157711e-02 -2.402075211666732796e-03 -1.415373914416361185e-02
8.283496254582461971e-01 1.195140614268506117e-02 -7.441388251208145383e-04 -1.192821722623955277e-02
8.590292412159590274e-01 1.239107544570023159e-02 2.843535311152748865e-03 -1.206039210122385012e-02
8.897088569736718577e-01 1.716133238319961229e-02 6.819108226858910937e-03 -1.574836792042403483e-02
9.203884727313846881e-01 2.493365673530073198e-02 9.035186940867764513e-03 -2.323903257748437604e-02
9.510680884890975184e-01 3.438174104514225837e-02 7.344613464121111171e-03 -3.358810459608983084e-02
9.817477042468103487e-01 4.481594714163676663e-02 2.481334341806789223e-04 -4.481526021346771138e-02
1.012427320004523068e+00 5.585716749541239090e-02 -1.267180816895342559e-02 -5.440081284631507336e-02
1.043106935762236009e+00 6.731749068952158632e-02 -3.069634264723641870e-02 -5.991142713053394797e-02
1.073786551519948729e+00 7.918826178897743484e-02 -5.227783153539155431e-02 -5.947948499370892678e-02
1.104466167277661670e+00 9.164524978138631484e-02 -7.550607500107399395e-02 -5.193923801351802566e-02
1.135145783035374389e+00 1.050287146403658251e-01 -9.843844729440311137e-02 -3.661834230647826455e-02
1.165825398793087331e+00 1.197777466021712339e-01 -1.190697575191311253e-01 -1.300390039293054974e-02
1.196505014550800050e+00 1.363204196045486316e-01 -1.349367915564507192e-01 1.937315373425757201e-02
1.227184630308512991e+00 1.549461304095378633e-01 -1.426242508763443106e-01 6.055267451443507171e-02
1.257864246066225711e+00 1.756996140504764881e-01 -1.376200470938539477e-01 1.092294695371712060e-01
1.288543861823938652e+00 1.983264701463841317e-01 -1.149354666765568245e-01 1.616268147943487055e-01
1.319223477581651371e+00 2.222760008689732003e-01 -7.062383396342185315e-02 2.107579052814171350e-01
1.349903093339364313e+00 2.467477475861801217e-01 -3.885621650583251027e-03 2.467171515789726988e-01
1.380582709097077032e+00 2.707626308931314063e-01 8.097567950237520573e-02 2.583705509869472783e-01
1.411262324854789973e+00 2.932437158535184385e-01 1.736718360577002573e-01 2.362836647928213130e-01
1.441941940612502693e+00 3.130976228186125865e-01 2.588604343358519300e-01 1.761289213903279305e-01
1.472621556370215412e+00 3.292915875325867492e-01 3.190700051978740959e-01 8.140811631993355446e-02
1.503301172127928353e+00 3.409229194872986923e-01 3.390512336546016026e-01 -3.567489297861830416e-02
1.533980787885641073e+00 3.472781477406160500e-01 3.103264536640811810e-01 -1.558833026800113541e-01
1.564660403643354014e+00 3.478793654870002139e-01 2.344281596087221808e-01 -2.570281908937332438e-01
1.595340019401066733e+00 3.425156366840709787e-01 1.235764208877254411e-01 -3.194461293765730736e-01
1.626019635158779675e+00 3.312579438845742463e-01 -1.697510165492475357e-03 -3.312535944648356545e-01
1.656699250916492394e+00 3.144570122227886566e-01 -1.174660712470031593e-01 -2.916932200821216181e-01
1.687378866674205335e+00 2.927243546708522270e-01 -2.024506505133366330e-01 -2.114267767436132928e-01
1.718058482431918055e+00 2.668979483695298471e-01 -2.433540190755007215e-01 -1.096053659437577210e-01
1.748738098189630996e+00 2.379949808243803921e-01 -2.378390858788811957e-01 -8.612788508686280292e-03
1.779417713947343715e+00 2.071550354195306198e-01 -1.942928257525780855e-01 7.185754352011569646e-02
1.810097329705056657e+00 1.755779091591538610e-01 -1.285894956202526529e-01 1.195505909681299495e-01
1.840776945462769376e+00 1.444610731057248965e-01 -5.904323037414409281e-02 1.318442209193992076e-01
1.871456561220482318e+00 1.149429488063030552e-01 -1.263678773854827074e-03 1.149360021761889616e-01
1.902136176978195037e+00 8.806062614201044803e-02 3.547445250988584542e-02 8.059923756244091742e-02
1.932815792735907978e+00 6.473653496158117415e-02 4.939724212491469757e-02 4.184174266548389143e-02
1.963495408493620697e+00 4.581963437851668125e-02 4.492255613713595080e-02 9.022352502912826810e-03
1.994175024251333417e+00 3.219245342651925329e-02 2.971862874059352441e-02 -1.237566820003590390e-02
2.024854640009046136e+00 2.467263355270778169e-02 1.142702930591756906e-02 -2.186691216582493935e-02
2.055534255766759077e+00 2.285680803043902906e-02 -4.731159482964149114e-03 -2.236179338262252528e-02
2.086213871524472019e+00 2.445786798557317634e-02 -1.677396827415930658e-02 -1.779947456351513302e-02
2.116893487282184960e+00 2.757029940485249131e-02 -2.523351130448405616e-02 -1.110816440820376443e-02
2.147573103039897457e+00 3.170121252675127399e-02 -3.153221007267910381e-02 -3.269037105737123729e-03
2.178252718797610399e+00 3.692138386609623152e-02 -3.637501931296739655e-02 6.328234869920685256e-03
2.208932334555323340e+00 4.316018411469382809e-02 -3.892722513193511147e-02 1.864061791738431950e-02
2.239611950313036282e+00 5.003989236169527344e-02 -3.709259093641667504e-02 3.358765435682743022e-02
2.270291566070748779e+00 5.699623515444530997e-02 -2.866532221901495550e-02 4.926327358043591093e-02
2.300971181828461720e+00 6.343514999958148326e-02 -1.273934710504568205e-02 6.214279757788964548e-02
2.331650797586174662e+00 6.883561244415528635e-02 9.327922410033034212e-03 6.820067011455495376e-02
2.362330413343887603e+00 7.280161022747683175e-02 3.387197459963061513e-02 6.444194122181172435e-02
2.393010029101600100e+00 7.508279952358440368e-02 5.585202690401314118e-02 5.017945670303892991e-02
2.423689644859313042e+00 7.557674867439112543e-02 7.039082951891417750e-02 2.751319792083867580e-02
2.454369260617025983e+00 7.431944567985544758e-02 7.431498552758841747e-02 8.142064819864743225e-04
2.485048876374738480e+00 7.146781472149210668e-02 6.710901279482719972e-02 -2.457700028012457447e-02
2.515728492132451422e+00 6.727692145432577486e-02 5.095385194509961108e-02 -4.393050343813951347e-02
2.546408107890164363e+00 6.207417056675534200e-02 2.989082532880050699e-02 -5.440350368049629709e-02
2.577087723647877304e+00 5.623251420610516499e-02 8.477373783720203171e-03 -5.558983529091367920e-02
2.607767339405589802e+00 5.014417305376512451e-02 -9.543775145027537724e-03 -4.922757811661162414e-02
2.638446955163302743e+00 4.419536736121954662e-02 -2.210002550686369568e-02 -3.827295871485667661e-02
2.669126570921015684e+00 3.874090880890130456e-02 -2.893685799194552211e-02 -2.575880946188284157e-02
2.699806186678728626e+00 3.407579248390824739e-02 -3.111938192931907113e-02 -1.388321654889628116e-02
2.730485802436441123e+00 3.040203957011459318e-02 -3.018480915985399457e-02 -3.627851431082595914e-03
2.761165418194154064e+00 2.779828485682730652e-02 -2.733781887490915191e-02 5.038680397085653663e-03
2.791845033951867006e+00 2.621511154314725561e-02 -2.301329165399395443e-02 1.255469953714005368e-02
2.822524649709579947e+00 2.551789685433459090e-02 -1.694492647933578192e-02 1.907963643464843928e-02
2.853204265467292444e+00 2.556326261365262850e-02 -8.657186778208057765e-03 2.405272359924734080e-02
2.883883881225005386e+00 2.626237131952328593e-02 1.871304915769977494e-03 2.619561729062200306e-02
2.914563496982718327e+00 2.759804930534092218e-02 1.368449492260035566e-02 2.396637069256322625e-02
2.945243112740430824e+00 2.960057885805536179e-02 2.471554647097403898e-02 1.628913844784544290e-02
2.975922728498143766e+00 3.230859383556760472e-02 3.214223601289514093e-02 3.274431206030116535e-03
