# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.418687701446068920e-03 -5.418687701446068920e-03 0.000000000000000000e+00
3.067961575771282340e-02 5.381677923120178897e-03 -5.136089234803756232e-03 1.607185316113887577e-03
6.135923151542564680e-02 5.283703453467173371e-03 -4.402379220043661778e-03 2.921742525806935928e-03
9.203884727313846326e-02 5.171186799039909250e-03 -3.495111915161496028e-03 3.811215765482290577e-03
1.227184630308512936e-01 5.138587895761994977e-03 -2.696484119602515685e-03 4.374249530514135419e-03
1.533980787885641239e-01 5.324595085705531756e-03 -2.127427204145064012e-03 4.881123468811561852e-03
1.840776945462769265e-01 5.855759601301815075e-03 -1.666869369996102409e-03 5.613507549795154067e-03
2.147573103039897569e-01 6.763717248489415496e-03 -1.003768483933671933e-03 6.688820512480112869e-03
2.454369260617025872e-01 7.967690013311842442e-03 2.018225090300179725e-04 7.965133509432098177e-03
2.761165418194154175e-01 9.328261127805841449e-03 2.132536473316346166e-03 9.081230305333578764e-03
3.067961575771282479e-01 1.070251568841677769e-02 4.702277640563227827e-03 9.614178438736529012e-03
3.374757733348410782e-01 1.197685592658814108e-02 7.581387935586694250e-03 9.271873319690579485e-03
3.681553890925538530e-01 1.308857052061682298e-02 1.034648421324798825e-02 8.016292328637339079e-03
3.988350048502666834e-01 1.404229219815634859e-02 1.267280566964623136e-02 6.048633452093537394e-03
4.295146206079795137e-01 1.491620677316525881e-02 1.445928990095781026e-02 3.663626626702097457e-03
4.601942363656923440e-01 1.584519333995803442e-02 1.580988478129403962e-02 1.057211039886348739e-03
4.908738521234051744e-01 1.696989917332928158e-02 1.687482714315662741e-02 -1.793791192292491050e-03
5.215534678811180047e-01 1.836205276885500767e-02 1.764166515998464441e-02 -5.092802005693909326e-03
5.522330836388308350e-01 1.996548632848561475e-02 1.780945399749804883e-02 -9.024632548971003518e-03
5.829126993965436654e-01 2.158860648114898848e-02 1.685101865764212711e-02 -1.349485457490020787e-02
6.135923151542564957e-01 2.294381744922378841e-02 1.427406575642783081e-02 -1.796301216178623761e-02
6.442719309119693261e-01 2.370441273575374722e-02 9.975561932370676302e-03 -2.150319388556968733e-02
6.749515466696821564e-01 2.355930642108666415e-02 4.506057016107916161e-03 -2.312436743373189052e-02
7.056311624273949867e-01 2.226520822949553877e-02 -9.304905829321427320e-04 -2.224575655665301036e-02
7.363107781851077061e-01 1.971353027222658150e-02 -4.812113405676081077e-03 -1.911718704111319694e-02
7.669903939428205364e-01 1.607543238496424512e-02 -5.882175431864152849e-03 -1.496059953853223767e-02
7.976700097005333667e-01 1.229412154082139101e-02 -3.754931593316579875e-03 -1.170666106069538290e-02
8.283496254582461971e-01 1.139786946179376960e-02 7.284542990987097908e-04 -1.137456735890273775e-02
8.590292412159590274e-01 1.630204015674523860e-02 5.584598334778413838e-03 -1.531563824041703124e-02
8.897088569736718577e-01 2.501646659553687091e-02 8.223333593957805887e-03 -2.362626473922818313e-02
9.203884727313846881e-01 3.553491740703520335e-02 6.241885561501221355e-03 -3.498241300656568936e-02
9.510680884890975184e-01 4.700614503948082057e-02 -1.839032162044169959e-03 -4.697015682515521401e-02
9.817477042468103487e-01 5.902738200406430075e-02 -1.619293895779548575e-02 -5.676284483852834378e-02
1.012427320004523068e+00 7.144400738584943955e-02 -3.578690354729466283e-02 -6.183480998471604234e-02
1.043106935762236009e+00 8.432344247931243542e-02 -5.884974311523334667e-02 -6.039164418057317574e-02
1.073786551519948729e+00 9.794675431982559355e-02 -8.340307415240548472e-02 -5.135653710791478199e-02
1.104466167277661670e+00 1.127635259445890770e-01 -1.075115460873964646e-01 -3.401294226252177949e-02
1.135145783035374389e+00 1.292921431471560079e-01 -1.290664638578153944e-01 -7.635848795249573426e-03
1.165825398793087331e+00 1.479796239625869592e-01 -1.452120550197949500e-01 2.848557854488271979e-02
1.196505014550800050e+00 1.690618519635437578e-01 -1.518159385386997073e-01 7.438972103024002469e-02
1.227184630308512991e+00 1.924684245713954578e-01 -1.435132737483690857e-01 1.282498916764479024e-01
1.257864246066225711e+00 2.177934692561374341e-01 -1.147129633253588521e-01 1.851349002639398333e-01
1.288543861823938652e+00 2.443251576808805337e-01 -6.155763450063395786e-02 2.364433131016258904e-01
1.319223477581651371e+00 2.711122566905652120e-01 1.567971773160634075e-02 2.706584603881948548e-01
1.349903093339364313e+00 2.970473793653936045e-01 1.106765155269323064e-01 2.756589459797464392e-01
