# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.3530
        2     0.00000     0.9880E+02     1.000     2   2.3639
        3     0.00000     0.9845E+02     1.000     2   2.3670
        4     0.00000     0.9833E+02     1.000     2   2.3681
        5     0.00000     0.1275E+02     1.000     2   3.0440
        6     0.00000     0.1241E+02     1.000     2   3.0752
        7     0.00000     0.1219E+02     1.000     2   3.0956
        8     0.00000     0.1080E+02     1.000     2   3.2396
        9     0.00000     0.3933E+02     1.000     2   3.2761
       10     0.00000     0.3905E+02     1.000     2   3.2846
       11     0.00000     0.1018E+02     1.000     2   3.3118
       12     0.00000     0.3811E+02     1.000     2   3.3140
       13     0.00000     0.3741E+02     1.000     2   3.3365
       14     0.00000     0.9141E+01     1.000     2   3.4468
       15     0.00000     0.2923E+02     1.000     2   3.6503
       16     0.00000     0.7499E+01     1.000     2   3.7062
       17     0.00000     0.1531E+02     2.000     3   3.7065
       18     0.00000     0.4387E+02     2.000     3   3.7279
       19     0.00000     0.7338E+01     1.000     2   3.7356
       20     0.00000     0.4346E+02     2.000     3   3.7366
       21     0.00000     0.1439E+02     2.000     3   3.7514
       22     0.00000     0.4301E+02     2.000     3   3.7536
       23     0.00000     0.4285E+02     2.000     3   3.7642
       24     0.00000     0.1132E+02     2.000     3   3.8344
       25     0.00000     0.9785E+01     2.000     3   3.8446
       26     0.00000     0.7773E+01     2.000     3   3.9026
       27     0.00000     0.1948E+02     2.000     3   3.9094
       28     0.00000     0.2387E+02     1.000     2   3.9237
       29     0.00000     0.7586E+01     2.000     3   3.9360
       30     0.00000     0.7309E+01     2.000     3   4.0068
       31     0.00000     0.7177E+01     2.000     3   4.0413
       32     0.00000     0.2149E+02     1.000     2   4.0716
       33     0.00000     0.5678E+01     1.000     2   4.0964
       34     0.00000     0.2100E+02     1.000     2   4.1043
       35     0.00000     0.8362E+01     1.000     4   4.1370
       36     0.00000     0.5474E+01     1.000     2   4.1501
       37     0.00000     0.2705E+01     2.000     4   4.1584
       38     0.00000     0.8668E+01     1.000     4   4.1685
