# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   1.9763
        2     0.00000     0.8736E+02     1.000     2   2.0809
        3     0.00000     0.6961E+02     1.000     2   2.3253
        4     0.00000     0.6929E+02     1.000     2   2.3294
        5     0.00000     0.8879E+01     1.000     2   2.9216
        6     0.00000     0.3376E+02     1.000     2   2.9799
        7     0.00000     0.3230E+02     1.000     2   3.0406
        8     0.00000     0.3190E+02     1.000     2   3.0446
        9     0.00000     0.7707E+01     1.000     2   3.0843
       10     0.00000     0.2995E+02     1.000     2   3.1114
       11     0.00000     0.7263E+01     1.000     2   3.1547
       12     0.00000     0.7159E+01     1.000     2   3.1722
       13     0.00000     0.5211E+02     2.000     3   3.1786
       14     0.00000     0.6147E+02     2.000     3   3.1938
       15     0.00000     0.6916E+01     1.000     2   3.2140
       16     0.00000     0.5512E+02     2.000     3   3.2194
       17     0.00000     0.2760E+02     1.000     2   3.2361
       18     0.00000     0.6738E+01     1.000     2   3.2458
       19     0.00000     0.6650E+01     1.000     2   3.2619
       20     0.00000     0.6547E+01     1.000     2   3.2812
       21     0.00000     0.5185E+02     2.000     3   3.2833
       22     0.00000     0.2623E+02     1.000     2   3.2989
       23     0.00000     0.3779E+02     1.000     4   3.3469
       24     0.00000     0.2387E+02     1.000     4   3.3773
       25     0.00000     0.3082E+02     1.000     4   3.3943
       26     0.00000     0.2334E+02     1.000     2   3.4457
       27     0.00000     0.2973E+02     1.000     4   3.4551
       28     0.00000     0.5435E+01     1.000     2   3.5185
       29     0.00000     0.8080E+01     2.000     3   3.6057
       30     0.00000     0.6419E+01     2.000     3   3.6134
       31     0.00000     0.5849E+01     2.000     3   3.6316
       32     0.00000     0.2007E+02     1.000     2   3.6413
       33     0.00000     0.1988E+02     1.000     2   3.6544
       34     0.00000     0.6107E+01     2.000     3   3.6926
       35     0.00000     0.2849E+02     2.000     3   3.6937
       36     0.00000     0.2801E+02     2.000     3   3.7278
       37     0.00000     0.5765E+01     2.000     3   3.7352
       38     0.00000     0.5322E+01     2.000     3   3.7354
       39     0.00000     0.5247E+01     2.000     3   3.7532
       40     0.00000     0.7180E+01     2.000     3   3.7821
       41     0.00000     0.6028E+01     2.000     3   3.7873
       42     0.00000     0.7499E+01     2.000     4   3.8121
       43     0.00000     0.1466E+02     2.000     3   3.8342
       44     0.00000     0.1189E+02     2.000     4   3.8675
       45     0.00000     0.7576E+01     2.000     3   3.8781
       46     0.00000     0.1035E+02     2.000     4   3.9071
       47     0.00000     0.1126E+02     2.000     3   3.9093
       48     0.00000     0.5080E+01     2.000     3   3.9398
       49     0.00000     0.5136E+01     2.000     3   3.9474
       50     0.00000     0.7025E+01     2.000     3   3.9484
       51     0.00000     0.1602E+02     1.000     2   3.9524
       52     0.00000     0.1391E+02     1.000     4   3.9527
       53     0.00000     0.1351E+02     2.000     3   3.9658
       54     0.00000     0.1534E+02     2.000     3   3.9884
       55     0.00000     0.8193E+01     2.000     3   3.9923
       56     0.00000     0.5202E+01     1.000     4   4.0141
       57     0.00000     0.3937E+01     2.000     4   4.0573
       59     0.00000     0.3551E+01     1.000     2   4.1129
       60     0.00000     0.9247E+01     2.000     4   4.1416
       61     0.00000     0.9195E+01     1.000     4   4.1512
       62     0.00000     0.8469E+01     1.000     4   4.1566
       63     0.00000     0.1048E+02     1.000     4   4.1619
       65     0.00000     0.1345E+02     1.000     2   4.1757
       66     0.00000     0.1343E+02     1.000     2   4.1754
       67     0.00000     0.4330E+01     1.000     4   4.1773
       68     0.00000     0.4075E+02     2.000     3   4.1953
       69     0.00000     0.1292E+02     2.000     3   4.1962
       70     0.00000     0.1319E+02     1.000     2   4.2018
       73     0.00000     0.3746E+02     2.000     3   4.2116
       74     0.00000     0.3217E+02     1.000     4   4.2149
       75     0.00000     0.3304E+01     1.000     2   4.2207
       76     0.00000     0.3303E+01     1.000     2   4.2214
       77     0.00000     0.3803E+02     2.000     3   4.2299
       79     0.00000     0.2831E+02     1.000     4   4.2478
       80     0.00000     0.2921E+02     1.000     4   4.2579
       81     0.00000     0.3712E+01     1.000     4   4.2653
       82     0.00000     0.1274E+02     1.000     2   4.2688
       83     0.00000     0.3635E+01     2.000     3   4.2694
       84     0.00000     0.3041E+01     2.000     5   4.2707
       85     0.00000     0.1350E+02     2.000     3   4.2749
       86     0.00000     0.1961E+02     2.000     4   4.2792
       87     0.00000     0.7351E+01     2.000     3   4.2808
       88     0.00000     0.7125E+01     2.000     3   4.2816
       89     0.00000     0.3213E+02     2.000     3   4.2875
       90     0.00000     0.5184E+01     2.000     5   4.2889
       91     0.00000     0.3656E+02     2.000     3   4.2945
       92     0.00000     0.3470E+02     2.000     3   4.2946
       93     0.00000     0.2986E+02     2.000     3   4.2946
       94     0.00000     0.5293E+01     2.000     5   4.2981
       95     0.00000     0.3913E+01     2.000     4   4.3017
       96     0.00000     0.5170E+01     2.000     4   4.3058
       97     0.00000     0.1202E+02     2.000     3   4.3067
       98     0.00000     0.4968E+02     2.000     4   4.3071
       99     0.00000     0.3631E+01     1.000     4   4.3105
      100     0.00000     0.3106E+01     1.000     2   4.3153
      101     0.00000     0.2776E+02     1.000     4   4.3202
      102     0.00000     0.5105E+02     2.000     4   4.3226
      103     0.00000     0.1737E+02     2.000     4   4.3248
      104     0.00000     0.1753E+02     2.000     4   4.3280
      105     0.00000     0.1501E+02     1.000     4   4.3292
      106     0.00000     0.1863E+02     2.000     4   4.3310
      107     0.00000     0.4311E+02     2.000     4   4.3308
      109     0.00000     0.7497E+01     2.000     5   4.3409
      110     0.00000     0.2434E+02     1.000     4   4.3580
      111     0.00000     0.4303E+01     2.000     5   4.3611
      112     0.00000     0.3125E+02     2.000     3   4.3732
      113     0.00000     0.6798E+01     2.000     5   4.3791
      114     0.00000     0.2072E+02     1.000     4   4.3808
      115     0.00000     0.1069E+02     2.000     3   4.3834
      116     0.00000     0.1015E+02     2.000     3   4.3861
      117     0.00000     0.3389E+02     1.000     4   4.3873
      118     0.00000     0.1201E+02     1.000     4   4.3920
      119     0.00000     0.2129E+02     2.000     4   4.3960
      120     0.00000     0.3025E+02     1.000     4   4.3992
      121     0.00000     0.4565E+02     2.000     4   4.3990
      122     0.00000     0.2931E+01     1.000     2   4.4051
      124     0.00000     0.2223E+02     1.000     4   4.4112
      125     0.00000     0.7901E+01     2.000     3   4.4141
      126     0.00000     0.2620E+02     1.000     4   4.4139
      128     0.00000     0.2220E+02     2.000     4   4.4218
      129     0.00000     0.5228E+01     2.000     3   4.4236
      130     0.00000     0.4392E+02     2.000     4   4.4406
      131     0.00000     0.7486E+02     2.000     5   4.4602
      132     0.00000     0.2953E+01     2.000     4   4.4642
      133     0.00000     0.5675E+01     2.000     3   4.4654
      134     0.00000     0.4388E+02     2.000     4   4.4694
      135     0.00000     0.7532E+01     1.000     6   4.4694
      136     0.00000     0.5572E+01     2.000     3   4.4706
      137     0.00000     0.1466E+02     1.000     6   4.4730
      138     0.00000     0.2801E+01     1.000     2   4.4764
      139     0.00000     0.3002E+02     1.000     4   4.4777
      140     0.00000     0.4889E+02     2.000     5   4.4779
      141     0.00000     0.1982E+02     1.000     4   4.4856
      142     0.00000     0.2932E+01     1.000     4   4.4859
      143     0.00000     0.3132E+01     2.000     4   4.4924
      144     0.00000     0.3587E+02     2.000     4   4.4933
      145     0.00000     0.7315E+02     2.000     5   4.4975
      146     0.00000     0.5061E+02     2.000     5   4.5029
      147     0.00000     0.7447E+01     2.000     4   4.5085
      148     0.00000     0.2742E+01     1.000     2   4.5102
      149     0.00000     0.1268E+02     2.000     4   4.5196
      150     0.00000     0.1269E+02     2.000     3   4.5247
      151     0.00000     0.5902E+02     2.000     5   4.5295
      152     0.00000     0.6908E+01     2.000     3   4.5315
      153     0.00000     0.3768E+01     1.000     4   4.5311
      154     0.00000     0.7702E+02     2.000     5   4.5328
      155     0.00000     0.1186E+02     1.000     6   4.5330
      156     0.00000     0.1593E+02     1.000     4   4.5393
      157     0.00000     0.1005E+02     2.000     3   4.5430
      158     0.00000     0.3940E+02     2.000     4   4.5451
      159     0.00000     0.4072E+02     2.000     5   4.5491
      160     0.00000     0.7364E+02     2.000     5   4.5524
      161     0.00000     0.1120E+02     2.000     4   4.5559
      163     0.00000     0.7950E+02     2.000     5   4.5622
      164     0.00000     0.7205E+02     2.000     5   4.5643
      165     0.00000     0.6468E+02     2.000     5   4.5708
      166     0.00000     0.6169E+01     2.000     5   4.5739
      167     0.00000     0.7769E+01     2.000     3   4.5762
      168     0.00000     0.5793E+02     2.000     5   4.5795
      169     0.00000     0.4001E+02     2.000     5   4.5936
      170     0.00000     0.3670E+02     2.000     5   4.5947
      171     0.00000     0.4052E+02     2.000     5   4.5966
      172     0.00000     0.5895E+02     2.000     5   4.6126
      173     0.00000     0.4225E+01     2.000     3   4.6281
      174     0.00000     0.9562E+01     2.000     3   4.6493
      175     0.00000     0.6765E+02     2.000     5   4.6496
      176     0.00000     0.5068E+01     1.000     4   4.6507
      177     0.00000     0.2949E+01     2.000     4   4.6547
      178     0.00000     0.6091E+02     2.000     5   4.6574
      179     0.00000     0.5022E+01     1.000     4   4.6588
      180     0.00000     0.3474E+01     2.000     4   4.6608
      181     0.00000     0.9256E+01     2.000     5   4.6617
      182     0.00000     0.3729E+01     2.000     4   4.6667
      183     0.00000     0.1002E+02     2.000     5   4.6843
      185     0.00000     0.5242E+02     1.000     6   4.7055
      186     0.00000     0.6137E+02     1.000     6   4.7076
      187     0.00000     0.6477E+01     2.000     3   4.7083
      188     0.00000     0.2688E+01     1.000     4   4.7101
      190     0.00000     0.3263E+01     2.000     4   4.7126
      192     0.00000     0.6022E+02     1.000     6   4.7174
      193     0.00000     0.2835E+01     2.000     4   4.7187
      195     0.00000     0.5879E+01     2.000     3   4.7274
      196     0.00000     0.1304E+02     2.000     4   4.7279
      197     0.00000     0.8181E+01     2.000     4   4.7325
      199     0.00000     0.7916E+01     2.000     4   4.7356
      200     0.00000     0.9436E+01     1.000     4   4.7367
      201     0.00000     0.5563E+02     1.000     6   4.7370
      202     0.00000     0.5860E+01     2.000     3   4.7416
      203     0.00000     0.3185E+01     2.000     3   4.7429
      204     0.00000     0.5549E+01     2.000     4   4.7442
      205     0.00000     0.5733E+01     1.000     4   4.7474
      206     0.00000     0.4305E+01     1.000     4   4.7476
      207     0.00000     0.9043E+02     2.000     6   4.7478
      208     0.00000     0.4036E+01     2.000     4   4.7553
      210     0.00000     0.4726E+01     2.000     3   4.7609
      211     0.00000     0.6682E+01     2.000     3   4.7615
      212     0.00000     0.1147E+02     2.000     4   4.7636
      214     0.00000     0.9689E+02     2.000     6   4.7685
      215     0.00000     0.1169E+02     2.000     4   4.7696
      216     0.00000     0.4009E+02     1.000     6   4.7782
      217     0.00000     0.1987E+02     2.000     5   4.7867
