# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   1.9837
        2     0.00000     0.9985E+02     1.000     2   1.9849
        3     0.00000     0.7021E+02     1.000     2   2.3291
        4     0.00000     0.6892E+02     1.000     2   2.3455
        5     0.00000     0.3612E+02     1.000     2   2.9243
        6     0.00000     0.8734E+01     1.000     2   2.9390
        7     0.00000     0.3467E+02     1.000     2   2.9703
        8     0.00000     0.3325E+02     1.000     2   3.0087
        9     0.00000     0.8149E+01     1.000     2   3.0183
       10     0.00000     0.3212E+02     1.000     2   3.0519
       11     0.00000     0.7793E+01     1.000     2   3.0704
       12     0.00000     0.5641E+02     2.000     3   3.1156
       13     0.00000     0.6143E+02     2.000     3   3.1363
       14     0.00000     0.7348E+01     1.000     2   3.1400
       15     0.00000     0.5664E+02     2.000     3   3.1848
       16     0.00000     0.7074E+01     1.000     2   3.1858
       17     0.00000     0.6048E+02     2.000     3   3.2086
       18     0.00000     0.6833E+01     1.000     2   3.2280
       19     0.00000     0.2810E+02     1.000     2   3.2324
       20     0.00000     0.2747E+02     1.000     2   3.2603
       21     0.00000     0.3511E+02     1.000     4   3.3024
       22     0.00000     0.2670E+02     1.000     4   3.3069
       23     0.00000     0.3068E+02     1.000     4   3.3609
       24     0.00000     0.3689E+02     1.000     4   3.3652
       25     0.00000     0.6042E+01     1.000     2   3.3816
       26     0.00000     0.2354E+02     1.000     2   3.4545
       27     0.00000     0.6651E+01     2.000     3   3.5712
       28     0.00000     0.9644E+01     2.000     3   3.6121
       29     0.00000     0.1036E+02     2.000     3   3.6316
       30     0.00000     0.5699E+01     2.000     3   3.6329
       31     0.00000     0.6213E+01     2.000     3   3.6359
       32     0.00000     0.6488E+01     2.000     3   3.6383
       33     0.00000     0.5677E+01     2.000     3   3.6586
       34     0.00000     0.5758E+01     2.000     3   3.6757
       35     0.00000     0.4779E+01     1.000     2   3.6907
       36     0.00000     0.2833E+02     2.000     3   3.6976
       37     0.00000     0.2857E+02     2.000     3   3.7037
       38     0.00000     0.8353E+01     2.000     3   3.7104
       39     0.00000     0.4701E+01     1.000     2   3.7133
       40     0.00000     0.1147E+02     2.000     4   3.7626
       41     0.00000     0.1081E+02     2.000     3   3.7836
       42     0.00000     0.8112E+01     2.000     3   3.8004
       43     0.00000     0.1265E+02     2.000     4   3.8043
       44     0.00000     0.1032E+02     2.000     4   3.8120
       45     0.00000     0.1603E+02     1.000     2   3.9584
       46     0.00000     0.1346E+02     1.000     4   3.9674
       47     0.00000     0.6683E+01     2.000     3   3.9684
       48     0.00000     0.4085E+01     2.000     4   3.9686
       49     0.00000     0.1342E+02     1.000     4   3.9697
       50     0.00000     0.1343E+02     2.000     3   3.9773
       51     0.00000     0.7701E+01     2.000     3   3.9844
