# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     2.000     2   1.9937
        2     0.00000     0.3540E+02     1.000     2   2.3344
        3     0.00000     0.3521E+02     1.000     2   2.3393
        4     0.00000     0.4591E+01     1.000     2   2.8932
        5     0.00000     0.4521E+01     1.000     2   2.9103
        6     0.00000     0.1818E+02     1.000     2   2.9353
        7     0.00000     0.1816E+02     1.000     2   2.9361
        8     0.00000     0.8163E+01     2.000     2   3.0273
        9     0.00000     0.3254E+02     2.000     2   3.0554
       10     0.00000     0.2829E+02     2.000     3   3.1252
       11     0.00000     0.2832E+02     2.000     3   3.1257
       12     0.00000     0.3672E+01     1.000     2   3.1522
       13     0.00000     0.3667E+01     1.000     2   3.1539
       14     0.00000     0.1474E+02     1.000     2   3.1934
       15     0.00000     0.1467E+02     1.000     2   3.1996
       16     0.00000     0.3003E+02     2.000     3   3.2141
       17     0.00000     0.2999E+02     2.000     3   3.2142
       18     0.00000     0.3222E+01     1.000     2   3.3127
       19     0.00000     0.1346E+02     1.000     4   3.3151
       20     0.00000     0.1351E+02     1.000     4   3.3153
       21     0.00000     0.3209E+01     1.000     2   3.3180
       22     0.00000     0.1794E+02     1.000     4   3.3729
       23     0.00000     0.1789E+02     1.000     4   3.3733
       24     0.00000     0.1203E+02     1.000     2   3.4475
       25     0.00000     0.1202E+02     1.000     2   3.4482
       26     0.00000     0.3280E+01     2.000     3   3.5829
       27     0.00000     0.3278E+01     2.000     3   3.5841
       28     0.00000     0.5465E+01     2.000     3   3.5892
       29     0.00000     0.5329E+01     2.000     3   3.6007
       30     0.00000     0.4605E+01     2.000     3   3.6140
       31     0.00000     0.2819E+01     2.000     3   3.6431
       32     0.00000     0.2819E+01     2.000     3   3.6441
       35     0.00000     0.1449E+02     2.000     3   3.6748
       36     0.00000     0.1453E+02     2.000     3   3.6754
       37     0.00000     0.5720E+01     2.000     4   3.7728
       38     0.00000     0.5730E+01     2.000     4   3.7737
       39     0.00000     0.5320E+01     2.000     3   3.7845
       40     0.00000     0.5317E+01     2.000     3   3.7852
       41     0.00000     0.8425E+01     1.000     2   3.9108
       42     0.00000     0.8410E+01     1.000     2   3.9132
       43     0.00000     0.3079E+01     2.000     3   3.9421
       44     0.00000     0.3273E+01     2.000     3   3.9550
       45     0.00000     0.3270E+01     2.000     3   3.9694
       46     0.00000     0.3353E+01     2.000     3   3.9700
       47     0.00000     0.6712E+01     2.000     3   3.9763
       48     0.00000     0.6704E+01     2.000     3   3.9773
       49     0.00000     0.1307E+02     2.000     4   3.9873
       50     0.00000     0.7807E+01     2.000     3   3.9947
       51     0.00000     0.7814E+01     2.000     3   3.9943
       52     0.00000     0.5341E+01     2.000     3   4.0817
       53     0.00000     0.5336E+01     2.000     3   4.0873
       54     0.00000     0.7362E+01     1.000     2   4.0913
       55     0.00000     0.7359E+01     1.000     2   4.0917
       56     0.00000     0.2046E+02     2.000     3   4.1285
       57     0.00000     0.2045E+02     2.000     3   4.1283
       58     0.00000     0.4708E+01     1.000     4   4.1513
       59     0.00000     0.4362E+01     2.000     4   4.1531
       60     0.00000     0.4350E+01     2.000     4   4.1538
       61     0.00000     0.4717E+01     1.000     4   4.1563
       62     0.00000     0.4850E+01     2.000     3   4.1578
       63     0.00000     0.4820E+01     2.000     3   4.1617
       64     0.00000     0.1551E+02     1.000     4   4.1653
       65     0.00000     0.1548E+02     1.000     4   4.1653
       66     0.00000     0.1395E+02     2.000     2   4.1720
       67     0.00000     0.1936E+02     2.000     3   4.1799
       68     0.00000     0.1933E+02     2.000     3   4.1805
       69     0.00000     0.2087E+02     2.000     3   4.1914
       70     0.00000     0.2087E+02     2.000     3   4.1913
       73     0.00000     0.1631E+02     1.000     4   4.2108
       74     0.00000     0.1631E+02     1.000     4   4.2107
       75     0.00000     0.2753E+02     2.000     4   4.2173
       76     0.00000     0.2754E+02     2.000     4   4.2169
       77     0.00000     0.9440E+01     2.000     4   4.2432
       78     0.00000     0.9429E+01     2.000     4   4.2440
       79     0.00000     0.1243E+02     1.000     4   4.2568
       80     0.00000     0.1243E+02     1.000     4   4.2577
       81     0.00000     0.3354E+01     2.000     5   4.2640
       82     0.00000     0.3342E+01     2.000     5   4.2637
       83     0.00000     0.1874E+02     1.000     4   4.2685
       84     0.00000     0.1870E+02     1.000     4   4.2693
       85     0.00000     0.9929E+01     2.000     4   4.2746
       86     0.00000     0.9928E+01     2.000     4   4.2743
       87     0.00000     0.3062E+02     4.000     3   4.2956
       88     0.00000     0.2348E+02     2.000     4   4.3150
       89     0.00000     0.2347E+02     2.000     4   4.3152
       90     0.00000     0.3737E+01     2.000     4   4.3281
       91     0.00000     0.3738E+01     2.000     4   4.3329
       92     0.00000     0.1167E+02     2.000     4   4.3457
       93     0.00000     0.1166E+02     2.000     4   4.3463
       94     0.00000     0.2302E+02     2.000     4   4.3701
       95     0.00000     0.2302E+02     2.000     4   4.3698
