# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0652
        2     0.00000     0.9948E+02     1.000     2   2.0695
        3     0.00000     0.8151E+02     1.000     2   2.2957
        4     0.00000     0.8136E+02     1.000     2   2.2974
        5     0.00000     0.4428E+02     1.000     2   2.8279
        6     0.00000     0.9821E+01     1.000     2   2.8950
        7     0.00000     0.3910E+02     1.000     2   2.9679
        8     0.00000     0.8998E+01     1.000     2   2.9955
        9     0.00000     0.4673E+02     2.000     3   3.1066
       10     0.00000     0.8068E+01     1.000     2   3.1247
       11     0.00000     0.8012E+01     1.000     2   3.1332
       12     0.00000     0.3274E+02     1.000     2   3.1670
       13     0.00000     0.5339E+02     2.000     3   3.1783
       14     0.00000     0.7688E+01     1.000     2   3.1834
       15     0.00000     0.3216E+02     1.000     2   3.2080
       16     0.00000     0.3158E+02     1.000     2   3.2306
       17     0.00000     0.7372E+01     1.000     2   3.2351
       18     0.00000     0.3039E+02     1.000     2   3.2584
       19     0.00000     0.6403E+02     2.000     3   3.3086
       20     0.00000     0.6906E+01     1.000     2   3.3171
       21     0.00000     0.7722E+02     2.000     3   3.3518
       22     0.00000     0.6640E+01     1.000     2   3.3671
       23     0.00000     0.1121E+02     1.000     4   3.3852
       24     0.00000     0.2309E+02     1.000     4   3.3887
       25     0.00000     0.8147E+01     2.000     3   3.4007
       26     0.00000     0.6221E+02     1.000     4   3.4451
       27     0.00000     0.4250E+02     1.000     4   3.4502
       28     0.00000     0.5653E+01     2.000     3   3.5476
       29     0.00000     0.6382E+01     2.000     3   3.5898
       30     0.00000     0.5598E+01     1.000     2   3.5920
       31     0.00000     0.2366E+02     1.000     2   3.6042
       32     0.00000     0.9276E+01     2.000     3   3.6479
       33     0.00000     0.3092E+02     2.000     3   3.6668
       34     0.00000     0.5270E+01     2.000     3   3.6683
       35     0.00000     0.8155E+01     2.000     3   3.6721
       36     0.00000     0.3095E+02     2.000     3   3.6759
       37     0.00000     0.7801E+01     2.000     4   3.6793
       38     0.00000     0.7445E+01     2.000     3   3.7237
       39     0.00000     0.1025E+02     2.000     4   3.8002
       40     0.00000     0.2037E+02     1.000     2   3.8100
       41     0.00000     0.1980E+02     1.000     2   3.8290
       42     0.00000     0.1894E+02     1.000     2   3.8918
       43     0.00000     0.6122E+01     2.000     3   3.9451
       44     0.00000     0.5786E+01     2.000     3   3.9464
       45     0.00000     0.6277E+01     2.000     3   3.9600
       46     0.00000     0.6409E+01     2.000     3   3.9652
       47     0.00000     0.4120E+01     1.000     4   3.9735
       48     0.00000     0.7034E+01     2.000     3   3.9894
       49     0.00000     0.7415E+01     2.000     3   4.0077
       50     0.00000     0.1688E+02     1.000     2   4.0627
       51     0.00000     0.1025E+02     2.000     3   4.0686
       52     0.00000     0.1172E+02     2.000     3   4.0833
       53     0.00000     0.3783E+01     1.000     4   4.0878
       54     0.00000     0.1311E+02     2.000     3   4.1003
       56     0.00000     0.5304E+02     2.000     3   4.1132
