# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0652
        2     0.00000     0.9947E+02     1.000     2   2.0695
        3     0.00000     0.8117E+02     1.000     2   2.2957
        4     0.00000     0.8101E+02     1.000     2   2.2974
        5     0.00000     0.3970E+02     1.000     2   2.9409
        6     0.00000     0.3876E+02     1.000     2   2.9679
        7     0.00000     0.9154E+01     1.000     2   2.9925
        8     0.00000     0.9130E+01     1.000     2   2.9955
        9     0.00000     0.3410E+02     1.000     2   3.1090
       10     0.00000     0.8179E+01     1.000     2   3.1247
       11     0.00000     0.8121E+01     1.000     2   3.1332
       12     0.00000     0.8088E+01     1.000     2   3.1380
       13     0.00000     0.5275E+02     2.000     3   3.1631
       14     0.00000     0.3248E+02     1.000     2   3.1670
       15     0.00000     0.5422E+02     2.000     3   3.1783
       16     0.00000     0.7790E+01     1.000     2   3.1834
       17     0.00000     0.3198E+02     1.000     2   3.2080
       18     0.00000     0.3140E+02     1.000     2   3.2306
       19     0.00000     0.5952E+02     2.000     3   3.2771
       20     0.00000     0.6500E+02     2.000     3   3.3086
       21     0.00000     0.6991E+01     1.000     2   3.3171
       22     0.00000     0.6719E+01     1.000     2   3.3671
       23     0.00000     0.2037E+02     1.000     4   3.3852
       24     0.00000     0.2332E+02     1.000     4   3.3887
       25     0.00000     0.3500E+02     1.000     4   3.4451
       26     0.00000     0.4369E+02     1.000     4   3.4502
       27     0.00000     0.2428E+02     1.000     2   3.5583
       28     0.00000     0.6993E+01     2.000     3   3.5787
       29     0.00000     0.6878E+01     2.000     3   3.5898
       30     0.00000     0.5657E+01     1.000     2   3.5920
       31     0.00000     0.2345E+02     1.000     2   3.6042
       32     0.00000     0.9905E+01     2.000     3   3.6479
       33     0.00000     0.3212E+02     2.000     3   3.6668
       34     0.00000     0.5675E+01     2.000     3   3.6683
       35     0.00000     0.5691E+01     2.000     3   3.6691
       36     0.00000     0.8215E+01     2.000     3   3.6721
       37     0.00000     0.3216E+02     2.000     3   3.6759
       38     0.00000     0.7930E+01     2.000     3   3.7237
       39     0.00000     0.1122E+02     2.000     4   3.8002
       40     0.00000     0.1054E+02     2.000     4   3.8008
       41     0.00000     0.1331E+02     2.000     3   3.8215
       42     0.00000     0.1986E+02     1.000     2   3.8290
       43     0.00000     0.1899E+02     1.000     2   3.8918
       44     0.00000     0.6265E+01     2.000     3   3.9451
       45     0.00000     0.6315E+01     2.000     3   3.9464
       46     0.00000     0.6416E+01     2.000     3   3.9600
       47     0.00000     0.6546E+01     2.000     3   3.9652
       48     0.00000     0.7170E+01     2.000     3   3.9894
       49     0.00000     0.7896E+01     2.000     3   4.0077
       50     0.00000     0.4193E+01     1.000     2   4.0114
       51     0.00000     0.1344E+02     2.000     3   4.0751
       52     0.00000     0.1538E+02     2.000     3   4.0794
       53     0.00000     0.1632E+02     1.000     2   4.0819
       54     0.00000     0.1262E+02     2.000     3   4.0833
       55     0.00000     0.4801E+01     1.000     4   4.0847
       56     0.00000     0.4431E+01     1.000     4   4.0878
       57     0.00000     0.1348E+02     2.000     3   4.1003
       60     0.00000     0.9906E+01     1.000     4   4.1211
       62     0.00000     0.1010E+02     1.000     4   4.1257
       63     0.00000     0.1484E+02     2.000     3   4.1294
       64     0.00000     0.1143E+02     1.000     4   4.1305
       65     0.00000     0.3349E+01     2.000     4   4.1347
       66     0.00000     0.1131E+02     1.000     4   4.1390
       67     0.00000     0.8901E+01     2.000     3   4.1447
       68     0.00000     0.4372E+01     2.000     3   4.1500
       69     0.00000     0.1552E+02     1.000     2   4.1536
       70     0.00000     0.3669E+02     2.000     3   4.1619
       72     0.00000     0.3765E+01     1.000     2   4.1714
       73     0.00000     0.4042E+02     2.000     3   4.1793
       74     0.00000     0.1522E+02     1.000     2   4.1839
       75     0.00000     0.4041E+02     2.000     3   4.2009
       76     0.00000     0.3843E+01     1.000     4   4.2116
       77     0.00000     0.3807E+01     1.000     4   4.2164
       78     0.00000     0.3898E+01     1.000     4   4.2168
       79     0.00000     0.4339E+02     2.000     3   4.2288
       80     0.00000     0.3908E+02     2.000     3   4.2354
       81     0.00000     0.3941E+01     2.000     5   4.2415
       82     0.00000     0.2517E+02     1.000     4   4.2419
       83     0.00000     0.8968E+01     2.000     3   4.2442
       84     0.00000     0.1385E+02     2.000     3   4.2475
       85     0.00000     0.6822E+01     2.000     4   4.2474
       86     0.00000     0.2957E+02     1.000     4   4.2481
       87     0.00000     0.3912E+01     2.000     5   4.2568
       88     0.00000     0.4996E+02     2.000     4   4.2593
       89     0.00000     0.2521E+02     1.000     4   4.2609
       90     0.00000     0.1439E+02     1.000     2   4.2687
       91     0.00000     0.7508E+01     2.000     4   4.2710
       93     0.00000     0.4220E+01     1.000     4   4.2749
       94     0.00000     0.5749E+02     2.000     4   4.2760
       95     0.00000     0.3791E+02     1.000     4   4.2766
       96     0.00000     0.4359E+02     2.000     3   4.2805
       97     0.00000     0.1833E+02     2.000     4   4.2801
       98     0.00000     0.1262E+02     2.000     3   4.2869
       99     0.00000     0.2516E+02     1.000     4   4.2871
      100     0.00000     0.2817E+02     1.000     4   4.2869
      101     0.00000     0.3413E+02     1.000     4   4.2923
      102     0.00000     0.1941E+02     2.000     4   4.2950
      104     0.00000     0.4231E+02     1.000     4   4.3039
      105     0.00000     0.1387E+02     1.000     4   4.3235
      106     0.00000     0.2926E+02     2.000     3   4.3300
      107     0.00000     0.5330E+01     2.000     5   4.3319
      108     0.00000     0.1869E+02     2.000     4   4.3342
      109     0.00000     0.5757E+01     2.000     5   4.3353
      110     0.00000     0.3722E+01     2.000     4   4.3426
      111     0.00000     0.3353E+01     1.000     2   4.3492
      112     0.00000     0.3279E+01     2.000     4   4.3609
      114     0.00000     0.1946E+02     2.000     4   4.3638
      117     0.00000     0.2334E+02     2.000     4   4.3749
      118     0.00000     0.4128E+02     2.000     4   4.3815
      120     0.00000     0.1358E+02     1.000     2   4.3885
      121     0.00000     0.2974E+02     2.000     3   4.4007
      122     0.00000     0.4221E+02     2.000     4   4.4014
      123     0.00000     0.3775E+01     2.000     4   4.4053
      124     0.00000     0.4647E+02     2.000     4   4.4125
      125     0.00000     0.2387E+02     2.000     4   4.4174
      126     0.00000     0.3203E+01     1.000     2   4.4208
      127     0.00000     0.6068E+01     2.000     3   4.4244
      128     0.00000     0.4663E+02     2.000     4   4.4392
      130     0.00000     0.1154E+02     2.000     3   4.4631
      131     0.00000     0.1020E+02     1.000     6   4.4636
      132     0.00000     0.1184E+02     1.000     6   4.4672
      133     0.00000     0.3650E+01     2.000     3   4.4750
      134     0.00000     0.2438E+02     1.000     4   4.4761
      135     0.00000     0.3493E+01     2.000     3   4.4790
      136     0.00000     0.6414E+02     2.000     5   4.4814
      137     0.00000     0.6799E+02     2.000     5   4.4830
      138     0.00000     0.7313E+02     2.000     5   4.4864
      139     0.00000     0.2168E+02     1.000     4   4.4889
      140     0.00000     0.7017E+02     2.000     5   4.4975
      141     0.00000     0.3772E+02     2.000     4   4.4981
      142     0.00000     0.7908E+02     2.000     5   4.4988
      143     0.00000     0.1230E+02     2.000     4   4.5005
      144     0.00000     0.4562E+02     2.000     5   4.5023
      146     0.00000     0.5233E+02     2.000     5   4.5054
      147     0.00000     0.8642E+01     2.000     5   4.5106
      148     0.00000     0.3655E+01     2.000     3   4.5116
      149     0.00000     0.8844E+02     2.000     5   4.5143
      150     0.00000     0.2562E+02     1.000     4   4.5327
      152     0.00000     0.1005E+02     2.000     3   4.5368
      153     0.00000     0.4185E+02     2.000     4   4.5423
      154     0.00000     0.4099E+02     2.000     5   4.5429
      155     0.00000     0.1228E+02     1.000     2   4.5467
      156     0.00000     0.2151E+02     1.000     4   4.5477
      157     0.00000     0.6165E+02     2.000     5   4.5496
