# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0652
        2     0.00000     0.9947E+02     1.000     2   2.0695
        3     0.00000     0.8125E+02     1.000     2   2.2957
        4     0.00000     0.8109E+02     1.000     2   2.2974
        5     0.00000     0.9556E+01     1.000     2   2.9361
        6     0.00000     0.3888E+02     1.000     2   2.9679
        7     0.00000     0.3866E+02     1.000     2   2.9746
        8     0.00000     0.9073E+01     1.000     2   2.9955
        9     0.00000     0.8129E+01     1.000     2   3.1247
       10     0.00000     0.8072E+01     1.000     2   3.1332
       11     0.00000     0.7965E+01     1.000     2   3.1492
       12     0.00000     0.3302E+02     1.000     2   3.1514
       13     0.00000     0.3259E+02     1.000     2   3.1670
       14     0.00000     0.5384E+02     2.000     3   3.1783
       15     0.00000     0.5482E+02     2.000     3   3.1799
       16     0.00000     0.7743E+01     1.000     2   3.1834
       17     0.00000     0.3206E+02     1.000     2   3.2080
       18     0.00000     0.3148E+02     1.000     2   3.2306
       19     0.00000     0.6367E+02     2.000     3   3.2983
       20     0.00000     0.6461E+02     2.000     3   3.3086
       21     0.00000     0.6950E+01     1.000     2   3.3171
       22     0.00000     0.6681E+01     1.000     2   3.3671
       23     0.00000     0.2439E+02     1.000     4   3.3852
       24     0.00000     0.2302E+02     1.000     4   3.3887
       25     0.00000     0.4127E+02     1.000     4   3.4451
       26     0.00000     0.4297E+02     1.000     4   3.4502
       27     0.00000     0.2407E+02     1.000     2   3.5741
       28     0.00000     0.6721E+01     2.000     3   3.5898
       29     0.00000     0.5625E+01     1.000     2   3.5920
       30     0.00000     0.6655E+01     2.000     3   3.6011
       31     0.00000     0.2353E+02     1.000     2   3.6042
       32     0.00000     0.9749E+01     2.000     3   3.6479
       33     0.00000     0.3183E+02     2.000     3   3.6668
       34     0.00000     0.5556E+01     2.000     3   3.6683
       35     0.00000     0.8177E+01     2.000     3   3.6721
       36     0.00000     0.5569E+01     2.000     3   3.6747
       37     0.00000     0.3186E+02     2.000     3   3.6759
       38     0.00000     0.7799E+01     2.000     3   3.7237
       39     0.00000     0.1091E+02     2.000     4   3.8002
       40     0.00000     0.1450E+02     2.000     3   3.8012
       41     0.00000     0.1112E+02     2.000     4   3.8064
       42     0.00000     0.1992E+02     1.000     2   3.8290
       43     0.00000     0.1905E+02     1.000     2   3.8918
       44     0.00000     0.6226E+01     2.000     3   3.9451
       45     0.00000     0.6164E+01     2.000     3   3.9464
       46     0.00000     0.6380E+01     2.000     3   3.9600
       47     0.00000     0.6510E+01     2.000     3   3.9652
       48     0.00000     0.7135E+01     2.000     3   3.9894
       49     0.00000     0.7783E+01     2.000     3   4.0077
       50     0.00000     0.4949E+01     1.000     4   4.0283
       51     0.00000     0.1243E+02     2.000     3   4.0833
       52     0.00000     0.1335E+02     2.000     3   4.0830
       53     0.00000     0.4271E+01     1.000     4   4.0878
       54     0.00000     0.1335E+02     2.000     3   4.1003
       56     0.00000     0.1498E+02     2.000     3   4.1085
       57     0.00000     0.9671E+01     1.000     4   4.1211
       59     0.00000     0.9855E+01     1.000     4   4.1257
       61     0.00000     0.1469E+02     2.000     3   4.1294
       62     0.00000     0.1116E+02     1.000     4   4.1305
       63     0.00000     0.3188E+01     2.000     4   4.1347
       64     0.00000     0.1104E+02     1.000     4   4.1390
       65     0.00000     0.8773E+01     2.000     3   4.1447
       66     0.00000     0.4291E+01     2.000     3   4.1500
       67     0.00000     0.1562E+02     1.000     2   4.1534
       68     0.00000     0.1562E+02     1.000     2   4.1536
       70     0.00000     0.3747E+01     1.000     2   4.1714
       71     0.00000     0.4096E+02     2.000     3   4.1976
       72     0.00000     0.4036E+02     2.000     3   4.2009
       73     0.00000     0.3712E+01     1.000     4   4.2116
       74     0.00000     0.3757E+01     1.000     4   4.2168
       75     0.00000     0.4314E+02     2.000     3   4.2288
       76     0.00000     0.4233E+02     2.000     3   4.2319
       77     0.00000     0.2994E+02     1.000     4   4.2419
       79     0.00000     0.8882E+01     2.000     3   4.2442
       80     0.00000     0.1364E+02     2.000     3   4.2475
       81     0.00000     0.2929E+02     1.000     4   4.2481
       82     0.00000     0.7360E+01     2.000     4   4.2553
       83     0.00000     0.3720E+01     2.000     5   4.2568
       84     0.00000     0.3911E+01     2.000     5   4.2583
       85     0.00000     0.1455E+02     1.000     2   4.2595
       86     0.00000     0.1446E+02     1.000     2   4.2687
       87     0.00000     0.7169E+01     2.000     4   4.2710
       88     0.00000     0.4348E+02     2.000     3   4.2732
       89     0.00000     0.4072E+01     1.000     4   4.2749
       90     0.00000     0.5666E+02     2.000     4   4.2760
       91     0.00000     0.5649E+02     2.000     4   4.2761
       92     0.00000     0.4351E+02     2.000     3   4.2805
       93     0.00000     0.1249E+02     2.000     3   4.2869
       94     0.00000     0.2464E+02     1.000     4   4.2871
       95     0.00000     0.3369E+02     1.000     4   4.2869
       96     0.00000     0.3382E+02     1.000     4   4.2923
       97     0.00000     0.1908E+02     2.000     4   4.2950
       98     0.00000     0.2468E+02     1.000     4   4.2946
       99     0.00000     0.1901E+02     2.000     4   4.2970
      100     0.00000     0.3442E+01     1.000     2   4.3012
      102     0.00000     0.4139E+02     1.000     4   4.3039
      103     0.00000     0.4038E+02     1.000     4   4.3104
      104     0.00000     0.1349E+02     1.000     4   4.3235
      105     0.00000     0.5750E+01     2.000     5   4.3319
      106     0.00000     0.4017E+01     2.000     4   4.3356
      107     0.00000     0.5489E+01     2.000     5   4.3353
      108     0.00000     0.3338E+01     1.000     2   4.3492
      109     0.00000     0.1933E+02     2.000     4   4.3554
      110     0.00000     0.3136E+01     2.000     4   4.3609
      112     0.00000     0.1915E+02     2.000     4   4.3638
      115     0.00000     0.3265E+01     1.000     2   4.3835
      117     0.00000     0.3016E+02     2.000     3   4.3890
      118     0.00000     0.2957E+02     2.000     3   4.4007
      119     0.00000     0.4633E+02     2.000     4   4.4027
      120     0.00000     0.3638E+01     2.000     4   4.4053
      121     0.00000     0.4583E+02     2.000     4   4.4125
      122     0.00000     0.2339E+02     2.000     4   4.4129
      123     0.00000     0.2326E+02     2.000     4   4.4174
      124     0.00000     0.5963E+01     2.000     3   4.4244
      125     0.00000     0.4572E+02     2.000     4   4.4372
      126     0.00000     0.4563E+02     2.000     4   4.4392
      128     0.00000     0.1145E+02     2.000     3   4.4631
      129     0.00000     0.1143E+02     1.000     6   4.4636
      130     0.00000     0.1104E+02     1.000     6   4.4672
      131     0.00000     0.3641E+01     2.000     3   4.4750
      132     0.00000     0.7167E+02     2.000     5   4.4814
      133     0.00000     0.8920E+01     2.000     5   4.4824
      134     0.00000     0.8253E+01     2.000     3   4.4849
      135     0.00000     0.7083E+02     2.000     5   4.4864
      136     0.00000     0.6788E+02     2.000     5   4.4975
      137     0.00000     0.6894E+02     2.000     5   4.4999
      138     0.00000     0.1196E+02     2.000     4   4.5005
      139     0.00000     0.5093E+02     2.000     5   4.5023
      141     0.00000     0.5067E+02     2.000     5   4.5054
      142     0.00000     0.3341E+01     2.000     3   4.5116
      143     0.00000     0.8509E+02     2.000     5   4.5143
      144     0.00000     0.8416E+02     2.000     5   4.5157
      145     0.00000     0.2560E+02     1.000     4   4.5185
      146     0.00000     0.2126E+02     1.000     4   4.5313
      147     0.00000     0.2500E+02     1.000     4   4.5327
      149     0.00000     0.4111E+02     2.000     4   4.5359
      150     0.00000     0.4100E+02     2.000     4   4.5423
      151     0.00000     0.1233E+02     1.000     2   4.5467
      152     0.00000     0.2113E+02     1.000     4   4.5477
      153     0.00000     0.6908E+02     2.000     5   4.5496
      154     0.00000     0.3418E+01     2.000     3   4.5514
      155     0.00000     0.6914E+02     2.000     5   4.5541
      156     0.00000     0.4370E+02     2.000     5   4.5589
      157     0.00000     0.4347E+02     2.000     5   4.5598
