# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0652
        2     0.00000     0.9948E+02     1.000     2   2.0695
        3     0.00000     0.8139E+02     1.000     2   2.2957
        4     0.00000     0.8123E+02     1.000     2   2.2974
        5     0.00000     0.9497E+01     1.000     2   2.9361
        6     0.00000     0.3904E+02     1.000     2   2.9679
        7     0.00000     0.3881E+02     1.000     2   2.9746
        8     0.00000     0.9019E+01     1.000     2   2.9955
        9     0.00000     0.8084E+01     1.000     2   3.1247
       10     0.00000     0.8027E+01     1.000     2   3.1332
       11     0.00000     0.7921E+01     1.000     2   3.1492
       12     0.00000     0.3313E+02     1.000     2   3.1514
       13     0.00000     0.3270E+02     1.000     2   3.1670
       14     0.00000     0.5347E+02     2.000     3   3.1783
       15     0.00000     0.5444E+02     2.000     3   3.1799
       16     0.00000     0.7701E+01     1.000     2   3.1834
       17     0.00000     0.3214E+02     1.000     2   3.2080
       18     0.00000     0.3156E+02     1.000     2   3.2306
       19     0.00000     0.6323E+02     2.000     3   3.2983
       20     0.00000     0.6416E+02     2.000     3   3.3086
       21     0.00000     0.6915E+01     1.000     2   3.3171
       22     0.00000     0.6648E+01     1.000     2   3.3671
       23     0.00000     0.2419E+02     1.000     4   3.3852
       24     0.00000     0.2284E+02     1.000     4   3.3887
       25     0.00000     0.4068E+02     1.000     4   3.4451
       26     0.00000     0.4234E+02     1.000     4   3.4502
       27     0.00000     0.2415E+02     1.000     2   3.5741
       28     0.00000     0.6531E+01     2.000     3   3.5898
       29     0.00000     0.5602E+01     1.000     2   3.5920
       30     0.00000     0.6467E+01     2.000     3   3.6011
       31     0.00000     0.2362E+02     1.000     2   3.6042
       32     0.00000     0.9597E+01     2.000     3   3.6479
       33     0.00000     0.3137E+02     2.000     3   3.6668
       34     0.00000     0.5458E+01     2.000     3   3.6683
       35     0.00000     0.8143E+01     2.000     3   3.6721
       36     0.00000     0.5472E+01     2.000     3   3.6747
       37     0.00000     0.3140E+02     2.000     3   3.6759
       38     0.00000     0.7637E+01     2.000     3   3.7237
       39     0.00000     0.1082E+02     2.000     4   3.8002
       40     0.00000     0.1449E+02     2.000     3   3.8012
       41     0.00000     0.1102E+02     2.000     4   3.8064
       42     0.00000     0.1975E+02     1.000     2   3.8290
       43     0.00000     0.1889E+02     1.000     2   3.8918
       44     0.00000     0.6172E+01     2.000     3   3.9451
       45     0.00000     0.6067E+01     2.000     3   3.9464
       46     0.00000     0.6327E+01     2.000     3   3.9600
       47     0.00000     0.6459E+01     2.000     3   3.9652
       48     0.00000     0.7083E+01     2.000     3   3.9894
       49     0.00000     0.7695E+01     2.000     3   4.0077
       50     0.00000     0.4933E+01     1.000     4   4.0283
       51     0.00000     0.1244E+02     2.000     3   4.0833
       52     0.00000     0.1319E+02     2.000     3   4.0830
       53     0.00000     0.4219E+01     1.000     4   4.0878
       54     0.00000     0.1320E+02     2.000     3   4.1003
       56     0.00000     0.1476E+02     2.000     3   4.1085
