# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0594
        2     0.00000     0.9882E+02     1.000     2   2.0688
        3     0.00000     0.8044E+02     1.000     2   2.2960
        4     0.00000     0.7904E+02     1.000     2   2.3112
        5     0.00000     0.3896E+02     1.000     2   2.9475
        6     0.00000     0.3655E+02     1.000     2   3.0200
        7     0.00000     0.8786E+01     1.000     2   3.0430
        8     0.00000     0.3393E+02     1.000     2   3.0963
        9     0.00000     0.8339E+01     1.000     2   3.1044
       10     0.00000     0.8204E+01     1.000     2   3.1238
       11     0.00000     0.5293E+02     2.000     3   3.1681
       12     0.00000     0.3170E+02     1.000     2   3.1811
       13     0.00000     0.6093E+02     2.000     3   3.1974
       14     0.00000     0.3096E+02     1.000     2   3.2327
       15     0.00000     0.3093E+02     1.000     2   3.2336
       16     0.00000     0.7427E+01     1.000     2   3.2442
       17     0.00000     0.7311E+01     1.000     2   3.2637
       18     0.00000     0.5991E+02     2.000     3   3.2646
       19     0.00000     0.7223E+01     1.000     2   3.2787
       20     0.00000     0.7196E+01     1.000     2   3.2833
       21     0.00000     0.6723E+02     2.000     3   3.3145
       22     0.00000     0.6831E+01     1.000     2   3.3485
       23     0.00000     0.3405E+02     1.000     4   3.3747
       24     0.00000     0.2106E+02     1.000     4   3.3886
       25     0.00000     0.3563E+02     1.000     4   3.4329
       26     0.00000     0.4768E+02     1.000     4   3.4480
       27     0.00000     0.5826E+01     1.000     2   3.5545
       28     0.00000     0.7232E+01     2.000     3   3.5651
       29     0.00000     0.9022E+01     2.000     3   3.6229
       30     0.00000     0.2264E+02     1.000     2   3.6330
       31     0.00000     0.5829E+01     2.000     3   3.6555
       32     0.00000     0.2218E+02     1.000     2   3.6580
       33     0.00000     0.6734E+01     2.000     3   3.6713
       34     0.00000     0.3224E+02     2.000     3   3.6789
       35     0.00000     0.9410E+01     2.000     3   3.6839
       36     0.00000     0.3192E+02     2.000     3   3.6844
       37     0.00000     0.5911E+01     2.000     3   3.7186
       38     0.00000     0.6292E+01     2.000     3   3.7267
       39     0.00000     0.5866E+01     2.000     3   3.7424
       40     0.00000     0.1131E+02     2.000     4   3.7856
       41     0.00000     0.6368E+01     2.000     3   3.7945
       42     0.00000     0.1321E+02     2.000     4   3.8487
       43     0.00000     0.5830E+01     2.000     3   3.8880
       44     0.00000     0.1166E+02     2.000     4   3.8951
       45     0.00000     0.6275E+01     2.000     3   3.9362
       46     0.00000     0.1172E+02     2.000     3   3.9374
       47     0.00000     0.5992E+01     2.000     3   3.9466
       48     0.00000     0.1786E+02     1.000     2   3.9589
       49     0.00000     0.4819E+01     2.000     3   3.9854
       50     0.00000     0.7342E+01     2.000     3   4.0012
       51     0.00000     0.8757E+01     2.000     3   4.0052
       52     0.00000     0.1720E+02     1.000     2   4.0127
       53     0.00000     0.3920E+01     1.000     2   4.1112
