# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0420
        2     0.00000     0.9720E+02     1.000     2   2.0642
        3     0.00000     0.7885E+02     1.000     2   2.2936
        4     0.00000     0.7862E+02     1.000     2   2.2961
        5     0.00000     0.9263E+01     1.000     2   2.9616
        6     0.00000     0.3731E+02     1.000     2   2.9691
        7     0.00000     0.3476E+02     1.000     2   3.0390
        8     0.00000     0.3504E+02     1.000     2   3.0405
        9     0.00000     0.8521E+01     1.000     2   3.0578
       10     0.00000     0.7921E+01     1.000     2   3.1442
       11     0.00000     0.3158E+02     1.000     2   3.1554
       12     0.00000     0.5418E+02     2.000     3   3.1763
       13     0.00000     0.7653E+01     1.000     2   3.1857
       14     0.00000     0.6484E+02     2.000     3   3.1993
       15     0.00000     0.3101E+02     1.000     2   3.2029
       16     0.00000     0.5620E+02     2.000     3   3.2267
       17     0.00000     0.2993E+02     1.000     2   3.2460
       18     0.00000     0.6355E+02     2.000     3   3.2997
       19     0.00000     0.6946E+01     1.000     2   3.3048
       20     0.00000     0.4057E+02     1.000     4   3.3580
       21     0.00000     0.2421E+02     1.000     4   3.3834
       22     0.00000     0.6470E+01     1.000     2   3.3944
       23     0.00000     0.6378E+01     1.000     2   3.4125
       24     0.00000     0.2954E+02     1.000     4   3.4144
       25     0.00000     0.4302E+02     1.000     4   3.4440
       26     0.00000     0.6008E+01     1.000     2   3.4899
       27     0.00000     0.2321E+02     1.000     2   3.5687
       28     0.00000     0.7000E+01     2.000     3   3.5959
       29     0.00000     0.1097E+02     2.000     3   3.6497
       30     0.00000     0.6659E+01     2.000     3   3.6516
       31     0.00000     0.3188E+02     2.000     3   3.6633
       32     0.00000     0.5787E+01     2.000     3   3.6723
       33     0.00000     0.8841E+01     2.000     3   3.6765
       34     0.00000     0.8103E+01     2.000     3   3.6803
       35     0.00000     0.5880E+01     2.000     3   3.6847
       36     0.00000     0.3162E+02     2.000     3   3.6852
       37     0.00000     0.6731E+01     2.000     3   3.7118
       38     0.00000     0.6023E+01     2.000     3   3.7422
       39     0.00000     0.1175E+02     2.000     4   3.8030
       40     0.00000     0.1081E+02     2.000     4   3.8392
       41     0.00000     0.1407E+02     2.000     4   3.8706
       42     0.00000     0.5787E+01     2.000     3   3.8927
       43     0.00000     0.5997E+01     2.000     3   3.8950
       44     0.00000     0.6246E+01     2.000     3   3.9177
       45     0.00000     0.4313E+01     1.000     2   3.9441
       46     0.00000     0.6244E+01     2.000     3   3.9455
       47     0.00000     0.6191E+01     2.000     3   3.9452
       48     0.00000     0.6601E+01     2.000     3   4.0293
       49     0.00000     0.6389E+01     2.000     3   4.0377
       50     0.00000     0.4879E+01     1.000     4   4.0535
       51     0.00000     0.1349E+02     2.000     3   4.0747
       52     0.00000     0.1242E+02     1.000     4   4.0840
       54     0.00000     0.4515E+01     2.000     3   4.0984
       55     0.00000     0.1512E+02     2.000     3   4.1058
       56     0.00000     0.3342E+01     2.000     4   4.1063
       58     0.00000     0.1041E+02     1.000     4   4.1237
       59     0.00000     0.9915E+01     1.000     4   4.1244
       60     0.00000     0.1171E+02     1.000     4   4.1285
       62     0.00000     0.1011E+02     2.000     3   4.1414
       65     0.00000     0.4368E+01     1.000     4   4.1502
       66     0.00000     0.1488E+02     1.000     2   4.1508
       68     0.00000     0.3733E+01     1.000     2   4.1557
       69     0.00000     0.1465E+02     1.000     2   4.1740
       71     0.00000     0.4377E+02     2.000     3   4.1954
       72     0.00000     0.3963E+02     2.000     3   4.1962
       73     0.00000     0.1440E+02     1.000     2   4.2087
       74     0.00000     0.3457E+02     1.000     4   4.2168
       75     0.00000     0.3988E+01     1.000     4   4.2226
       76     0.00000     0.4232E+02     2.000     3   4.2277
       77     0.00000     0.2960E+02     1.000     4   4.2416
       78     0.00000     0.4045E+02     2.000     3   4.2426
       79     0.00000     0.8529E+01     2.000     4   4.2501
       80     0.00000     0.4442E+01     2.000     5   4.2546
       81     0.00000     0.1386E+02     1.000     2   4.2615
       82     0.00000     0.3875E+01     1.000     4   4.2641
       83     0.00000     0.5757E+02     2.000     4   4.2731
       84     0.00000     0.4234E+02     2.000     3   4.2743
       85     0.00000     0.3077E+02     1.000     4   4.2765
       86     0.00000     0.3575E+02     2.000     3   4.2776
       87     0.00000     0.2168E+02     2.000     4   4.2779
       88     0.00000     0.7537E+01     2.000     5   4.2777
       89     0.00000     0.3354E+02     1.000     4   4.2872
       90     0.00000     0.2573E+02     1.000     4   4.2883
       91     0.00000     0.1954E+02     2.000     4   4.2925
       92     0.00000     0.5514E+02     2.000     4   4.2991
       93     0.00000     0.1038E+02     2.000     3   4.2997
       94     0.00000     0.4266E+02     1.000     4   4.3046
       95     0.00000     0.4083E+01     2.000     5   4.3052
       96     0.00000     0.3718E+02     2.000     3   4.3058
       97     0.00000     0.1901E+02     2.000     4   4.3068
       98     0.00000     0.9965E+01     2.000     5   4.3080
       99     0.00000     0.1367E+02     1.000     2   4.3152
      100     0.00000     0.4736E+01     2.000     3   4.3223
      101     0.00000     0.6416E+01     2.000     5   4.3311
      104     0.00000     0.6812E+01     2.000     5   4.3383
      105     0.00000     0.6635E+01     1.000     4   4.3388
      106     0.00000     0.5298E+02     2.000     4   4.3397
      107     0.00000     0.3251E+01     2.000     4   4.3531
      108     0.00000     0.1973E+02     2.000     4   4.3553
      109     0.00000     0.2646E+02     1.000     4   4.3565
      113     0.00000     0.3431E+02     1.000     4   4.3813
      114     0.00000     0.2484E+02     2.000     4   4.3839
      115     0.00000     0.2971E+02     2.000     3   4.3914
      116     0.00000     0.3594E+02     1.000     4   4.4029
      117     0.00000     0.4685E+02     2.000     4   4.4043
      118     0.00000     0.2263E+02     1.000     4   4.4114
      119     0.00000     0.2458E+02     2.000     4   4.4117
      120     0.00000     0.4759E+02     2.000     4   4.4348
      121     0.00000     0.4811E+02     2.000     4   4.4364
      122     0.00000     0.1893E+02     1.000     6   4.4364
      123     0.00000     0.8317E+02     2.000     5   4.4578
      124     0.00000     0.1374E+02     1.000     6   4.4618
      125     0.00000     0.5728E+02     2.000     5   4.4656
      127     0.00000     0.7661E+02     2.000     5   4.4802
      129     0.00000     0.1261E+02     1.000     6   4.4928
      130     0.00000     0.4494E+02     2.000     4   4.4935
      131     0.00000     0.7420E+02     2.000     5   4.4954
      133     0.00000     0.5472E+02     2.000     5   4.4996
      134     0.00000     0.3636E+01     2.000     3   4.5016
      135     0.00000     0.9309E+02     2.000     5   4.5117
      136     0.00000     0.8790E+02     2.000     5   4.5153
      137     0.00000     0.6145E+01     2.000     4   4.5196
      138     0.00000     0.2679E+02     1.000     4   4.5214
      139     0.00000     0.7366E+02     2.000     5   4.5274
      140     0.00000     0.2876E+01     2.000     4   4.5295
      141     0.00000     0.2191E+02     1.000     4   4.5351
      142     0.00000     0.4260E+02     2.000     4   4.5357
      143     0.00000     0.1812E+02     2.000     3   4.5375
      144     0.00000     0.8403E+02     2.000     5   4.5401
      145     0.00000     0.4740E+02     2.000     5   4.5427
      147     0.00000     0.7372E+02     2.000     5   4.5486
      148     0.00000     0.4719E+02     2.000     5   4.5560
      150     0.00000     0.4377E+02     2.000     5   4.5716
      152     0.00000     0.2848E+01     1.000     4   4.5807
      153     0.00000     0.6595E+01     2.000     4   4.5807
      154     0.00000     0.1148E+02     1.000     2   4.5863
      155     0.00000     0.5835E+01     1.000     4   4.5873
      156     0.00000     0.5332E+01     2.000     4   4.5898
      157     0.00000     0.7976E+02     2.000     5   4.5906
      158     0.00000     0.5802E+01     1.000     4   4.5922
      159     0.00000     0.6709E+02     2.000     5   4.5991
      160     0.00000     0.6875E+01     2.000     4   4.6118
      161     0.00000     0.4243E+02     2.000     5   4.6188
      162     0.00000     0.3480E+01     1.000     4   4.6429
      163     0.00000     0.3581E+01     2.000     3   4.6489
      164     0.00000     0.3225E+02     2.000     3   4.6530
      165     0.00000     0.6529E+02     2.000     5   4.6657
      166     0.00000     0.7517E+02     1.000     6   4.6740
      167     0.00000     0.7346E+02     2.000     5   4.6795
      168     0.00000     0.6801E+01     2.000     3   4.6913
      169     0.00000     0.1252E+02     2.000     3   4.6950
