# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0652
        2     0.00000     0.9947E+02     1.000     2   2.0695
        3     0.00000     0.8121E+02     1.000     2   2.2957
        4     0.00000     0.8105E+02     1.000     2   2.2974
        5     0.00000     0.9589E+01     1.000     2   2.9361
        6     0.00000     0.3882E+02     1.000     2   2.9679
        7     0.00000     0.3859E+02     1.000     2   2.9746
        8     0.00000     0.9103E+01     1.000     2   2.9955
        9     0.00000     0.8155E+01     1.000     2   3.1247
       10     0.00000     0.8098E+01     1.000     2   3.1332
       11     0.00000     0.7991E+01     1.000     2   3.1492
       12     0.00000     0.3296E+02     1.000     2   3.1514
       13     0.00000     0.3253E+02     1.000     2   3.1670
       14     0.00000     0.5403E+02     2.000     3   3.1783
       15     0.00000     0.5501E+02     2.000     3   3.1799
       16     0.00000     0.7768E+01     1.000     2   3.1834
       17     0.00000     0.3202E+02     1.000     2   3.2080
       18     0.00000     0.3144E+02     1.000     2   3.2306
       19     0.00000     0.6386E+02     2.000     3   3.2983
       20     0.00000     0.6480E+02     2.000     3   3.3086
       21     0.00000     0.6971E+01     1.000     2   3.3171
       22     0.00000     0.6701E+01     1.000     2   3.3671
       23     0.00000     0.2452E+02     1.000     4   3.3852
       24     0.00000     0.2314E+02     1.000     4   3.3887
       25     0.00000     0.4158E+02     1.000     4   3.4451
       26     0.00000     0.4329E+02     1.000     4   3.4502
       27     0.00000     0.2403E+02     1.000     2   3.5741
       28     0.00000     0.6808E+01     2.000     3   3.5898
       29     0.00000     0.5641E+01     1.000     2   3.5920
       30     0.00000     0.6742E+01     2.000     3   3.6011
       31     0.00000     0.2349E+02     1.000     2   3.6042
       32     0.00000     0.9830E+01     2.000     3   3.6479
       33     0.00000     0.3200E+02     2.000     3   3.6668
       34     0.00000     0.5616E+01     2.000     3   3.6683
       35     0.00000     0.8195E+01     2.000     3   3.6721
       36     0.00000     0.5629E+01     2.000     3   3.6747
       37     0.00000     0.3204E+02     2.000     3   3.6759
       38     0.00000     0.7871E+01     2.000     3   3.7237
       39     0.00000     0.1104E+02     2.000     4   3.8002
       40     0.00000     0.1460E+02     2.000     3   3.8012
       41     0.00000     0.1125E+02     2.000     4   3.8064
       42     0.00000     0.1989E+02     1.000     2   3.8290
       43     0.00000     0.1902E+02     1.000     2   3.8918
       44     0.00000     0.6248E+01     2.000     3   3.9451
       45     0.00000     0.6239E+01     2.000     3   3.9464
       46     0.00000     0.6400E+01     2.000     3   3.9600
       47     0.00000     0.6531E+01     2.000     3   3.9652
       48     0.00000     0.7155E+01     2.000     3   3.9894
       49     0.00000     0.7840E+01     2.000     3   4.0077
       50     0.00000     0.5027E+01     1.000     4   4.0283
       51     0.00000     0.1251E+02     2.000     3   4.0833
       52     0.00000     0.1342E+02     2.000     3   4.0830
       53     0.00000     0.4343E+01     1.000     4   4.0878
       54     0.00000     0.1342E+02     2.000     3   4.1003
       56     0.00000     0.1506E+02     2.000     3   4.1085
       57     0.00000     0.9807E+01     1.000     4   4.1211
       59     0.00000     0.9997E+01     1.000     4   4.1257
       61     0.00000     0.1478E+02     2.000     3   4.1294
       62     0.00000     0.1131E+02     1.000     4   4.1305
       63     0.00000     0.3276E+01     2.000     4   4.1347
       64     0.00000     0.1119E+02     1.000     4   4.1390
       65     0.00000     0.8830E+01     2.000     3   4.1447
       66     0.00000     0.4336E+01     2.000     3   4.1500
       67     0.00000     0.1557E+02     1.000     2   4.1534
       68     0.00000     0.1557E+02     1.000     2   4.1536
       70     0.00000     0.3756E+01     1.000     2   4.1714
       71     0.00000     0.4097E+02     2.000     3   4.1977
       72     0.00000     0.4037E+02     2.000     3   4.2009
       73     0.00000     0.3774E+01     1.000     4   4.2116
       74     0.00000     0.3822E+01     1.000     4   4.2168
       75     0.00000     0.3719E+01     1.000     4   4.2276
       76     0.00000     0.4328E+02     2.000     3   4.2288
       77     0.00000     0.4247E+02     2.000     3   4.2319
       78     0.00000     0.3006E+02     1.000     4   4.2419
       80     0.00000     0.8933E+01     2.000     3   4.2442
       81     0.00000     0.1375E+02     2.000     3   4.2475
       82     0.00000     0.2941E+02     1.000     4   4.2481
       83     0.00000     0.7553E+01     2.000     4   4.2553
       84     0.00000     0.3808E+01     2.000     5   4.2568
       85     0.00000     0.4006E+01     2.000     5   4.2583
       86     0.00000     0.1450E+02     1.000     2   4.2595
       87     0.00000     0.1442E+02     1.000     2   4.2687
       88     0.00000     0.7352E+01     2.000     4   4.2710
       89     0.00000     0.4350E+02     2.000     3   4.2732
       90     0.00000     0.4134E+01     1.000     4   4.2749
       91     0.00000     0.5708E+02     2.000     4   4.2760
       92     0.00000     0.5691E+02     2.000     4   4.2761
       93     0.00000     0.4353E+02     2.000     3   4.2805
       94     0.00000     0.1256E+02     2.000     3   4.2869
       95     0.00000     0.2492E+02     1.000     4   4.2871
       96     0.00000     0.3381E+02     1.000     4   4.2869
       97     0.00000     0.3394E+02     1.000     4   4.2923
       98     0.00000     0.1925E+02     2.000     4   4.2950
       99     0.00000     0.2496E+02     1.000     4   4.2946
      100     0.00000     0.1917E+02     2.000     4   4.2970
      101     0.00000     0.3450E+01     1.000     2   4.3012
      103     0.00000     0.4189E+02     1.000     4   4.3039
      104     0.00000     0.4087E+02     1.000     4   4.3104
      105     0.00000     0.1369E+02     1.000     4   4.3235
      106     0.00000     0.5877E+01     2.000     5   4.3319
      107     0.00000     0.4080E+01     2.000     4   4.3355
      108     0.00000     0.5611E+01     2.000     5   4.3353
      109     0.00000     0.3345E+01     1.000     2   4.3492
      110     0.00000     0.1949E+02     2.000     4   4.3554
      111     0.00000     0.3216E+01     2.000     4   4.3609
      113     0.00000     0.1931E+02     2.000     4   4.3638
      116     0.00000     0.3273E+01     1.000     2   4.3835
      118     0.00000     0.3025E+02     2.000     3   4.3890
      119     0.00000     0.2966E+02     2.000     3   4.4007
      120     0.00000     0.4664E+02     2.000     4   4.4027
      121     0.00000     0.3706E+01     2.000     4   4.4053
      122     0.00000     0.4614E+02     2.000     4   4.4125
      123     0.00000     0.2371E+02     2.000     4   4.4129
      124     0.00000     0.2357E+02     2.000     4   4.4174
      125     0.00000     0.6016E+01     2.000     3   4.4244
      126     0.00000     0.4624E+02     2.000     4   4.4372
      127     0.00000     0.4615E+02     2.000     4   4.4392
      129     0.00000     0.1150E+02     2.000     3   4.4631
      130     0.00000     0.1182E+02     1.000     6   4.4636
      131     0.00000     0.1142E+02     1.000     6   4.4672
      132     0.00000     0.3645E+01     2.000     3   4.4750
      133     0.00000     0.7282E+02     2.000     5   4.4814
      134     0.00000     0.9131E+01     2.000     5   4.4824
      135     0.00000     0.8324E+01     2.000     3   4.4849
      136     0.00000     0.7198E+02     2.000     5   4.4864
      137     0.00000     0.6905E+02     2.000     5   4.4975
      138     0.00000     0.7013E+02     2.000     5   4.4999
      139     0.00000     0.1213E+02     2.000     4   4.5005
      140     0.00000     0.5174E+02     2.000     5   4.5023
      142     0.00000     0.5148E+02     2.000     5   4.5054
      143     0.00000     0.3373E+01     2.000     3   4.5109
      144     0.00000     0.8687E+02     2.000     5   4.5143
      145     0.00000     0.8591E+02     2.000     5   4.5157
      146     0.00000     0.2594E+02     1.000     4   4.5185
      147     0.00000     0.2148E+02     1.000     4   4.5313
      148     0.00000     0.2533E+02     1.000     4   4.5327
      150     0.00000     0.4154E+02     2.000     4   4.5359
      151     0.00000     0.4143E+02     2.000     4   4.5423
      152     0.00000     0.1230E+02     1.000     2   4.5467
      153     0.00000     0.2134E+02     1.000     4   4.5477
      154     0.00000     0.7012E+02     2.000     5   4.5496
      155     0.00000     0.3439E+01     2.000     3   4.5514
      156     0.00000     0.7016E+02     2.000     5   4.5541
      157     0.00000     0.4447E+02     2.000     5   4.5589
