# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0503
        2     0.00000     0.9832E+02     1.000     2   2.0637
        3     0.00000     0.7907E+02     1.000     2   2.3012
        4     0.00000     0.7903E+02     1.000     2   2.3016
        5     0.00000     0.9903E+01     1.000     2   2.8890
        6     0.00000     0.3823E+02     1.000     2   2.9596
        7     0.00000     0.3798E+02     1.000     2   2.9671
        8     0.00000     0.8822E+01     1.000     2   3.0206
        9     0.00000     0.8111E+01     1.000     2   3.1195
       10     0.00000     0.3282E+02     1.000     2   3.1297
       11     0.00000     0.3339E+02     1.000     2   3.1308
       12     0.00000     0.7915E+01     1.000     2   3.1487
       13     0.00000     0.7898E+01     1.000     2   3.1513
       14     0.00000     0.3200E+02     1.000     2   3.1600
       15     0.00000     0.5573E+02     2.000     3   3.1686
       16     0.00000     0.5343E+02     2.000     3   3.1714
       17     0.00000     0.7748E+01     1.000     2   3.1744
       18     0.00000     0.7667E+01     1.000     2   3.1872
       19     0.00000     0.3134E+02     1.000     2   3.2072
       20     0.00000     0.6324E+02     2.000     3   3.2797
       21     0.00000     0.6441E+02     2.000     3   3.3014
       22     0.00000     0.2534E+02     1.000     4   3.3701
       23     0.00000     0.2245E+02     1.000     4   3.3832
       24     0.00000     0.4062E+02     1.000     4   3.4297
       25     0.00000     0.4324E+02     1.000     4   3.4429
       26     0.00000     0.6127E+01     1.000     2   3.4691
       27     0.00000     0.5979E+01     1.000     2   3.5010
       28     0.00000     0.2409E+02     1.000     2   3.5396
       29     0.00000     0.1121E+02     2.000     3   3.5563
       30     0.00000     0.6941E+01     2.000     3   3.5789
       31     0.00000     0.2319E+02     1.000     2   3.5902
       32     0.00000     0.6846E+01     2.000     3   3.5971
       33     0.00000     0.3209E+02     2.000     3   3.6299
       34     0.00000     0.5714E+01     2.000     3   3.6576
       35     0.00000     0.5765E+01     2.000     3   3.6665
       36     0.00000     0.3167E+02     2.000     3   3.6678
       37     0.00000     0.5195E+01     1.000     2   3.6891
       38     0.00000     0.8209E+01     2.000     3   3.6995
       39     0.00000     0.2129E+02     1.000     2   3.7022
       40     0.00000     0.7352E+01     2.000     3   3.7252
       41     0.00000     0.1111E+02     2.000     4   3.7907
       42     0.00000     0.1163E+02     2.000     4   3.7985
       43     0.00000     0.1246E+02     2.000     3   3.8269
       44     0.00000     0.6560E+01     2.000     3   3.8625
       45     0.00000     0.5822E+01     2.000     3   3.9142
       46     0.00000     0.1002E+02     2.000     3   3.9293
       47     0.00000     0.6611E+01     2.000     3   3.9595
       48     0.00000     0.6856E+01     2.000     3   3.9707
       49     0.00000     0.6609E+01     2.000     3   3.9749
       50     0.00000     0.4982E+01     1.000     4   3.9818
       51     0.00000     0.1074E+02     2.000     3   3.9912
       52     0.00000     0.1355E+02     2.000     3   4.0542
       54     0.00000     0.1640E+02     1.000     2   4.0702
       56     0.00000     0.1547E+02     2.000     3   4.0786
       57     0.00000     0.1344E+02     2.000     3   4.0867
       58     0.00000     0.1190E+02     1.000     4   4.1005
       59     0.00000     0.4409E+01     2.000     3   4.1068
       60     0.00000     0.4717E+01     1.000     4   4.1143
       61     0.00000     0.2988E+01     2.000     4   4.1139
       64     0.00000     0.1486E+02     2.000     3   4.1185
       65     0.00000     0.1149E+02     1.000     4   4.1273
       66     0.00000     0.1009E+02     1.000     4   4.1285
       67     0.00000     0.1081E+02     1.000     4   4.1291
       68     0.00000     0.1529E+02     1.000     2   4.1412
       69     0.00000     0.1526E+02     1.000     2   4.1440
       70     0.00000     0.3701E+01     1.000     2   4.1766
       71     0.00000     0.1519E+02     1.000     2   4.1834
       72     0.00000     0.4094E+02     2.000     3   4.1838
       74     0.00000     0.3966E+02     2.000     3   4.1925
       75     0.00000     0.3947E+01     1.000     4   4.1982
       76     0.00000     0.3628E+01     1.000     2   4.2069
       77     0.00000     0.1343E+02     2.000     3   4.2121
       78     0.00000     0.4292E+02     2.000     3   4.2198
       79     0.00000     0.4178E+02     2.000     3   4.2221
       81     0.00000     0.3041E+02     1.000     4   4.2264
       82     0.00000     0.3843E+01     1.000     4   4.2270
       83     0.00000     0.8253E+01     2.000     4   4.2286
       84     0.00000     0.8368E+01     2.000     3   4.2340
       85     0.00000     0.1447E+02     2.000     3   4.2383
       86     0.00000     0.1432E+02     1.000     2   4.2405
       87     0.00000     0.2903E+02     1.000     4   4.2410
       88     0.00000     0.3853E+01     1.000     4   4.2433
       89     0.00000     0.4331E+01     2.000     5   4.2469
       90     0.00000     0.3857E+01     2.000     5   4.2502
       91     0.00000     0.4306E+02     2.000     3   4.2560
       92     0.00000     0.7771E+01     2.000     4   4.2599
       93     0.00000     0.1413E+02     1.000     2   4.2606
       94     0.00000     0.5711E+02     2.000     4   4.2647
       95     0.00000     0.4053E+01     1.000     4   4.2684
       96     0.00000     0.5689E+02     2.000     4   4.2683
       97     0.00000     0.3364E+02     1.000     4   4.2714
       98     0.00000     0.4285E+02     2.000     3   4.2732
      100     0.00000     0.2511E+02     1.000     4   4.2791
      101     0.00000     0.4079E+01     1.000     4   4.2803
      102     0.00000     0.1936E+02     2.000     4   4.2853
      103     0.00000     0.3358E+02     1.000     4   4.2859
      104     0.00000     0.1935E+02     2.000     4   4.2872
      105     0.00000     0.2541E+02     1.000     4   4.2869
      107     0.00000     0.4229E+02     1.000     4   4.2955
      108     0.00000     0.1536E+02     1.000     4   4.2999
      109     0.00000     0.4083E+02     1.000     4   4.3029
      110     0.00000     0.9248E+01     2.000     3   4.3158
      111     0.00000     0.6321E+01     2.000     5   4.3164
      112     0.00000     0.5715E+01     2.000     5   4.3288
      113     0.00000     0.1988E+02     2.000     4   4.3368
      114     0.00000     0.3133E+01     2.000     4   4.3514
      115     0.00000     0.2879E+01     2.000     4   4.3518
      116     0.00000     0.1933E+02     2.000     4   4.3576
      117     0.00000     0.3816E+01     2.000     4   4.3617
      119     0.00000     0.2900E+01     2.000     4   4.3652
      121     0.00000     0.3199E+01     2.000     4   4.3660
      122     0.00000     0.3061E+02     2.000     3   4.3681
      123     0.00000     0.4731E+02     2.000     4   4.3836
      124     0.00000     0.2937E+02     2.000     3   4.3932
      125     0.00000     0.2412E+02     2.000     4   4.3980
      126     0.00000     0.1127E+02     2.000     3   4.4056
      127     0.00000     0.4600E+02     2.000     4   4.4058
      128     0.00000     0.2390E+02     2.000     4   4.4092
      129     0.00000     0.4700E+02     2.000     4   4.4235
      130     0.00000     0.6003E+01     2.000     3   4.4306
      131     0.00000     0.4639E+02     2.000     4   4.4316
      132     0.00000     0.1286E+02     1.000     6   4.4484
      134     0.00000     0.1185E+02     1.000     6   4.4620
      135     0.00000     0.7515E+02     2.000     5   4.4661
      136     0.00000     0.7282E+02     2.000     5   4.4801
      137     0.00000     0.7133E+01     2.000     3   4.4824
      138     0.00000     0.3035E+01     1.000     2   4.4841
      139     0.00000     0.1247E+02     1.000     2   4.4850
      140     0.00000     0.5314E+02     2.000     5   4.4868
      141     0.00000     0.7280E+02     2.000     5   4.4884
      142     0.00000     0.6994E+02     2.000     5   4.4909
      143     0.00000     0.1289E+02     2.000     4   4.4922
      144     0.00000     0.2691E+02     1.000     4   4.4957
      145     0.00000     0.5207E+02     2.000     5   4.4990
      146     0.00000     0.5637E+01     2.000     3   4.5010
      147     0.00000     0.3219E+01     2.000     4   4.5011
      148     0.00000     0.8837E+02     2.000     5   4.5044
      149     0.00000     0.8911E+02     2.000     5   4.5073
      150     0.00000     0.2187E+02     1.000     4   4.5091
      151     0.00000     0.8342E+01     2.000     5   4.5159
      152     0.00000     0.4229E+02     2.000     4   4.5181
      153     0.00000     0.2558E+02     1.000     4   4.5258
      154     0.00000     0.7183E+02     2.000     5   4.5335
      155     0.00000     0.4172E+02     2.000     4   4.5346
      156     0.00000     0.2161E+02     1.000     4   4.5392
      157     0.00000     0.7119E+02     2.000     5   4.5472
      158     0.00000     0.4507E+02     2.000     5   4.5480
      159     0.00000     0.4539E+02     2.000     5   4.5506
      160     0.00000     0.1121E+02     2.000     3   4.5582
      161     0.00000     0.3256E+02     2.000     3   4.5644
      162     0.00000     0.2817E+01     1.000     4   4.5689
      163     0.00000     0.4033E+01     2.000     3   4.5699
      164     0.00000     0.2840E+01     1.000     4   4.5831
      165     0.00000     0.2838E+01     1.000     2   4.5917
      166     0.00000     0.9903E+01     2.000     3   4.5926
      167     0.00000     0.6969E+01     2.000     4   4.5933
      168     0.00000     0.4151E+02     2.000     5   4.5995
      169     0.00000     0.7619E+01     2.000     5   4.5990
      170     0.00000     0.5545E+01     1.000     4   4.6023
      171     0.00000     0.5539E+01     1.000     4   4.6031
      172     0.00000     0.3183E+01     2.000     4   4.6027
      173     0.00000     0.3317E+01     2.000     3   4.6042
      174     0.00000     0.2813E+01     1.000     2   4.6061
      175     0.00000     0.3983E+01     2.000     4   4.6066
      176     0.00000     0.6586E+01     2.000     4   4.6150
      177     0.00000     0.3598E+01     1.000     4   4.6177
      178     0.00000     0.2788E+01     1.000     2   4.6206
      179     0.00000     0.4023E+02     2.000     5   4.6210
      180     0.00000     0.9553E+01     2.000     3   4.6240
      181     0.00000     0.4637E+01     2.000     3   4.6319
      182     0.00000     0.1127E+02     1.000     4   4.6324
      183     0.00000     0.1156E+02     2.000     3   4.6373
      184     0.00000     0.2872E+02     1.000     4   4.6438
      185     0.00000     0.6395E+02     2.000     5   4.6457
      186     0.00000     0.3275E+01     1.000     4   4.6468
      188     0.00000     0.7066E+02     2.000     5   4.6591
      189     0.00000     0.6166E+02     2.000     5   4.6672
      190     0.00000     0.3075E+01     2.000     3   4.6693
      191     0.00000     0.5180E+01     2.000     4   4.6728
      192     0.00000     0.4127E+01     2.000     3   4.6791
      193     0.00000     0.7155E+02     2.000     5   4.6806
      194     0.00000     0.1274E+02     1.000     4   4.6829
      196     0.00000     0.5130E+02     1.000     6   4.6899
      197     0.00000     0.8441E+01     2.000     4   4.6990
      198     0.00000     0.8216E+01     2.000     3   4.7007
      199     0.00000     0.3432E+01     2.000     3   4.7003
      200     0.00000     0.9632E+01     2.000     3   4.7017
      201     0.00000     0.3572E+01     2.000     3   4.7026
      202     0.00000     0.4744E+02     1.000     6   4.7027
      203     0.00000     0.3861E+01     2.000     4   4.7060
      204     0.00000     0.5708E+02     1.000     6   4.7058
      205     0.00000     0.8457E+01     2.000     3   4.7068
      206     0.00000     0.3474E+01     2.000     3   4.7149
      207     0.00000     0.1599E+02     2.000     4   4.7162
      208     0.00000     0.1638E+02     2.000     4   4.7194
      209     0.00000     0.5622E+02     1.000     6   4.7191
      210     0.00000     0.7024E+01     2.000     3   4.7198
      211     0.00000     0.2682E+01     1.000     4   4.7219
      213     0.00000     0.6005E+01     2.000     3   4.7297
      214     0.00000     0.9092E+01     2.000     5   4.7432
      215     0.00000     0.5838E+01     2.000     3   4.7460
      216     0.00000     0.1006E+03     2.000     6   4.7494
      219     0.00000     0.9718E+01     2.000     5   4.7564
      220     0.00000     0.1961E+02     2.000     5   4.7606
      221     0.00000     0.9875E+02     2.000     6   4.7624
      222     0.00000     0.5123E+01     2.000     3   4.7629
      223     0.00000     0.7101E+01     2.000     4   4.7653
      224     0.00000     0.9029E+01     2.000     5   4.7676
      225     0.00000     0.1149E+02     2.000     4   4.7723
      226     0.00000     0.9992E+01     2.000     4   4.7784
      227     0.00000     0.1434E+02     2.000     3   4.7809
