# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0374
        2     0.00000     0.9697E+02     1.000     2   2.0616
        3     0.00000     0.7895E+02     1.000     2   2.2883
        4     0.00000     0.7878E+02     1.000     2   2.2901
        5     0.00000     0.9221E+01     1.000     2   2.9519
        6     0.00000     0.3691E+02     1.000     2   2.9802
        7     0.00000     0.3541E+02     1.000     2   3.0274
        8     0.00000     0.3466E+02     1.000     2   3.0416
        9     0.00000     0.3302E+02     1.000     2   3.1239
       10     0.00000     0.7940E+01     1.000     2   3.1262
       11     0.00000     0.3201E+02     1.000     2   3.1386
       12     0.00000     0.7717E+01     1.000     2   3.1604
       13     0.00000     0.7708E+01     1.000     2   3.1618
       14     0.00000     0.5472E+02     2.000     3   3.1803
       15     0.00000     0.3123E+02     1.000     2   3.1908
       16     0.00000     0.6338E+02     2.000     3   3.1904
       17     0.00000     0.7487E+01     1.000     2   3.1970
       18     0.00000     0.5650E+02     2.000     3   3.2253
       19     0.00000     0.6967E+01     1.000     2   3.2856
       20     0.00000     0.6169E+02     2.000     3   3.2891
       21     0.00000     0.6660E+01     1.000     2   3.3421
       22     0.00000     0.3818E+02     1.000     4   3.3533
       23     0.00000     0.6488E+01     1.000     2   3.3751
       24     0.00000     0.2571E+02     1.000     4   3.3804
       25     0.00000     0.6321E+01     1.000     2   3.4085
       26     0.00000     0.3014E+02     1.000     4   3.4091
       27     0.00000     0.4004E+02     1.000     4   3.4397
       28     0.00000     0.2388E+02     1.000     2   3.5290
       29     0.00000     0.9788E+01     2.000     3   3.5842
       30     0.00000     0.6687E+01     2.000     3   3.6096
       31     0.00000     0.3217E+02     2.000     3   3.6189
       32     0.00000     0.8245E+01     2.000     3   3.6416
       33     0.00000     0.2171E+02     1.000     2   3.6526
       34     0.00000     0.3163E+02     2.000     3   3.6544
       35     0.00000     0.6404E+01     2.000     3   3.6584
       36     0.00000     0.5647E+01     2.000     3   3.6774
       37     0.00000     0.5743E+01     2.000     3   3.6879
       38     0.00000     0.6540E+01     2.000     3   3.6957
       39     0.00000     0.7033E+01     2.000     3   3.7226
       40     0.00000     0.5858E+01     2.000     3   3.7301
       41     0.00000     0.1156E+02     2.000     4   3.8097
       42     0.00000     0.5932E+01     2.000     3   3.8128
       43     0.00000     0.1061E+02     2.000     4   3.8421
       44     0.00000     0.1342E+02     2.000     4   3.8587
       45     0.00000     0.6149E+01     2.000     3   3.9027
       46     0.00000     0.5989E+01     2.000     3   3.9203
       47     0.00000     0.1124E+02     2.000     3   3.9359
       48     0.00000     0.7014E+01     2.000     3   3.9541
       49     0.00000     0.6743E+01     2.000     3   3.9697
       50     0.00000     0.6830E+01     2.000     3   3.9833
       51     0.00000     0.6409E+01     2.000     3   3.9999
       52     0.00000     0.4602E+01     1.000     4   4.0444
       53     0.00000     0.1332E+02     2.000     3   4.0502
       54     0.00000     0.4487E+01     2.000     3   4.0560
       56     0.00000     0.1217E+02     1.000     4   4.0748
       57     0.00000     0.1538E+02     2.000     3   4.0771
       59     0.00000     0.3644E+01     2.000     4   4.0990
       60     0.00000     0.1095E+02     1.000     4   4.1138
       61     0.00000     0.1025E+02     1.000     4   4.1180
       62     0.00000     0.1142E+02     1.000     4   4.1233
       65     0.00000     0.3726E+01     1.000     2   4.1428
       67     0.00000     0.1488E+02     1.000     2   4.1552
       68     0.00000     0.1478E+02     1.000     2   4.1644
       69     0.00000     0.3666E+01     1.000     2   4.1672
       70     0.00000     0.1372E+02     2.000     3   4.1797
       72     0.00000     0.4339E+02     2.000     3   4.1880
       73     0.00000     0.4002E+02     2.000     3   4.1965
       74     0.00000     0.1445E+02     1.000     2   4.2059
       75     0.00000     0.3380E+02     1.000     4   4.2117
       76     0.00000     0.4252E+01     1.000     4   4.2191
       77     0.00000     0.1455E+02     2.000     3   4.2254
       78     0.00000     0.8488E+01     2.000     4   4.2277
       79     0.00000     0.4083E+02     2.000     3   4.2356
       80     0.00000     0.4058E+02     2.000     3   4.2383
       81     0.00000     0.2986E+02     1.000     4   4.2379
       82     0.00000     0.3765E+01     1.000     4   4.2390
       83     0.00000     0.9232E+01     2.000     3   4.2468
       84     0.00000     0.1396E+02     1.000     2   4.2536
       85     0.00000     0.3755E+01     1.000     4   4.2543
       86     0.00000     0.4380E+01     2.000     5   4.2589
       87     0.00000     0.3591E+02     2.000     3   4.2663
       88     0.00000     0.4194E+02     2.000     3   4.2687
       89     0.00000     0.6765E+01     2.000     5   4.2688
       90     0.00000     0.3074E+02     1.000     4   4.2707
       92     0.00000     0.3676E+01     1.000     4   4.2752
       93     0.00000     0.2116E+02     2.000     4   4.2769
       94     0.00000     0.5605E+02     2.000     4   4.2769
       95     0.00000     0.1568E+02     1.000     4   4.2836
       96     0.00000     0.3280E+02     1.000     4   4.2839
       97     0.00000     0.5432E+02     2.000     4   4.2900
       98     0.00000     0.1899E+02     2.000     4   4.2955
       99     0.00000     0.1878E+02     2.000     4   4.2977
      100     0.00000     0.2504E+02     1.000     4   4.2990
      101     0.00000     0.3997E+01     2.000     5   4.3035
      102     0.00000     0.9101E+01     2.000     5   4.3032
      103     0.00000     0.3629E+02     2.000     3   4.3057
      104     0.00000     0.3287E+01     2.000     4   4.3078
      105     0.00000     0.4007E+02     1.000     4   4.3160
      107     0.00000     0.6389E+01     2.000     5   4.3267
      108     0.00000     0.3334E+01     2.000     4   4.3275
      109     0.00000     0.6660E+01     2.000     5   4.3331
      110     0.00000     0.5173E+02     2.000     4   4.3381
      111     0.00000     0.2582E+02     1.000     4   4.3433
      112     0.00000     0.1955E+02     2.000     4   4.3451
      114     0.00000     0.3087E+01     2.000     4   4.3517
      115     0.00000     0.3383E+02     1.000     4   4.3682
      116     0.00000     0.1123E+02     2.000     3   4.3760
      117     0.00000     0.2411E+02     2.000     4   4.3783
      118     0.00000     0.3026E+02     2.000     3   4.3791
      119     0.00000     0.4670E+02     2.000     4   4.3942
      120     0.00000     0.3412E+02     1.000     4   4.4055
      121     0.00000     0.2385E+02     2.000     4   4.4078
      122     0.00000     0.2216E+02     1.000     4   4.4133
      123     0.00000     0.5974E+01     2.000     3   4.4205
      124     0.00000     0.4683E+02     2.000     4   4.4292
      125     0.00000     0.1701E+02     1.000     6   4.4318
      126     0.00000     0.4217E+01     2.000     3   4.4324
      127     0.00000     0.4622E+02     2.000     4   4.4357
      128     0.00000     0.5599E+01     2.000     3   4.4441
      130     0.00000     0.7967E+02     2.000     5   4.4529
      132     0.00000     0.1304E+02     1.000     6   4.4590
      133     0.00000     0.5515E+02     2.000     5   4.4606
      134     0.00000     0.3113E+01     2.000     4   4.4629
      136     0.00000     0.7437E+02     2.000     5   4.4770
      137     0.00000     0.1301E+02     2.000     4   4.4787
      138     0.00000     0.1185E+02     1.000     6   4.4873
      139     0.00000     0.4376E+02     2.000     4   4.4894
      140     0.00000     0.5291E+02     2.000     5   4.4957
      141     0.00000     0.7261E+02     2.000     5   4.4991
      142     0.00000     0.2687E+02     1.000     4   4.5045
      143     0.00000     0.8344E+02     2.000     5   4.5063
      144     0.00000     0.1206E+02     1.000     2   4.5111
      145     0.00000     0.8715E+02     2.000     5   4.5161
      146     0.00000     0.2151E+02     1.000     4   4.5166
      147     0.00000     0.7139E+02     2.000     5   4.5219
      148     0.00000     0.4164E+02     2.000     4   4.5296
      150     0.00000     0.8078E+02     2.000     5   4.5312
      151     0.00000     0.3932E+01     2.000     3   4.5328
      152     0.00000     0.4518E+02     2.000     5   4.5413
      153     0.00000     0.7089E+02     2.000     5   4.5447
