# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0360
        2     0.00000     0.9949E+02     1.000     2   2.0399
        3     0.00000     0.7866E+02     1.000     2   2.2884
        4     0.00000     0.7859E+02     1.000     2   2.2891
        5     0.00000     0.9202E+01     1.000     2   2.9600
        6     0.00000     0.3597E+02     1.000     2   2.9945
        7     0.00000     0.3543E+02     1.000     2   3.0118
        8     0.00000     0.8678E+01     1.000     2   3.0273
        9     0.00000     0.3360E+02     1.000     2   3.0672
       10     0.00000     0.3329E+02     1.000     2   3.0778
       11     0.00000     0.3314E+02     1.000     2   3.1094
       12     0.00000     0.3258E+02     1.000     2   3.1298
       13     0.00000     0.6004E+02     2.000     3   3.1731
       14     0.00000     0.6117E+02     2.000     3   3.1837
       15     0.00000     0.7401E+01     1.000     2   3.2164
       16     0.00000     0.5857E+02     2.000     3   3.2401
       17     0.00000     0.6014E+02     2.000     3   3.2437
       18     0.00000     0.7232E+01     1.000     2   3.2448
       19     0.00000     0.7192E+01     1.000     2   3.2516
       20     0.00000     0.7100E+01     1.000     2   3.2674
       21     0.00000     0.7095E+01     1.000     2   3.2683
       22     0.00000     0.3301E+02     1.000     4   3.3516
       23     0.00000     0.3531E+02     1.000     4   3.3555
       24     0.00000     0.3618E+02     1.000     4   3.4096
       25     0.00000     0.6330E+01     1.000     2   3.4116
       26     0.00000     0.3388E+02     1.000     4   3.4130
       27     0.00000     0.9831E+01     2.000     3   3.5912
       28     0.00000     0.3241E+02     2.000     3   3.6127
       29     0.00000     0.8538E+01     2.000     3   3.6147
       30     0.00000     0.3232E+02     2.000     3   3.6225
       31     0.00000     0.6808E+01     2.000     3   3.6448
       32     0.00000     0.8342E+01     2.000     3   3.6605
       33     0.00000     0.6760E+01     2.000     3   3.6710
       34     0.00000     0.5960E+01     2.000     3   3.6925
       35     0.00000     0.6401E+01     2.000     3   3.6952
       36     0.00000     0.6334E+01     2.000     3   3.7118
       37     0.00000     0.5943E+01     2.000     3   3.7139
       38     0.00000     0.5872E+01     2.000     3   3.7157
       39     0.00000     0.5918E+01     2.000     3   3.7252
       40     0.00000     0.6174E+01     2.000     3   3.7353
       41     0.00000     0.6095E+01     2.000     3   3.8172
       42     0.00000     0.1314E+02     2.000     4   3.8234
       43     0.00000     0.1353E+02     2.000     4   3.8428
       44     0.00000     0.1148E+02     2.000     4   3.8681
       45     0.00000     0.1176E+02     2.000     4   3.8777
       46     0.00000     0.5998E+01     2.000     3   3.8852
       47     0.00000     0.6256E+01     2.000     3   3.9123
       48     0.00000     0.6341E+01     2.000     3   3.9137
       49     0.00000     0.6458E+01     2.000     3   3.9224
       50     0.00000     0.4768E+01     2.000     3   3.9846
       52     0.00000     0.4753E+01     1.000     4   4.0526
       53     0.00000     0.4597E+01     2.000     3   4.0564
       55     0.00000     0.1259E+02     1.000     4   4.0719
