# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.3537
        2     0.00000     0.9959E+02     1.000     2   2.3574
        3     0.00000     0.9858E+02     1.000     2   2.3666
        4     0.00000     0.9837E+02     1.000     2   2.3685
        5     0.00000     0.1291E+02     1.000     2   3.0053
        6     0.00000     0.1132E+02     1.000     2   3.1587
        7     0.00000     0.1077E+02     1.000     2   3.2187
        8     0.00000     0.3955E+02     1.000     2   3.2785
        9     0.00000     0.3951E+02     1.000     2   3.2797
       10     0.00000     0.1019E+02     1.000     2   3.2866
       11     0.00000     0.3866E+02     1.000     2   3.3061
       12     0.00000     0.3838E+02     1.000     2   3.3152
       13     0.00000     0.9586E+01     1.000     2   3.3621
       14     0.00000     0.9218E+01     1.000     2   3.4115
       15     0.00000     0.8037E+01     1.000     2   3.5890
       16     0.00000     0.1571E+02     2.000     3   3.6889
       17     0.00000     0.7247E+01     1.000     2   3.7280
       18     0.00000     0.4272E+02     2.000     3   3.7295
       19     0.00000     0.4224E+02     2.000     3   3.7359
       20     0.00000     0.4245E+02     2.000     3   3.7469
       21     0.00000     0.4183E+02     2.000     3   3.7512
       22     0.00000     0.1217E+02     2.000     3   3.7781
       23     0.00000     0.1097E+02     2.000     3   3.8133
       24     0.00000     0.9542E+01     2.000     3   3.8291
       25     0.00000     0.8662E+01     2.000     3   3.8670
       26     0.00000     0.7395E+01     2.000     3   3.8822
       27     0.00000     0.2471E+02     1.000     2   3.8933
       28     0.00000     0.7002E+01     2.000     3   3.9693
       29     0.00000     0.7009E+01     2.000     3   3.9887
       30     0.00000     0.8209E+01     2.000     3   3.9941
       31     0.00000     0.6870E+01     2.000     3   4.0236
       32     0.00000     0.1028E+02     2.000     3   4.0506
       33     0.00000     0.6686E+01     2.000     3   4.0654
       34     0.00000     0.7876E+01     1.000     4   4.0981
       35     0.00000     0.2940E+01     2.000     4   4.1451
       36     0.00000     0.1372E+02     1.000     4   4.1787
       37     0.00000     0.1435E+02     1.000     4   4.1806
       38     0.00000     0.6254E+01     2.000     3   4.1847
       39     0.00000     0.1420E+02     1.000     4   4.1921
       40     0.00000     0.1371E+02     1.000     4   4.1963
       41     0.00000     0.1317E+02     2.000     3   4.1991
       42     0.00000     0.3435E+01     2.000     3   4.2024
       44     0.00000     0.8851E+01     2.000     3   4.2280
       46     0.00000     0.3488E+01     2.000     3   4.2483
       47     0.00000     0.6774E+01     1.000     4   4.2501
       48     0.00000     0.3383E+01     2.000     3   4.2512
       49     0.00000     0.6133E+01     2.000     3   4.2548
       50     0.00000     0.9400E+01     2.000     3   4.2597
       51     0.00000     0.4999E+01     1.000     2   4.2615
       53     0.00000     0.9657E+01     2.000     3   4.2935
       54     0.00000     0.9633E+01     2.000     3   4.2948
       55     0.00000     0.6366E+01     1.000     4   4.3115
       57     0.00000     0.1034E+02     2.000     3   4.3242
       58     0.00000     0.1015E+02     2.000     3   4.3331
       59     0.00000     0.1945E+02     2.000     3   4.3350
       60     0.00000     0.1672E+02     2.000     3   4.3617
       61     0.00000     0.4157E+01     1.000     4   4.3732
       62     0.00000     0.5911E+01     1.000     4   4.3797
       64     0.00000     0.4540E+01     1.000     2   4.4090
       65     0.00000     0.2068E+02     1.000     4   4.4085
       66     0.00000     0.3901E+01     2.000     4   4.4175
       67     0.00000     0.4697E+01     2.000     4   4.4392
       68     0.00000     0.5491E+01     1.000     4   4.4554
       69     0.00000     0.4041E+01     2.000     4   4.4598
       70     0.00000     0.3837E+01     2.000     4   4.4661
       71     0.00000     0.8982E+01     2.000     3   4.5023
       72     0.00000     0.5842E+01     1.000     4   4.5048
       73     0.00000     0.6687E+01     2.000     4   4.5068
       74     0.00000     0.1508E+02     2.000     3   4.5252
       75     0.00000     0.2799E+01     2.000     4   4.5709
       76     0.00000     0.1915E+02     2.000     4   4.5758
       77     0.00000     0.4349E+01     2.000     4   4.5775
       78     0.00000     0.1550E+02     1.000     2   4.5823
       79     0.00000     0.3001E+01     2.000     4   4.5898
       80     0.00000     0.2843E+01     2.000     3   4.6197
       81     0.00000     0.4756E+01     2.000     3   4.6311
       82     0.00000     0.3912E+01     1.000     2   4.6446
       83     0.00000     0.5134E+01     2.000     4   4.6675
       84     0.00000     0.3713E+02     2.000     3   4.6884
       85     0.00000     0.1448E+02     1.000     2   4.6901
       86     0.00000     0.6090E+01     2.000     4   4.6932
       87     0.00000     0.7777E+01     2.000     3   4.6976
       88     0.00000     0.1432E+02     1.000     2   4.7070
       89     0.00000     0.7996E+01     1.000     4   4.7075
       90     0.00000     0.2941E+01     2.000     4   4.7112
       91     0.00000     0.7930E+01     1.000     4   4.7149
       93     0.00000     0.4137E+01     2.000     4   4.7222
       94     0.00000     0.3342E+01     2.000     4   4.7240
       95     0.00000     0.3325E+01     2.000     4   4.7259
       96     0.00000     0.7772E+01     1.000     4   4.7331
       97     0.00000     0.4003E+01     2.000     4   4.7350
       98     0.00000     0.7740E+01     1.000     4   4.7369
       99     0.00000     0.4425E+01     1.000     4   4.7431
      100     0.00000     0.4644E+02     2.000     3   4.7499
      101     0.00000     0.4172E+02     2.000     3   4.7564
      102     0.00000     0.1333E+02     2.000     4   4.7668
      103     0.00000     0.4028E+01     2.000     5   4.7824
      104     0.00000     0.3581E+01     1.000     2   4.7886
      105     0.00000     0.4524E+02     1.000     4   4.7928
      106     0.00000     0.6580E+01     2.000     4   4.7935
      107     0.00000     0.3271E+02     1.000     4   4.7945
      108     0.00000     0.3926E+02     1.000     4   4.8226
      110     0.00000     0.5595E+01     2.000     5   4.8294
      111     0.00000     0.2929E+01     1.000     4   4.8301
      112     0.00000     0.3135E+01     2.000     4   4.8332
      113     0.00000     0.3103E+02     2.000     5   4.8403
      115     0.00000     0.4757E+01     2.000     4   4.8599
      116     0.00000     0.1948E+02     2.000     3   4.8659
      117     0.00000     0.6920E+01     2.000     3   4.8692
      119     0.00000     0.3396E+01     1.000     2   4.8769
      120     0.00000     0.3905E+01     2.000     3   4.8848
      121     0.00000     0.1261E+02     2.000     3   4.8887
      122     0.00000     0.7616E+01     2.000     5   4.9067
      123     0.00000     0.2373E+02     2.000     3   4.9196
      124     0.00000     0.2221E+02     2.000     3   4.9212
      125     0.00000     0.3497E+01     2.000     3   4.9428
      126     0.00000     0.4131E+02     2.000     4   4.9625
      127     0.00000     0.2800E+02     2.000     4   4.9719
      128     0.00000     0.1170E+02     2.000     4   4.9753
      129     0.00000     0.3799E+01     1.000     4   4.9862
      130     0.00000     0.3584E+02     2.000     4   4.9875
      131     0.00000     0.1216E+02     1.000     4   4.9888
      132     0.00000     0.6601E+01     2.000     4   4.9936
      133     0.00000     0.6124E+01     2.000     3   4.9988
      134     0.00000     0.2961E+01     2.000     4   5.0034
      135     0.00000     0.4492E+01     2.000     3   5.0045
      136     0.00000     0.1445E+02     2.000     5   5.0076
      139     0.00000     0.3092E+01     1.000     2   5.0358
      140     0.00000     0.4317E+01     2.000     3   5.0422
      141     0.00000     0.1196E+02     2.000     4   5.0651
      142     0.00000     0.3036E+01     2.000     5   5.0740
      143     0.00000     0.5380E+01     2.000     3   5.0750
      144     0.00000     0.3018E+01     1.000     2   5.0771
      145     0.00000     0.4523E+01     2.000     4   5.0863
      146     0.00000     0.5727E+01     2.000     5   5.0873
      147     0.00000     0.7484E+01     2.000     4   5.0976
      148     0.00000     0.3955E+01     2.000     4   5.0995
      149     0.00000     0.5099E+01     2.000     5   5.0992
      150     0.00000     0.5879E+01     1.000     4   5.1016
      151     0.00000     0.5802E+01     1.000     4   5.1052
      152     0.00000     0.5047E+01     2.000     3   5.1079
      153     0.00000     0.1210E+02     2.000     4   5.1179
      154     0.00000     0.5748E+01     2.000     3   5.1229
      155     0.00000     0.2924E+01     1.000     2   5.1317
      156     0.00000     0.2915E+01     2.000     3   5.1317
      157     0.00000     0.1221E+02     1.000     4   5.1323
      158     0.00000     0.4551E+01     2.000     3   5.1338
      159     0.00000     0.5753E+01     1.000     4   5.1339
      160     0.00000     0.5858E+01     1.000     4   5.1401
      161     0.00000     0.2295E+02     2.000     4   5.1446
      162     0.00000     0.6917E+01     2.000     5   5.1441
      163     0.00000     0.7317E+01     1.000     4   5.1494
      164     0.00000     0.1180E+02     2.000     4   5.1508
      165     0.00000     0.1055E+02     1.000     4   5.1524
      166     0.00000     0.3168E+01     2.000     3   5.1600
      167     0.00000     0.2875E+01     1.000     2   5.1614
      168     0.00000     0.5142E+01     2.000     4   5.1660
      170     0.00000     0.4182E+01     2.000     3   5.1685
      171     0.00000     0.4908E+01     2.000     3   5.1727
      172     0.00000     0.4006E+01     2.000     4   5.1734
      173     0.00000     0.7520E+01     2.000     3   5.1868
      174     0.00000     0.2741E+01     2.000     4   5.1945
      175     0.00000     0.2877E+02     2.000     4   5.2009
      176     0.00000     0.2647E+02     2.000     4   5.2014
      177     0.00000     0.1468E+02     2.000     5   5.2037
      178     0.00000     0.7908E+01     2.000     3   5.2089
      179     0.00000     0.3998E+01     2.000     3   5.2156
      180     0.00000     0.4046E+01     2.000     4   5.2256
      181     0.00000     0.6965E+01     2.000     4   5.2283
      182     0.00000     0.3471E+01     2.000     4   5.2315
      183     0.00000     0.9006E+01     2.000     4   5.2339
      184     0.00000     0.5665E+01     2.000     3   5.2382
      185     0.00000     0.8311E+01     2.000     3   5.2426
      186     0.00000     0.5938E+02     2.000     5   5.2438
      187     0.00000     0.4464E+02     2.000     5   5.2507
      188     0.00000     0.8746E+01     2.000     3   5.2554
      189     0.00000     0.5827E+01     2.000     3   5.2587
      190     0.00000     0.4402E+01     2.000     5   5.2619
      191     0.00000     0.7425E+01     2.000     4   5.2661
      192     0.00000     0.5314E+02     2.000     5   5.2677
      194     0.00000     0.1283E+02     1.000     6   5.2721
      197     0.00000     0.1023E+02     2.000     4   5.2819
      200     0.00000     0.6003E+01     2.000     3   5.2888
      202     0.00000     0.3458E+01     2.000     5   5.2920
      203     0.00000     0.1512E+02     2.000     5   5.2946
      204     0.00000     0.6044E+01     2.000     5   5.2946
      205     0.00000     0.6753E+01     2.000     4   5.3005
      206     0.00000     0.5934E+01     2.000     3   5.3160
      207     0.00000     0.4900E+01     2.000     5   5.3283
      208     0.00000     0.3022E+01     2.000     3   5.3301
      209     0.00000     0.9118E+01     2.000     4   5.3366
      210     0.00000     0.5274E+01     1.000     4   5.3378
      211     0.00000     0.6383E+01     2.000     4   5.3384
      212     0.00000     0.5903E+01     1.000     4   5.3407
      213     0.00000     0.1592E+02     2.000     5   5.3434
      214     0.00000     0.7332E+01     1.000     4   5.3494
      215     0.00000     0.6616E+01     1.000     4   5.3535
      216     0.00000     0.7546E+01     2.000     4   5.3571
      217     0.00000     0.6786E+01     2.000     3   5.3679
      218     0.00000     0.2889E+01     1.000     4   5.3688
      219     0.00000     0.1532E+02     2.000     5   5.3813
      220     0.00000     0.4192E+01     2.000     5   5.3811
      221     0.00000     0.6919E+01     2.000     3   5.3849
      222     0.00000     0.7277E+01     2.000     4   5.3892
      223     0.00000     0.7936E+01     2.000     4   5.3905
      224     0.00000     0.7468E+01     2.000     4   5.3963
      225     0.00000     0.8685E+01     2.000     4   5.3997
      226     0.00000     0.2826E+01     2.000     4   5.4021
      227     0.00000     0.5533E+01     2.000     3   5.4037
      228     0.00000     0.9091E+01     2.000     4   5.4099
      229     0.00000     0.2955E+02     2.000     5   5.4136
      230     0.00000     0.3665E+01     2.000     3   5.4180
      231     0.00000     0.4659E+01     2.000     4   5.4186
      232     0.00000     0.3565E+01     2.000     5   5.4254
      233     0.00000     0.2010E+02     2.000     5   5.4282
      234     0.00000     0.1183E+02     2.000     5   5.4284
      235     0.00000     0.2636E+02     2.000     5   5.4326
      236     0.00000     0.7474E+01     2.000     3   5.4373
      237     0.00000     0.3918E+01     2.000     3   5.4386
      238     0.00000     0.5999E+01     1.000     4   5.4402
      239     0.00000     0.3309E+01     1.000     4   5.4404
      240     0.00000     0.3083E+01     1.000     4   5.4406
      241     0.00000     0.5006E+01     1.000     4   5.4414
      242     0.00000     0.5798E+01     2.000     4   5.4443
      243     0.00000     0.3578E+01     1.000     4   5.4459
      244     0.00000     0.7151E+01     2.000     3   5.4488
      245     0.00000     0.8265E+01     2.000     3   5.4527
      246     0.00000     0.2951E+01     2.000     3   5.4534
      247     0.00000     0.5608E+01     2.000     5   5.4546
      248     0.00000     0.1573E+02     2.000     5   5.4551
      249     0.00000     0.1636E+02     2.000     5   5.4572
      250     0.00000     0.5619E+01     2.000     4   5.4593
      251     0.00000     0.4460E+01     2.000     5   5.4595
      252     0.00000     0.7706E+01     2.000     4   5.4609
      253     0.00000     0.5526E+01     1.000     4   5.4689
      254     0.00000     0.3547E+01     1.000     4   5.4705
      255     0.00000     0.4642E+01     2.000     3   5.4724
      256     0.00000     0.3630E+01     2.000     3   5.4763
      257     0.00000     0.7681E+01     2.000     4   5.4815
      258     0.00000     0.7664E+01     2.000     3   5.4830
      259     0.00000     0.1455E+02     1.000     6   5.5019
      260     0.00000     0.7113E+01     2.000     3   5.5031
      261     0.00000     0.7373E+01     2.000     4   5.5098
      262     0.00000     0.1395E+02     2.000     5   5.5106
      263     0.00000     0.8700E+01     2.000     3   5.5112
      264     0.00000     0.3982E+01     2.000     4   5.5124
      265     0.00000     0.4847E+01     2.000     5   5.5131
      266     0.00000     0.4632E+01     2.000     5   5.5144
      267     0.00000     0.8584E+01     2.000     4   5.5146
      268     0.00000     0.5450E+01     2.000     4   5.5207
      269     0.00000     0.5925E+01     2.000     5   5.5314
      270     0.00000     0.5271E+01     2.000     5   5.5361
      271     0.00000     0.7364E+01     2.000     4   5.5387
      272     0.00000     0.4761E+01     2.000     5   5.5510
      273     0.00000     0.1080E+02     2.000     5   5.5527
      274     0.00000     0.4006E+01     2.000     4   5.5581
      275     0.00000     0.1033E+02     2.000     4   5.5595
      276     0.00000     0.6357E+01     2.000     4   5.5608
      277     0.00000     0.3028E+01     2.000     4   5.5612
      278     0.00000     0.1059E+02     2.000     5   5.5614
      279     0.00000     0.1298E+02     2.000     5   5.5654
      280     0.00000     0.7634E+01     2.000     4   5.5664
      281     0.00000     0.4858E+01     2.000     4   5.5690
      282     0.00000     0.5595E+01     2.000     4   5.5704
      283     0.00000     0.1098E+02     2.000     5   5.5719
      284     0.00000     0.2710E+01     2.000     4   5.5760
      285     0.00000     0.1060E+02     2.000     5   5.5790
      287     0.00000     0.2946E+01     2.000     4   5.5853
      288     0.00000     0.5525E+01     2.000     5   5.5957
      289     0.00000     0.6167E+01     2.000     4   5.5974
      291     0.00000     0.4356E+01     2.000     5   5.6059
      292     0.00000     0.6652E+01     2.000     3   5.6068
      293     0.00000     0.8282E+01     2.000     4   5.6091
      294     0.00000     0.1022E+02     2.000     5   5.6119
      295     0.00000     0.1065E+02     2.000     5   5.6133
      296     0.00000     0.6507E+01     2.000     3   5.6182
      297     0.00000     0.3685E+01     2.000     4   5.6204
      298     0.00000     0.4184E+01     2.000     4   5.6203
      299     0.00000     0.1106E+02     2.000     5   5.6208
      300     0.00000     0.1027E+02     2.000     5   5.6207
      301     0.00000     0.9597E+01     2.000     4   5.6212
      302     0.00000     0.1067E+02     2.000     4   5.6211
      304     0.00000     0.5813E+01     2.000     5   5.6259
      305     0.00000     0.5347E+01     2.000     4   5.6270
      306     0.00000     0.1046E+02     2.000     4   5.6270
      307     0.00000     0.4374E+01     2.000     4   5.6307
      308     0.00000     0.6389E+01     2.000     4   5.6322
      309     0.00000     0.8617E+01     2.000     4   5.6318
      310     0.00000     0.1103E+02     2.000     5   5.6326
      311     0.00000     0.4536E+01     2.000     4   5.6334
      312     0.00000     0.4488E+01     2.000     4   5.6359
      313     0.00000     0.4199E+01     2.000     5   5.6383
      314     0.00000     0.7846E+01     2.000     5   5.6422
      316     0.00000     0.2982E+01     2.000     3   5.6425
      317     0.00000     0.4433E+01     2.000     4   5.6462
      318     0.00000     0.4687E+01     2.000     4   5.6513
      319     0.00000     0.3975E+01     2.000     5   5.6522
      320     0.00000     0.5594E+01     2.000     5   5.6557
      321     0.00000     0.7869E+01     2.000     5   5.6592
      322     0.00000     0.7046E+01     2.000     4   5.6599
      323     0.00000     0.1108E+02     2.000     6   5.6599
      324     0.00000     0.8705E+01     2.000     4   5.6611
      325     0.00000     0.9536E+01     2.000     5   5.6633
      326     0.00000     0.9900E+01     2.000     5   5.6632
      327     0.00000     0.1513E+02     2.000     5   5.6640
      328     0.00000     0.6082E+01     2.000     5   5.6637
      329     0.00000     0.7069E+01     2.000     5   5.6657
      330     0.00000     0.1300E+02     2.000     5   5.6656
      331     0.00000     0.9805E+01     2.000     5   5.6669
      332     0.00000     0.4418E+01     2.000     4   5.6689
      333     0.00000     0.1338E+02     2.000     6   5.6692
      334     0.00000     0.8394E+01     2.000     4   5.6730
      335     0.00000     0.4357E+01     2.000     4   5.6746
      336     0.00000     0.4794E+01     2.000     5   5.6755
      337     0.00000     0.2941E+01     1.000     4   5.6758
      338     0.00000     0.5302E+01     1.000     4   5.6777
      339     0.00000     0.5715E+01     2.000     4   5.6817
      340     0.00000     0.6160E+01     2.000     5   5.6870
      341     0.00000     0.2789E+01     2.000     3   5.6890
      342     0.00000     0.3859E+01     2.000     5   5.6901
      343     0.00000     0.7620E+01     2.000     5   5.6921
      345     0.00000     0.1405E+02     2.000     5   5.6932
      346     0.00000     0.9932E+01     2.000     5   5.6932
      347     0.00000     0.7505E+01     2.000     5   5.6940
      348     0.00000     0.3337E+01     1.000     6   5.6937
      349     0.00000     0.2238E+02     1.000     6   5.6949
      351     0.00000     0.2853E+01     2.000     5   5.7008
      352     0.00000     0.6469E+01     2.000     5   5.7023
      353     0.00000     0.5289E+01     2.000     4   5.7035
      354     0.00000     0.8274E+01     2.000     4   5.7069
      355     0.00000     0.1675E+02     1.000     6   5.7069
      356     0.00000     0.2028E+02     1.000     6   5.7127
      357     0.00000     0.2959E+01     2.000     4   5.7158
      359     0.00000     0.5170E+01     2.000     5   5.7223
      360     0.00000     0.2747E+01     2.000     5   5.7241
      362     0.00000     0.1128E+02     2.000     6   5.7396
      363     0.00000     0.4599E+01     2.000     5   5.7429
