# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0610
        2     0.00000     0.9950E+02     1.000     2   2.0650
        3     0.00000     0.8008E+02     1.000     2   2.2994
        4     0.00000     0.7977E+02     1.000     2   2.3028
        5     0.00000     0.3851E+02     1.000     2   2.9500
        6     0.00000     0.9538E+01     1.000     2   2.9606
        7     0.00000     0.3637E+02     1.000     2   3.0105
        8     0.00000     0.8835E+01     1.000     2   3.0487
        9     0.00000     0.3362E+02     1.000     2   3.1050
       10     0.00000     0.8354E+01     1.000     2   3.1144
       11     0.00000     0.8287E+01     1.000     2   3.1240
       12     0.00000     0.3253E+02     1.000     2   3.1390
       13     0.00000     0.3273E+02     1.000     2   3.1611
       14     0.00000     0.5466E+02     2.000     3   3.1634
       15     0.00000     0.3127E+02     1.000     2   3.2159
       16     0.00000     0.5227E+02     2.000     3   3.2257
       17     0.00000     0.7034E+02     2.000     3   3.2422
       18     0.00000     0.6476E+02     2.000     3   3.2870
       19     0.00000     0.6803E+01     1.000     2   3.3659
       20     0.00000     0.6758E+01     1.000     2   3.3742
       21     0.00000     0.2321E+02     1.000     4   3.3768
       22     0.00000     0.5062E+02     1.000     4   3.3793
       23     0.00000     0.6591E+01     1.000     2   3.4061
       24     0.00000     0.4369E+02     1.000     4   3.4350
       25     0.00000     0.2314E+02     1.000     4   3.4408
       26     0.00000     0.7403E+01     2.000     3   3.5759
       27     0.00000     0.1033E+02     2.000     3   3.5819
       28     0.00000     0.7357E+01     2.000     3   3.6012
       29     0.00000     0.1105E+02     2.000     3   3.6343
       30     0.00000     0.3282E+02     2.000     3   3.6463
       31     0.00000     0.8965E+01     2.000     3   3.6508
       32     0.00000     0.6098E+01     2.000     3   3.6573
       33     0.00000     0.6012E+01     2.000     3   3.6614
       34     0.00000     0.3220E+02     2.000     3   3.6776
       35     0.00000     0.1211E+02     2.000     4   3.7893
       36     0.00000     0.6210E+01     2.000     3   3.7917
       37     0.00000     0.6954E+01     2.000     3   3.7948
       38     0.00000     0.6370E+01     2.000     3   3.7958
       39     0.00000     0.6362E+01     2.000     3   3.8037
       40     0.00000     0.6077E+01     2.000     3   3.8098
       41     0.00000     0.1023E+02     2.000     4   3.8164
       42     0.00000     0.4727E+01     1.000     2   3.8521
       43     0.00000     0.5964E+01     2.000     3   3.8961
       44     0.00000     0.5970E+01     2.000     3   3.9002
       45     0.00000     0.1579E+02     2.000     4   3.9320
       46     0.00000     0.1297E+02     2.000     4   3.9438
       47     0.00000     0.7547E+01     2.000     3   4.0028
       48     0.00000     0.7749E+01     2.000     3   4.0185
       49     0.00000     0.4805E+01     2.000     3   4.0402
       50     0.00000     0.4134E+01     1.000     2   4.0448
       51     0.00000     0.5116E+01     1.000     4   4.0528
       55     0.00000     0.1591E+02     1.000     2   4.1145
       56     0.00000     0.1548E+02     1.000     2   4.1223
       57     0.00000     0.1226E+02     1.000     4   4.1221
       58     0.00000     0.1213E+02     1.000     4   4.1299
       59     0.00000     0.1125E+02     1.000     4   4.1315
       61     0.00000     0.1056E+02     1.000     4   4.1394
       62     0.00000     0.4619E+01     1.000     4   4.1405
       64     0.00000     0.1271E+02     2.000     3   4.1765
       65     0.00000     0.3946E+02     2.000     3   4.1796
       67     0.00000     0.4374E+01     1.000     4   4.1919
       68     0.00000     0.3196E+01     2.000     4   4.1924
       70     0.00000     0.4249E+01     1.000     4   4.2019
       71     0.00000     0.4295E+02     2.000     3   4.2055
       72     0.00000     0.1467E+02     1.000     2   4.2063
       74     0.00000     0.1453E+02     1.000     2   4.2136
       76     0.00000     0.4505E+02     2.000     3   4.2276
       77     0.00000     0.2913E+02     1.000     4   4.2369
       78     0.00000     0.3638E+02     1.000     4   4.2415
       79     0.00000     0.4685E+01     2.000     5   4.2413
       80     0.00000     0.1429E+02     1.000     2   4.2457
       81     0.00000     0.3874E+02     2.000     3   4.2557
       82     0.00000     0.5749E+02     2.000     4   4.2628
       83     0.00000     0.2666E+02     1.000     4   4.2658
       84     0.00000     0.4164E+02     2.000     3   4.2717
       85     0.00000     0.1998E+02     2.000     4   4.2714
       86     0.00000     0.2270E+02     2.000     4   4.2738
       87     0.00000     0.6433E+01     2.000     3   4.2828
       88     0.00000     0.4344E+02     1.000     4   4.2886
       89     0.00000     0.4089E+02     2.000     3   4.2908
       90     0.00000     0.2949E+01     2.000     4   4.2950
       91     0.00000     0.3237E+02     1.000     4   4.2977
       92     0.00000     0.2764E+01     2.000     4   4.2995
       93     0.00000     0.3435E+01     2.000     5   4.3032
       94     0.00000     0.2869E+02     1.000     4   4.3051
       95     0.00000     0.1092E+02     1.000     4   4.3082
       96     0.00000     0.1008E+02     2.000     5   4.3207
       97     0.00000     0.6604E+01     2.000     5   4.3227
       98     0.00000     0.1267E+02     2.000     5   4.3296
       99     0.00000     0.3327E+02     2.000     3   4.3305
      100     0.00000     0.1113E+02     2.000     3   4.3308
      101     0.00000     0.4992E+01     2.000     3   4.3353
      102     0.00000     0.2009E+02     2.000     4   4.3368
      103     0.00000     0.5470E+02     2.000     4   4.3402
      104     0.00000     0.5392E+02     2.000     4   4.3445
      105     0.00000     0.1817E+02     2.000     4   4.3518
      106     0.00000     0.4089E+01     2.000     4   4.3605
      107     0.00000     0.1026E+02     2.000     5   4.3613
      109     0.00000     0.5793E+01     2.000     5   4.3634
      111     0.00000     0.6939E+01     2.000     5   4.3654
      112     0.00000     0.4321E+01     2.000     4   4.3677
      113     0.00000     0.5357E+01     2.000     3   4.3700
      114     0.00000     0.3128E+02     2.000     3   4.3751
      115     0.00000     0.4103E+02     1.000     4   4.3753
      117     0.00000     0.2292E+02     1.000     4   4.3864
      118     0.00000     0.2524E+02     2.000     4   4.3894
      119     0.00000     0.4809E+02     2.000     4   4.4010
      120     0.00000     0.2528E+02     2.000     4   4.4029
      121     0.00000     0.4144E+01     2.000     3   4.4042
      122     0.00000     0.4824E+02     2.000     4   4.4189
      123     0.00000     0.2657E+02     1.000     4   4.4194
      124     0.00000     0.1455E+02     2.000     3   4.4251
      125     0.00000     0.3173E+02     1.000     4   4.4475
      126     0.00000     0.1439E+02     1.000     6   4.4547
      127     0.00000     0.2311E+02     1.000     6   4.4579
      128     0.00000     0.4860E+02     2.000     4   4.4677
      129     0.00000     0.7760E+02     2.000     5   4.4762
      130     0.00000     0.7648E+02     2.000     5   4.4792
      131     0.00000     0.8642E+02     2.000     5   4.4817
      132     0.00000     0.5555E+02     2.000     5   4.4848
      133     0.00000     0.5739E+02     2.000     5   4.4890
      134     0.00000     0.9302E+01     2.000     4   4.5018
      135     0.00000     0.9574E+02     2.000     5   4.5020
      136     0.00000     0.2894E+02     1.000     4   4.5044
      137     0.00000     0.4540E+02     2.000     4   4.5060
      138     0.00000     0.3848E+01     2.000     4   4.5118
      139     0.00000     0.2288E+02     1.000     4   4.5130
      140     0.00000     0.1687E+02     1.000     6   4.5134
      141     0.00000     0.1173E+02     1.000     6   4.5184
      142     0.00000     0.4386E+02     2.000     4   4.5231
      143     0.00000     0.3538E+01     2.000     3   4.5272
      144     0.00000     0.5090E+01     2.000     3   4.5285
      145     0.00000     0.4831E+02     2.000     5   4.5374
      146     0.00000     0.5080E+02     2.000     5   4.5400
      147     0.00000     0.7575E+02     2.000     5   4.5490
