# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.0592
        2     0.00000     0.9803E+02     1.000     2   2.0749
        3     0.00000     0.8047E+02     1.000     2   2.2955
        4     0.00000     0.8039E+02     1.000     2   2.2964
        5     0.00000     0.3636E+02     1.000     2   3.0235
        6     0.00000     0.8815E+01     1.000     2   3.0334
        7     0.00000     0.3558E+02     1.000     2   3.0482
        8     0.00000     0.3468E+02     1.000     2   3.0688
        9     0.00000     0.8491E+01     1.000     2   3.0773
       10     0.00000     0.3324E+02     1.000     2   3.1227
       11     0.00000     0.3170E+02     1.000     2   3.2029
       12     0.00000     0.5788E+02     2.000     3   3.2093
       13     0.00000     0.6381E+02     2.000     3   3.2113
       14     0.00000     0.7515E+01     1.000     2   3.2238
       15     0.00000     0.7495E+01     1.000     2   3.2270
       16     0.00000     0.3084E+02     1.000     2   3.2366
       17     0.00000     0.7409E+01     1.000     2   3.2412
       18     0.00000     0.5701E+02     2.000     3   3.2514
       19     0.00000     0.5957E+02     2.000     3   3.2884
       20     0.00000     0.7069E+01     1.000     2   3.2993
       21     0.00000     0.6730E+01     1.000     2   3.3610
       22     0.00000     0.6674E+01     1.000     2   3.3717
       23     0.00000     0.3927E+02     1.000     4   3.3744
       24     0.00000     0.6551E+01     1.000     2   3.3954
       25     0.00000     0.3098E+02     1.000     4   3.3952
       26     0.00000     0.3137E+02     1.000     4   3.4341
       27     0.00000     0.3641E+02     1.000     4   3.4540
       28     0.00000     0.2515E+02     1.000     2   3.4939
       29     0.00000     0.9327E+01     2.000     3   3.6139
       30     0.00000     0.3217E+02     2.000     3   3.6638
       31     0.00000     0.6637E+01     2.000     3   3.6712
       32     0.00000     0.3205E+02     2.000     3   3.6795
       33     0.00000     0.6444E+01     2.000     3   3.6851
       34     0.00000     0.8502E+01     2.000     3   3.6864
       35     0.00000     0.6589E+01     2.000     3   3.7130
       36     0.00000     0.5774E+01     2.000     3   3.7138
       37     0.00000     0.5715E+01     2.000     3   3.7284
       38     0.00000     0.5918E+01     2.000     3   3.7469
       39     0.00000     0.6701E+01     2.000     3   3.7776
       40     0.00000     0.1180E+02     2.000     3   3.8109
       41     0.00000     0.1974E+02     1.000     2   3.8169
       42     0.00000     0.5599E+01     2.000     3   3.8501
       43     0.00000     0.1269E+02     2.000     4   3.8570
       44     0.00000     0.1095E+02     2.000     4   3.8677
       45     0.00000     0.1376E+02     2.000     4   3.8761
       46     0.00000     0.6048E+01     2.000     3   3.9163
       47     0.00000     0.6089E+01     2.000     3   3.9438
       48     0.00000     0.4820E+01     2.000     3   3.9667
       49     0.00000     0.6878E+01     2.000     3   3.9725
       50     0.00000     0.1754E+02     1.000     2   3.9843
       51     0.00000     0.8190E+01     2.000     3   4.0383
       52     0.00000     0.4643E+01     2.000     3   4.0395
       53     0.00000     0.1346E+02     2.000     3   4.0408
       54     0.00000     0.1628E+02     2.000     3   4.0511
       55     0.00000     0.1176E+02     1.000     4   4.1183
       56     0.00000     0.9965E+01     1.000     4   4.1225
       57     0.00000     0.1033E+02     1.000     4   4.1247
       58     0.00000     0.4580E+01     1.000     4   4.1278
       59     0.00000     0.8905E+01     2.000     3   4.1350
       60     0.00000     0.3814E+01     1.000     2   4.1449
       62     0.00000     0.1129E+02     1.000     4   4.1499
       65     0.00000     0.4148E+01     1.000     4   4.1699
       67     0.00000     0.1498E+02     1.000     2   4.1827
       68     0.00000     0.1490E+02     1.000     2   4.1898
       69     0.00000     0.4393E+02     2.000     3   4.2126
       70     0.00000     0.9202E+01     2.000     4   4.2168
       71     0.00000     0.4147E+02     2.000     3   4.2182
       72     0.00000     0.1428E+02     2.000     3   4.2203
       74     0.00000     0.1452E+02     1.000     2   4.2356
       75     0.00000     0.3439E+02     1.000     4   4.2353
       76     0.00000     0.9696E+01     2.000     3   4.2363
       77     0.00000     0.1429E+02     1.000     2   4.2531
       78     0.00000     0.3146E+02     1.000     4   4.2537
       79     0.00000     0.4096E+02     2.000     3   4.2665
       80     0.00000     0.9531E+01     2.000     3   4.2661
       81     0.00000     0.1283E+02     2.000     3   4.2679
       82     0.00000     0.3942E+02     2.000     3   4.2712
       83     0.00000     0.4160E+02     2.000     3   4.2760
       84     0.00000     0.5615E+01     2.000     5   4.2870
       85     0.00000     0.3677E+02     2.000     3   4.2897
       86     0.00000     0.6962E+01     2.000     5   4.2898
       88     0.00000     0.1461E+02     1.000     4   4.2956
       89     0.00000     0.3116E+02     1.000     4   4.2974
       90     0.00000     0.3209E+02     1.000     4   4.2989
       92     0.00000     0.2130E+02     2.000     4   4.3006
       93     0.00000     0.5611E+02     2.000     4   4.3067
       94     0.00000     0.5573E+02     2.000     4   4.3125
       95     0.00000     0.3603E+01     1.000     4   4.3185
       96     0.00000     0.1878E+02     2.000     4   4.3202
       97     0.00000     0.1872E+02     2.000     4   4.3239
       98     0.00000     0.9379E+01     2.000     5   4.3237
       99     0.00000     0.4218E+01     2.000     5   4.3290
      100     0.00000     0.3668E+02     2.000     3   4.3346
      101     0.00000     0.2021E+02     2.000     4   4.3441
      102     0.00000     0.2525E+02     1.000     4   4.3437
      103     0.00000     0.7679E+01     2.000     5   4.3443
      105     0.00000     0.3142E+01     2.000     4   4.3556
      106     0.00000     0.6965E+01     2.000     5   4.3577
      107     0.00000     0.3852E+02     1.000     4   4.3598
      108     0.00000     0.3306E+01     1.000     2   4.3632
      109     0.00000     0.2602E+02     1.000     4   4.3635
      110     0.00000     0.5245E+02     2.000     4   4.3655
      111     0.00000     0.2720E+01     2.000     4   4.3681
