# PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   1.8770
        2     0.00000     0.3256E+02     1.000     2   2.8725
        3     0.00000     0.3127E+02     1.000     2   2.9067
        4     0.00000     0.5853E+02     2.000     3   3.0374
        5     0.00000     0.5378E+02     2.000     3   3.0825
        6     0.00000     0.6457E+01     1.000     2   3.1008
        7     0.00000     0.6196E+01     1.000     2   3.1503
        8     0.00000     0.3329E+02     1.000     4   3.2023
        9     0.00000     0.2881E+02     1.000     4   3.2583
       10     0.00000     0.5572E+01     2.000     3   3.5419
       11     0.00000     0.5797E+01     2.000     3   3.5502
       12     0.00000     0.5194E+01     2.000     3   3.5649
       13     0.00000     0.5240E+01     2.000     3   3.5872
       14     0.00000     0.1082E+02     2.000     4   3.7151
       15     0.00000     0.8723E+01     2.000     4   3.7177
       16     0.00000     0.1235E+02     1.000     4   3.7539
       17     0.00000     0.1355E+02     1.000     2   3.9861
       20     0.00000     0.4146E+02     2.000     3   4.0098
       21     0.00000     0.3383E+02     1.000     4   4.0335
       22     0.00000     0.1294E+02     1.000     2   4.0449
       23     0.00000     0.3857E+02     2.000     3   4.0726
       24     0.00000     0.3220E+02     2.000     3   4.0935
       25     0.00000     0.3081E+02     1.000     4   4.1003
       26     0.00000     0.5525E+01     2.000     5   4.1151
       27     0.00000     0.5115E+02     2.000     4   4.1172
       28     0.00000     0.1960E+02     2.000     4   4.1476
       29     0.00000     0.7860E+01     2.000     5   4.1521
       30     0.00000     0.3074E+02     2.000     3   4.1558
       31     0.00000     0.1769E+02     2.000     4   4.1586
       32     0.00000     0.3450E+01     2.000     5   4.1587
       33     0.00000     0.6246E+01     2.000     5   4.1817
       34     0.00000     0.4692E+02     2.000     4   4.1835
       35     0.00000     0.2315E+02     1.000     4   4.1979
       36     0.00000     0.3017E+02     1.000     4   4.2009
       37     0.00000     0.2150E+02     2.000     4   4.2430
       38     0.00000     0.4430E+02     2.000     4   4.2584
       39     0.00000     0.2819E+02     1.000     4   4.2668
       40     0.00000     0.1568E+02     1.000     6   4.2800
       41     0.00000     0.7917E+02     2.000     5   4.2821
       42     0.00000     0.1984E+02     1.000     4   4.2881
       43     0.00000     0.5158E+02     2.000     5   4.3234
       44     0.00000     0.4022E+02     2.000     4   4.3316
       45     0.00000     0.1170E+02     1.000     6   4.3345
       46     0.00000     0.6955E+02     2.000     5   4.3593
       47     0.00000     0.7411E+02     2.000     5   4.3628
       48     0.00000     0.7584E+02     2.000     5   4.3657
       49     0.00000     0.4156E+02     2.000     5   4.4079
       50     0.00000     0.3981E+02     2.000     5   4.4188
       51     0.00000     0.6671E+02     2.000     5   4.4426
       52     0.00000     0.5975E+02     2.000     5   4.4639
       53     0.00000     0.6014E+02     1.000     6   4.5277
       54     0.00000     0.5667E+02     1.000     6   4.5306
       55     0.00000     0.5795E+01     2.000     3   4.5329
       56     0.00000     0.1229E+02     2.000     4   4.5566
       57     0.00000     0.6269E+01     2.000     3   4.5658
       58     0.00000     0.1001E+03     2.000     6   4.5837
       59     0.00000     0.1272E+02     2.000     4   4.5935
       60     0.00000     0.4724E+02     1.000     6   4.6184
       61     0.00000     0.4593E+02     1.000     6   4.6397
       62     0.00000     0.7956E+01     2.000     4   4.6403
       63     0.00000     0.8461E+01     2.000     4   4.6768
       64     0.00000     0.1545E+02     2.000     4   4.7087
       65     0.00000     0.1743E+02     2.000     4   4.7268
       66     0.00000     0.1677E+02     2.000     4   4.7307
       67     0.00000     0.1675E+02     2.000     4   4.7308
       68     0.00000     0.3197E+02     2.000     5   4.7324
       69     0.00000     0.7255E+01     2.000     4   4.7439
       70     0.00000     0.5673E+01     2.000     4   4.7477
       71     0.00000     0.7186E+01     2.000     4   4.7495
       72     0.00000     0.4169E+01     2.000     4   4.7539
       73     0.00000     0.3551E+02     2.000     5   4.7545
       74     0.00000     0.3328E+02     2.000     5   4.7584
       75     0.00000     0.5291E+01     2.000     4   4.7704
       76     0.00000     0.7013E+01     2.000     4   4.7712
       77     0.00000     0.1154E+02     2.000     5   4.7828
       78     0.00000     0.6930E+01     2.000     4   4.7837
       79     0.00000     0.6972E+01     2.000     4   4.7888
       80     0.00000     0.7560E+01     2.000     4   4.7910
       81     0.00000     0.5573E+01     2.000     6   4.7928
       82     0.00000     0.4445E+01     2.000     6   4.7939
       83     0.00000     0.1044E+02     2.000     5   4.7949
       84     0.00000     0.1705E+02     2.000     5   4.8052
       85     0.00000     0.9097E+01     2.000     4   4.8105
       86     0.00000     0.9847E+01     2.000     4   4.8140
