# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.151482686643761216e-01 1.151482686643761216e-01 0.000000000000000000e+00
3.067961575771282340e-02 1.144228277435008351e-01 1.092392432099787980e-01 -3.404954113831733242e-02
6.135923151542564680e-02 1.123787739516919904e-01 9.299194618527278910e-02 -6.309902360227785667e-02
9.203884727313846326e-02 1.094290893618276167e-01 7.022524779018572694e-02 -8.392341849189574599e-02
1.227184630308512936e-01 1.063040396569794044e-01 4.550962814930060302e-02 -9.606988390283938140e-02
1.533980787885641239e-01 1.040626717014907221e-01 2.231395947166761248e-02 -1.016421509726600225e-01
1.840776945462769265e-01 1.039865312837051914e-01 1.706571526821875229e-03 -1.039725266695045724e-01
2.147573103039897569e-01 1.072634585754665137e-01 -1.781190969845551295e-02 -1.057742190633657459e-01
2.454369260617025872e-01 1.145395077550400292e-01 -3.926420945792690603e-02 -1.075993526579547693e-01
2.761165418194154175e-01 1.256560693976544463e-01 -6.539533282309752116e-02 -1.072981743620293471e-01
3.067961575771282479e-01 1.397822805811314295e-01 -9.690587990463266077e-02 -1.007389517732394379e-01
3.374757733348410782e-01 1.557697579259199605e-01 -1.315007142652782068e-01 -8.349718337777251032e-02
3.681553890925538530e-01 1.724625093477908377e-01 -1.641814815524816062e-01 -5.279922580653047259e-02
3.988350048502666834e-01 1.888814589178033632e-01 -1.886718563754855582e-01 -8.895849298745258510e-03
4.295146206079795137e-01 2.043267101210509973e-01 -1.993759090249198895e-01 4.470627885855493755e-02
4.601942363656923440e-01 2.184440210846942676e-01 -1.930488678301315875e-01 1.022248745519149099e-01
4.908738521234051744e-01 2.312703783544834968e-01 -1.695038142464176945e-01 1.573354532841911013e-01
5.215534678811180047e-01 2.432479351402628831e-01 -1.311226954768008879e-01 2.048814210242101697e-01
5.522330836388308350e-01 2.551804639534906438e-01 -8.148529976580171086e-02 2.418206258895137795e-01
5.829126993965436654e-01 2.681046754140860022e-01 -2.382812678295392894e-02 2.670436993319780239e-01
6.135923151542564957e-01 2.830699193191790197e-01 3.988758692901674119e-02 2.802455345448819912e-01
6.442719309119693261e-01 3.008671126068775403e-01 1.088195190131968915e-01 2.804983631505467701e-01
6.749515466696821564e-01 3.217956343441197298e-01 1.820572873152791760e-01 2.653442564261309089e-01
7.056311624273949867e-01 3.455581324176428826e-01 2.569935575658363058e-01 2.310080826499895656e-01
7.363107781851077061e-01 3.713137252842605429e-01 3.281193713478455787e-01 1.738147310522612787e-01
7.669903939428205364e-01 3.978485830610802299e-01 3.869930507030407973e-01 9.230316219536012501e-02
7.976700097005333667e-01 4.237941321632722746e-01 4.236548031424474114e-01 -1.086619668307066931e-02
8.283496254582461971e-01 4.478393224480641255e-01 4.291206231195599519e-01 -1.281231811352722405e-01
8.590292412159590274e-01 4.689121740803505745e-01 3.980701170652412579e-01 -2.478281842334041085e-01
8.897088569736718577e-01 4.863239755613184001e-01 3.306826930603272707e-01 -3.565949603066975171e-01
9.203884727313846881e-01 4.998737183924040206e-01 2.328636752224712003e-01 -4.423214250986852725e-01
9.510680884890975184e-01 5.099058487751166879e-01 1.147286844801556488e-01 -4.968312626762985129e-01
9.817477042468103487e-01 5.173064816566274038e-01 -1.208192095624087761e-02 -5.171653731157622724e-01
1.012427320004523068e+00 5.234168295658192527e-01 -1.372129672865995409e-01 -5.051116501142499660e-01
1.043106935762236009e+00 5.298453692772034929e-01 -2.534530550744266142e-01 -4.652930949605160738e-01
1.073786551519948729e+00 5.381826429120156741e-01 -3.570019886838021739e-01 -4.027283665295661730e-01
1.104466167277661670e+00 5.496686108479428290e-01 -4.462228160847815372e-01 -3.209685033720200975e-01
1.135145783035374389e+00 5.649128308137452148e-01 -5.196314911947970128e-01 -2.216069037206890302e-01
1.165825398793087331e+00 5.837791414415931524e-01 -5.742058932017624073e-01 -1.052885473099985786e-01
1.196505014550800050e+00 6.054916132055445654e-01 -6.049163793648576481e-01 2.638688383201789889e-02
1.227184630308512991e+00 6.289285985927179912e-01 -6.057633888131787048e-01 1.691209593792973587e-01
1.257864246066225711e+00 6.530109052167596406e-01 -5.718345474764717773e-01 3.153228387611505812e-01
1.288543861823938652e+00 6.770857553734909162e-01 -5.013349342012771714e-01 4.550916433852548182e-01
1.319223477581651371e+00 7.012335732367143137e-01 -3.964913055328830871e-01 5.783797790994774646e-01
1.349903093339364313e+00 7.264424844463546194e-01 -2.627523936979643815e-01 6.772590810130065808e-01
1.380582709097077032e+00 7.545951296386582685e-01 -1.065961243003290676e-01 7.470281627613060138e-01
1.411262324854789973e+00 7.882149947721562855e-01 6.689888792821685470e-02 7.853708784883981497e-01
1.441941940612502693e+00 8.299627400601491400e-01 2.551950522749322214e-01 7.897554274473492786e-01
1.472621556370215412e+00 8.819752198700125945e-01 4.570084444894186859e-01 7.543365098748163744e-01
1.503301172127928353e+00 9.452509063385907684e-01 6.685187032167844157e-01 6.682679248499634461e-01
1.533980787885641073e+00 1.019299511045865581e+00 8.783657120460948153e-01 5.171510119105416914e-01
1.564660403643354014e+00 1.102148176389790679e+00 1.063784665760927339e+00 2.882581960868640936e-01
1.595340019401066733e+00 1.190629480158335252e+00 1.190435435268459186e+00 -2.149496404513994222e-02
1.626019635158779675e+00 1.280796306161854581e+00 1.217564027220904288e+00 -3.974632278531742280e-01
1.656699250916492394e+00 1.368335510249457876e+00 1.108276686399681354e+00 -8.025365131834110155e-01
1.687378866674205335e+00 1.448919265094014142e+00 8.425245438002675336e-01 -1.178778787497776870e+00
1.718058482431918055e+00 1.518483002154564332e+00 4.287315334380749077e-01 -1.456701719662668593e+00
1.748738098189630996e+00 1.573439621343938111e+00 -9.039625701438729066e-02 -1.570840780834500849e+00
1.779417713947343715e+00 1.610842038373253349e+00 -6.411177972834282146e-01 -1.477761835546223201e+00
1.810097329705056657e+00 1.628502092215508457e+00 -1.131597576800076999e+00 -1.171113140789771023e+00
1.840776945462769376e+00 1.625069565002528860e+00 -1.471992681489550092e+00 -6.885409477574390147e-01
1.871456561220482318e+00 1.600072504786433036e+00 -1.596469313203267903e+00 -1.073207928307282344e-01
1.902136176978195037e+00 1.553919213899908947e+00 -1.480776712434015430e+00 4.711318830650497724e-01
1.932815792735907978e+00 1.487862667238398551e+00 -1.149894880651450624e+00 9.441806395035579058e-01
1.963495408493620697e+00 1.403929245528837244e+00 -6.730304637960780045e-01 1.232090630292108857e+00
1.994175024251333417e+00 1.304815120902718784e+00 -1.470136598106947246e-01 1.296506646170948907e+00
2.024854640009046136e+00 1.193755145564399323e+00 3.272962429209014257e-01 1.148010678056324840e+00
2.055534255766759077e+00 1.074370484332080711e+00 6.688607162178009657e-01 8.407718358178750684e-01
2.086213871524472019e+00 9.505023710747457777e-01 8.338563944728886179e-01 4.562217342645877860e-01
2.116893487282184960e+00 8.260401642330071903e-01 8.220662118487060965e-01 8.092895812261251265e-02
2.147573103039897457e+00 7.047522364484352098e-01 6.712641314590426234e-01 -2.146629464896266659e-01
2.178252718797610399e+00 5.901279975434738923e-01 4.422933678208824659e-01 -3.906758634294315025e-01
2.208932334555323340e+00 4.852381102692516768e-01 2.001525019826743412e-01 -4.420350660386005437e-01
2.239611950313036282e+00 3.926166582022067031e-01 -2.893757123821249968e-03 -3.926059939272154575e-01
2.270291566070748779e+00 3.141614181185722887e-01 -1.374893533021854242e-01 -2.824784493776812400e-01
2.300971181828461720e+00 2.510341318025813284e-01 -1.987087442906476098e-01 -1.534045966466122402e-01
2.331650797586174662e+00 2.035300683890207685e-01 -2.000884949255130607e-01 -3.727040296109501022e-02
2.362330413343887603e+00 1.709239114222511902e-01 -1.636556814018073347e-01 4.931329882285010596e-02
2.393010029101600100e+00 1.514542538666687199e-01 -1.102295964237310771e-01 1.038644649847613177e-01
2.423689644859313042e+00 1.427050586448972147e-01 -5.339880183485468806e-02 1.323378317996991849e-01
2.454369260617025983e+00 1.422482631470384506e-01 1.453847505087438969e-03 1.422408334332341262e-01
2.485048876374738480e+00 1.479559723178398012e-01 5.398144323129814431e-02 1.377569364176755851e-01
