# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.083229775822752872e-02 9.083229775822752872e-02 0.000000000000000000e+00
3.067961575771282340e-02 9.104415441199514847e-02 8.477627790464437041e-02 -3.319669798684387468e-02
6.135923151542564680e-02 9.167089363083011366e-02 6.780973484813049290e-02 -6.168786427573260539e-02
9.203884727313846326e-02 9.271347939045929132e-02 4.308691764234823945e-02 -8.209328102084005596e-02
1.227184630308512936e-01 9.425012703638717404e-02 1.456679644689465140e-02 -9.311764004553518825e-02
1.533980787885641239e-01 9.650479435431413844e-02 -1.431647941224576531e-02 -9.543696218241234930e-02
1.840776945462769265e-01 9.986717302270645136e-02 -4.157093474581306097e-02 -9.080368732549654043e-02
2.147573103039897569e-01 1.048236386519433710e-01 -6.675318456353901420e-02 -8.082083624201924499e-02
2.454369260617025872e-01 1.117981611906967154e-01 -9.024575747870393350e-02 -6.598887862902322321e-02
2.761165418194154175e-01 1.209661551210741565e-01 -1.120812023366786342e-01 -4.550400825795765380e-02
3.067961575771282479e-01 1.321387483827069775e-01 -1.309157941289258720e-01 -1.793609968028291035e-02
3.374757733348410782e-01 1.447702742115025976e-01 -1.437080150125446543e-01 1.750539106755097038e-02
3.681553890925538530e-01 1.580613020128403268e-01 -1.463497666125102847e-01 5.970863427058174799e-02
3.988350048502666834e-01 1.710952114824330905e-01 -1.350640795270609262e-01 1.050298329700959932e-01
4.295146206079795137e-01 1.829661309271191361e-01 -1.080145494974952686e-01 1.476802700542386160e-01
4.601942363656923440e-01 1.928857099210372905e-01 -6.643629809480722237e-02 1.810831725677470583e-01
4.908738521234051744e-01 2.002707353407867652e-01 -1.476306635703042262e-02 1.997258603828692136e-01
5.215534678811180047e-01 2.048152437162704398e-01 4.037459539788409296e-02 2.007963548100722417e-01
5.522330836388308350e-01 2.065471652463160834e-01 9.193907216503859059e-02 1.849565853943049565e-01
5.829126993965436654e-01 2.058639007271058641e-01 1.343921616381090478e-01 1.559445174182666483e-01
6.135923151542564957e-01 2.035332678995611377e-01 1.649970543261454203e-01 1.191711508947091575e-01
6.442719309119693261e-01 2.006359343576200605e-01 1.840479282496224889e-01 7.988202715615727589e-02
6.749515466696821564e-01 1.984192901907087525e-01 1.940066771244135235e-01 4.161278590683693823e-02
7.056311624273949867e-01 1.980502414321944626e-01 1.979733832805396498e-01 5.517032155703443033e-03
7.363107781851077061e-01 2.003168081632107633e-01 1.981700128250125092e-01 -2.924841277113952517e-02
7.669903939428205364e-01 2.054096285505779551e-01 1.950680010937842213e-01 -6.435518977177989708e-02
7.976700097005333667e-01 2.129186024360845420e-01 1.874669985704550679e-01 -1.009477870501400698e-01
8.283496254582461971e-01 2.220594804409831979e-01 1.733839139968899601e-01 -1.387387156522593146e-01
8.590292412159590274e-01 2.320131206025737025e-01 1.512440836058610849e-01 -1.759412268513770028e-01
8.897088569736718577e-01 2.422406353907732290e-01 1.207482833576996595e-01 -2.100008988092531836e-01
9.203884727313846881e-01 2.526989060114351870e-01 8.297438219338398868e-02 -2.386880579312722905e-01
9.510680884890975184e-01 2.639284674264334996e-01 3.967410631491016110e-02 -2.609294947034144219e-01
9.817477042468103487e-01 2.769929738981619094e-01 -7.845911466914675877e-03 -2.768818326691029896e-01
1.012427320004523068e+00 2.932534636762291758e-01 -5.962063101132893811e-02 -2.871288461926394531e-01
1.043106935762236009e+00 3.140068998601709960e-01 -1.171212385331837913e-01 -2.913467841666499969e-01
1.073786551519948729e+00 3.401043926616378887e-01 -1.823219681845970053e-01 -2.871057258659888700e-01
1.104466167277661670e+00 3.717108094405606189e-01 -2.560081597606965187e-01 -2.694972133267771741e-01
1.135145783035374389e+00 4.082993806381803870e-01 -3.360037261624653770e-01 -2.319695674748321335e-01
1.165825398793087331e+00 4.488434884837908534e-01 -4.161209525503178908e-01 -1.682374215295603104e-01
1.196505014550800050e+00 4.920939571207370022e-01 -4.864005023278805129e-01 -7.463922541084744289e-02
1.227184630308512991e+00 5.368471032342650995e-01 -5.347036988622422271e-01 4.792459362434042802e-02
1.257864246066225711e+00 5.821583717771597888e-01 -5.491628816193599993e-01 1.932058469139964207e-01
1.288543861823938652e+00 6.274884200860944006e-01 -5.206441644649921763e-01 3.502447306537147531e-01
1.319223477581651371e+00 6.727764932216048210e-01 -4.444021893090754904e-01 5.051088040896344333e-01
1.349903093339364313e+00 7.184332517856445444e-01 -3.205103834667479279e-01 6.429770068682810757e-01
1.380582709097077032e+00 7.652447491023562920e-01 -1.532519822310379476e-01 7.497421930043592919e-01
1.411262324854789973e+00 8.141884952479425674e-01 4.983436093917422566e-02 8.126619483302347513e-01
1.441941940612502693e+00 8.661827416515193168e-01 2.784158165345180236e-01 8.202177607430604089e-01
1.472621556370215412e+00 9.218144710691044130e-01 5.188312621915213141e-01 7.619422815707010965e-01
1.503301172127928353e+00 9.811064246281109291e-01 7.527669075271220533e-01 6.292152250054096063e-01
1.533980787885641073e+00 1.043376841123357046e+00 9.561121395136072953e-01 4.177137886965994751e-01
1.564660403643354014e+00 1.107217990384092854e+00 1.099395707986422277e+00 1.313801944404962008e-01
1.595340019401066733e+00 1.170585453190644998e+00 1.150995537082805997e+00 -2.132594120713320607e-01
1.626019635158779675e+00 1.230966181109946378e+00 1.083418003216242154e+00 -5.843656127317350402e-01
1.656699250916492394e+00 1.285586599621493242e+00 8.816095789061073607e-01 -9.356802100650358778e-01
1.687378866674205335e+00 1.331628191244482506e+00 5.509939360659052987e-01 -1.212286815129016038e+00
1.718058482431918055e+00 1.366428837243929273e+00 1.222833119952608377e-01 -1.360946199840120885e+00
1.748738098189630996e+00 1.387657753138672678e+00 -3.495091081327137972e-01 -1.342921227465760481e+00
1.779417713947343715e+00 1.393458085347621500e+00 -7.929855319807529446e-01 -1.145818214940686586e+00
1.810097329705056657e+00 1.382554584673218123e+00 -1.134203451164219389e+00 -7.905945300646275431e-01
1.840776945462769376e+00 1.354325418886314303e+00 -1.313301480675504118e+00 -3.308119724210700774e-01
1.871456561220482318e+00 1.308838123714120449e+00 -1.299422493438986415e+00 1.567112556018455394e-01
1.902136176978195037e+00 1.246850490731654881e+00 -1.099449801570678398e+00 5.880869664122512219e-01
1.932815792735907978e+00 1.169778083794667189e+00 -7.575660958749140805e-01 8.913329208029757700e-01
1.963495408493620697e+00 1.079631095239151239e+00 -3.452373765942041151e-01 1.022944013917497230e+00
1.994175024251333417e+00 9.789243410284672597e-01 5.589360852139522995e-02 9.773273607059590473e-01
2.024854640009046136e+00 8.705652681866206111e-01 3.735048512667393239e-01 7.863701496452250028e-01
2.055534255766759077e+00 7.577258421615509221e-01 5.610034457260975049e-01 5.093364170790040113e-01
2.086213871524472019e+00 6.437050818602536584e-01 6.063146254194095031e-01 2.161915988544349521e-01
2.116893487282184960e+00 5.317899164857405880e-01 5.309069510239539103e-01 -3.063208498225235277e-02
2.147573103039897457e+00 4.251233352648121078e-01 3.799390977732218233e-01 -1.907252793154280424e-01
2.178252718797610399e+00 3.265916867508418253e-01 2.070744280461851994e-01 -2.525516008741683915e-01
2.208932334555323340e+00 2.387513144797951958e-01 5.892335272940806695e-02 -2.313660058629093685e-01
2.239611950313036282e+00 1.638419622250706087e-01 -3.619205538625121926e-02 -1.597946297992519638e-01
