# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 3.851842401557565437e-02 3.851842401557565437e-02 0.000000000000000000e+00
3.067961575771282340e-02 3.905658853736940911e-02 3.676383516658407458e-02 -1.318474618722755010e-02
6.135923151542564680e-02 4.064894067370383723e-02 3.146941584181845580e-02 -2.572959860683799588e-02
9.203884727313846326e-02 4.323189367372596431e-02 2.260336780932251446e-02 -3.685219660064823627e-02
1.227184630308512936e-01 4.670766520525947846e-02 1.028864137967748331e-02 -4.556039779772554782e-02
1.533980787885641239e-01 5.095343911094886435e-02 -5.009975657654946839e-03 -5.070653903731626305e-02
1.840776945462769265e-01 5.583073783724315509e-02 -2.234777261525891859e-02 -5.116295873566791691e-02
2.147573103039897569e-01 6.119452614857937706e-02 -4.027653787377795391e-02 -4.607136342079855285e-02
2.454369260617025872e-01 6.690190741967040611e-02 -5.696149198392728985e-02 -3.508922409166575357e-02
2.761165418194154175e-01 7.281983139000743066e-02 -7.041590587688371927e-02 -1.855607833587056069e-02
3.067961575771282479e-01 7.883063795255279560e-02 -7.879196525125749251e-02 2.468945493745894164e-03
3.374757733348410782e-01 8.483396509377932881e-02 -8.065347603544922861e-02 2.630244165342424112e-02
3.681553890925538530e-01 9.074376525914196190e-02 -7.517279435416325539e-02 5.082796398040100028e-02
3.988350048502666834e-01 9.647998606199684191e-02 -6.223106041190051840e-02 7.372708342619753441e-02
4.295146206079795137e-01 1.019558165511812442e-01 -4.243762049066965303e-02 9.270402847615639985e-02
4.601942363656923440e-01 1.070629923647694881e-01 -1.710134454759631648e-02 1.056883548398927786e-01
4.908738521234051744e-01 1.116589819806155515e-01 1.182590981901942770e-02 1.110309691658135922e-01
5.215534678811180047e-01 1.155603936603628035e-01 4.184702604398345127e-02 1.077173662610267924e-01
5.522330836388308350e-01 1.185463723802667596e-01 7.010330155497457305e-02 9.559691164265284036e-02
5.829126993965436654e-01 1.203743121448155456e-01 9.369110303201076684e-02 7.557745852423611299e-02
6.135923151542564957e-01 1.208085316995309855e-01 1.101169725187400167e-01 4.968856704216410847e-02
6.442719309119693261e-01 1.196614141051752095e-01 1.178205946796565817e-01 2.090840727990312189e-02
6.749515466696821564e-01 1.168464660441431158e-01 1.166182475164457694e-01 -7.299381699711548870e-03
7.056311624273949867e-01 1.124439624471789551e-01 1.078862915924581750e-01 -3.168900088752689415e-02
7.363107781851077061e-01 1.067814499174174619e-01 9.434741579694103097e-02 -5.000843107821974221e-02
7.669903939428205364e-01 1.005291247365544260e-01 7.944172960400529282e-02 -6.160451702449934452e-02
7.976700097005333667e-01 9.478971574760296226e-02 6.642099261477230066e-02 -6.762648853503878954e-02
8.283496254582461971e-01 9.109553916166311660e-02 5.743157100415853533e-02 -7.071076231485837194e-02
8.590292412159590274e-01 9.112645685467916923e-02 5.288708811217244371e-02 -7.420907660052786237e-02
8.897088569736718577e-01 9.606844904490881298e-02 5.134700019079769390e-02 -8.119502739269482405e-02
9.203884727313846881e-01 1.060646211844441522e-01 4.993783443759510637e-02 -9.357305466149418161e-02
9.510680884890975184e-01 1.203627768790680175e-01 4.515232552272801375e-02 -1.115726918108992938e-01
9.817477042468103487e-01 1.379378186265488859e-01 3.372751691348922082e-02 -1.337508744281733497e-01
1.012427320004523068e+00 1.579757815905181995e-01 1.329967638247893380e-02 -1.574149490272649943e-01
1.043106935762236009e+00 1.800517405656092418e-01 -1.733376701908577802e-02 -1.792154284698544153e-01
1.073786551519948729e+00 2.041246035393954883e-01 -5.830795944537080916e-02 -1.956196197609850751e-01
1.104466167277661670e+00 2.304514873987151269e-01 -1.089213060261161187e-01 -2.030862800335003215e-01
1.135145783035374389e+00 2.594634472666952352e-01 -1.677211582620582730e-01 -1.979669001089595093e-01
1.165825398793087331e+00 2.916256956651629983e-01 -2.322557685512940950e-01 -1.763598717022610285e-01
1.196505014550800050e+00 3.273082764765246622e-01 -2.985155742955625802e-01 -1.342354638425462821e-01
1.227184630308512991e+00 3.666931977454276348e-01 -3.603186145824499587e-01 -6.807640750033137900e-02
1.257864246066225711e+00 4.097330465403722366e-01 -4.090332245068523664e-01 2.393722366486385200e-02
1.288543861823938652e+00 4.561593288607384555e-01 -4.340027658165234170e-01 1.404383586143303775e-01
1.319223477581651371e+00 5.055255240216116608e-01 -4.238443808774603472e-01 2.755213172078112005e-01
1.349903093339364313e+00 5.572649078685367741e-01 -3.685127032693740201e-01 4.180222064326571951e-01
1.380582709097077032e+00 6.107453188229449159e-01 -2.617612848919691482e-01 5.518069174954641776e-01
1.411262324854789973e+00 6.653085784604212405e-01 -1.034903843829062392e-01 6.572101984246020434e-01
1.441941940612502693e+00 7.202885000234731105e-01 9.853077037838044172e-02 7.135174914146867886e-01
1.472621556370215412e+00 7.750071587680521512e-01 3.279736091207254289e-01 7.021890114933829752e-01
1.503301172127928353e+00 8.287539815192170867e-01 5.605574079047775937e-01 6.104167054783408153e-01
1.533980787885641073e+00 8.807559051564760599e-01 7.660954028807621663e-01 4.345443569452558941e-01
1.564660403643354014e+00 9.301488682476414249e-01 9.120066844218712721e-01 1.828133602125220636e-01
1.595340019401066733e+00 9.759608209750291197e-01 9.681538217779700473e-01 -1.231978143270542336e-01
1.626019635158779675e+00 1.017114241039330569e+00 9.125776036215187403e-01 -4.491363898565995938e-01
1.656699250916492394e+00 1.052452341525834223e+00 7.372844778938054677e-01 -7.510442928616595237e-01
1.687378866674205335e+00 1.080788675314370506e+00 4.528076930304680836e-01 -9.813609701940552155e-01
1.718058482431918055e+00 1.100975692569087006e+00 9.002301412462938857e-02 -1.097289083403228727e+00
1.748738098189630996e+00 1.111984769084603641e+00 -3.021089064383651324e-01 -1.070159023382391883e+00
1.779417713947343715e+00 1.112988660389295337e+00 -6.634444388616291821e-01 -8.936359631856455321e-01
1.810097329705056657e+00 1.103437224159850683e+00 -9.335317996488677883e-01 -5.882959176349454866e-01
1.840776945462769376e+00 1.083118311280193868e+00 -1.064389671998713816e+00 -2.005490024231728063e-01
1.871456561220482318e+00 1.052197575327275647e+00 -1.032066057528056913e+00 2.048399141356273823e-01
1.902136176978195037e+00 1.011233226927137352e+00 -8.436290155743588759e-01 5.575685817211274431e-01
1.932815792735907978e+00 9.611641650223804456e-01 -5.371046968912153163e-01 7.970916488714239190e-01
1.963495408493620697e+00 9.032722285859385858e-01 -1.737073265565891034e-01 8.864121409565476339e-01
