# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 3.258933076718661254e-02 3.258933076718661254e-02 0.000000000000000000e+00
3.067961575771282340e-02 3.277734107561421778e-02 2.866790597363236270e-02 -1.589041393652540490e-02
6.135923151542564680e-02 3.317537083288616545e-02 1.818357122648313687e-02 -2.774820656098207772e-02
9.203884727313846326e-02 3.338106311943098148e-02 4.443028886454902446e-03 -3.308405763048968135e-02
1.227184630308512936e-01 3.297110396083552386e-02 -8.588325742311445771e-03 -3.183291311426233311e-02
1.533980787885641239e-01 3.172712884667968497e-02 -1.789592099305472792e-02 -2.619821972318266134e-02
1.840776945462769265e-01 2.985013800347846580e-02 -2.256903191371579728e-02 -1.953636448534852577e-02
2.147573103039897569e-01 2.818372441973215209e-02 -2.399902852393150793e-02 -1.477731207205587073e-02
2.454369260617025872e-01 2.825388070764291160e-02 -2.504305094068355261e-02 -1.308156621448841594e-02
2.761165418194154175e-01 3.149117155523495359e-02 -2.852980447828981636e-02 -1.333207194519266982e-02
3.067961575771282479e-01 3.796458958389378052e-02 -3.577962156692551104e-02 -1.269364970373354322e-02
3.374757733348410782e-01 4.650685369657756724e-02 -4.581386720807145013e-02 -7.998563133217496263e-03
3.681553890925538530e-01 5.569639100760560846e-02 -5.563286699024488219e-02 2.659338586530896574e-03
3.988350048502666834e-01 6.429576164499072044e-02 -6.147023113389340349e-02 1.885087928599573151e-02
4.295146206079795137e-01 7.131525852081603556e-02 -6.048682098069914359e-02 3.777844075050845740e-02
4.601942363656923440e-01 7.604908480699282269e-02 -5.214488460247303225e-02 5.535679099962313721e-02
4.908738521234051744e-01 7.818033592866137360e-02 -3.860647006391045022e-02 6.798312581165069646e-02
5.215534678811180047e-01 7.798813743672873555e-02 -2.389699996599756876e-02 7.423666865825272188e-02
5.522330836388308350e-01 7.668855952539561927e-02 -1.210523852954214705e-02 7.572713095201108469e-02
5.829126993965436654e-01 7.681137041392280262e-02 -5.333486101535658483e-03 7.662597830285484968e-02
6.135923151542564957e-01 8.197707140785023827e-02 -2.275692240215968377e-03 8.194547859055797967e-02
6.442719309119693261e-01 9.518332871781905180e-02 1.893603541152815047e-03 9.516449091669293425e-02
6.749515466696821564e-01 1.169721657966216466e-01 1.412327623893210211e-02 1.161164098628232610e-01
7.056311624273949867e-01 1.458900618537126992e-01 4.097665844909801486e-02 1.400172261188818157e-01
7.363107781851077061e-01 1.799337326018569660e-01 8.586363661091990507e-02 1.581252163191705085e-01
7.669903939428205364e-01 2.172361291102436476e-01 1.470126525642845572e-01 1.599337856014650949e-01
7.976700097005333667e-01 2.561779089259096365e-01 2.169509405911484168e-01 1.362329269973586165e-01
8.283496254582461971e-01 2.953685672503155168e-01 2.837434763683384653e-01 8.205016842099906171e-02
8.590292412159590274e-01 3.336386754055949977e-01 3.336353893533595127e-01 -1.480775956103602253e-03
8.897088569736718577e-01 3.700545765569294154e-01 3.542781215369324999e-01 -1.068990282041462764e-01
9.203884727313846881e-01 4.039418789246161379e-01 3.375630798754701289e-01 -2.218562792758776714e-01
9.510680884890975184e-01 4.349045078773707274e-01 2.812781373310390687e-01 -3.316994730650609791e-01
9.817477042468103487e-01 4.628300258392252231e-01 1.892458893916658391e-01 -4.223714315228899174e-01
1.012427320004523068e+00 4.878759442255971024e-01 7.011210425042131711e-02 -4.828117954147309598e-01
1.043106935762236009e+00 5.104360033387244089e-01 -6.466592338839367848e-02 -5.063232483865782729e-01
1.073786551519948729e+00 5.310902080124352276e-01 -2.029507923107398970e-01 -4.907828287003679346e-01
1.104466167277661670e+00 5.505474021287343200e-01 -3.336223882516332617e-01 -4.379481065696879116e-01
1.135145783035374389e+00 5.695929881471765155e-01 -4.475713491890604967e-01 -3.523010921520307037e-01
1.165825398793087331e+00 5.890549343918516367e-01 -5.380105316395243920e-01 -2.398549219347918537e-01
1.196505014550800050e+00 6.097965284841575517e-01 -6.003022141728623362e-01 -1.071870225843082614e-01
1.227184630308512991e+00 6.327341095419041217e-01 -6.315174480592985473e-01 3.921946167985198434e-02
1.257864246066225711e+00 6.588646599837826301e-01 -6.298591796419946709e-01 1.933392200156476837e-01
1.288543861823938652e+00 6.892767901350538295e-01 -5.940020073668086376e-01 3.496628499899365194e-01
1.319223477581651371e+00 7.251157234727825251e-01 -5.224239290525088952e-01 5.028578832839313284e-01
1.349903093339364313e+00 7.674833076181761804e-01 -4.129454393747561958e-01 6.469209314685415713e-01
1.380582709097077032e+00 8.172773418869595519e-01 -2.628626440428092903e-01 7.738510734816081982e-01
1.411262324854789973e+00 8.750017407366925681e-01 -7.011014981029789483e-02 8.721884046384816846e-01
1.441941940612502693e+00 9.405956229062854002e-01 1.643219725500689732e-01 9.261308844692079933e-01
1.472621556370215412e+00 1.013324991402391850e+00 4.329955768370906122e-01 9.161563014246929537e-01
1.503301172127928353e+00 1.091758466742401623e+00 7.185969991900297282e-01 8.219214697638724809e-01
1.533980787885641073e+00 1.173822825951426063e+00 9.919629633606661390e-01 6.275902373725376071e-01
1.564660403643354014e+00 1.256917912211648503e+00 1.213160749024615681e+00 3.287607565761497264e-01
1.595340019401066733e+00 1.338067007851748480e+00 1.336682082521424508e+00 -6.086318893649279860e-02
1.626019635158779675e+00 1.414083256841064618e+00 1.320626562444404906e+00 -5.055461797348553832e-01
1.656699250916492394e+00 1.481739091638412109e+00 1.138222514831962906e+00 -9.486834258165518508e-01
1.687378866674205335e+00 1.537930424472689461e+00 7.886828279663129493e-01 -1.320306550536581192e+00
1.718058482431918055e+00 1.579829936258438261e+00 3.037945176736589481e-01 -1.550345612606998769e+00
1.748738098189630996e+00 1.605024811071962265e+00 -2.528064434111918501e-01 -1.584990077674422571e+00
1.779417713947343715e+00 1.611634593575184571e+00 -7.949864896600347119e-01 -1.401913886252028618e+00
1.810097329705056657e+00 1.598405101408482576e+00 -1.230892724604572663e+00 -1.019706805275022887e+00
1.840776945462769376e+00 1.564774808603775380e+00 -1.483438623592407302e+00 -4.979257491586926987e-01
1.871456561220482318e+00 1.510910921627650838e+00 -1.509126435917862219e+00 7.341126281142477950e-02
1.902136176978195037e+00 1.437713472727744080e+00 -1.309731741483310064e+00 5.929779043218773582e-01
1.932815792735907978e+00 1.346787078584174235e+00 -9.330251324546686709e-01 9.712360872873506690e-01
1.963495408493620697e+00 1.240381459846237044e+00 -4.617188916593223391e-01 1.151243601943206851e+00
1.994175024251333417e+00 1.121303292115360062e+00 6.695213125136778749e-03 1.121283303643621387e+00
2.024854640009046136e+00 9.928033749661379082e-01 3.837311279557724109e-01 9.156467456295273033e-01
2.055534255766759077e+00 8.584443997256789860e-01 6.106341475755339143e-01 6.033678191908170563e-01
2.086213871524472019e+00 7.219557568604060283e-01 6.702459508769122998e-01 2.683104176080110537e-01
2.116893487282184960e+00 5.870829702587571086e-01 5.869296607410973143e-01 -1.341593493518684725e-02
2.147573103039897457e+00 4.574410273344292621e-01 4.151652912088384939e-01 -1.920678902478454297e-01
2.178252718797610399e+00 3.363853734270950691e-01 2.208674714197280120e-01 -2.537177162208855696e-01
2.208932334555323340e+00 2.269330213405925945e-01 6.153145821631782891e-02 -2.184318562493653137e-01
2.239611950313036282e+00 1.318789620406181917e-01 -2.868049984723960652e-02 -1.287225293312064256e-01
2.270291566070748779e+00 5.551592085349393857e-02 -4.479090960610292160e-02 -3.279926652944117893e-02
2.300971181828461720e+00 3.227613184468729191e-02 -6.920983937169463036e-03 3.152536547285501867e-02
2.331650797586174662e+00 6.964259381174139896e-02 5.126815875222735103e-02 4.713456026084909128e-02
2.362330413343887603e+00 9.878202908665449644e-02 9.686239709844765566e-02 1.937950718721432111e-02
2.393010029101600100e+00 1.135818034313303138e-01 1.094853070932920031e-01 -3.022901919349851516e-02
2.423689644859313042e+00 1.148003987642164658e-01 8.675438085526922249e-02 -7.518516448636664018e-02
2.454369260617025983e+00 1.042943064938462866e-01 4.220717548004340736e-02 -9.537220090272201245e-02
2.485048876374738480e+00 8.445021251402755336e-02 -2.634987893836406893e-03 -8.440909448906409873e-02
2.515728492132451422e+00 5.802907654731463000e-02 -2.837838786516973938e-02 -5.061660623854672553e-02
2.546408107890164363e+00 2.847894146968993345e-02 -2.587425844894675198e-02 -1.189843926534622093e-02
2.577087723647877304e+00 1.286261002880639652e-02 6.898336122575626219e-04 1.284409850244658431e-02
2.607767339405589802e+00 3.845772134204221426e-02 3.653712086697463723e-02 1.200146364300020037e-02
2.638446955163302743e+00 6.487268157094230880e-02 6.331927038452576928e-02 -1.411151346157442539e-02
2.669126570921015684e+00 8.619482433979798464e-02 6.722960878160023912e-02 -5.394188952976723683e-02
2.699806186678728626e+00 1.006278296354540247e-01 4.478967347358933648e-02 -9.011018392651969078e-02
2.730485802436441123e+00 1.071380044852595498e-01 4.023380670441969315e-03 -1.070624323143473389e-01
2.761165418194154064e+00 1.052821406976828661e-01 -3.926880616930009810e-02 -9.768464573270781159e-02
2.791845033951867006e+00 9.517185315627829656e-02 -6.840368395947131475e-02 -6.617112401926512899e-02
2.822524649709579947e+00 7.743957509588497712e-02 -7.291564580770003301e-02 -2.608057490695412858e-02
2.853204265467292444e+00 5.320722571926179284e-02 -5.292454869993463984e-02 5.477318107315025907e-03
2.883883881225005386e+00 2.426472287663362232e-02 -1.904718877246242351e-02 1.503267694544149768e-02
2.914563496982718327e+00 1.211360410485768854e-02 1.200064674283176508e-02 -1.650418784123111994e-03
2.945243112740430824e+00 4.490081346868890488e-02 2.421897127041892916e-02 -3.780905289414979858e-02
2.975922728498143766e+00 7.884480279875673292e-02 8.744311770321165633e-03 -7.835840695189164040e-02
3.006602344255856707e+00 1.107443218640143390e-01 -3.268342510588716221e-02 -1.058116182111788206e-01
3.037281960013569648e+00 1.388367227676803040e-01 -8.849059330816258506e-02 -1.069815427297582527e-01
3.067961575771282146e+00 1.617412282633620413e-01 -1.418101512727022451e-01 -7.778242678236704788e-02
3.098641191528995087e+00 1.784984691148330527e-01 -1.768337384353758646e-01 -2.432143966355759107e-02
3.129320807286708028e+00 1.886566140702407579e-01 -1.843760708674354043e-01 3.995976130977511170e-02
3.160000423044420970e+00 1.923649649355324287e-01 -1.644935995887668867e-01 9.973031349082914221e-02
3.190680038802133467e+00 1.904760545075686040e-01 -1.253017980394443287e-01 1.434593557383155027e-01
3.221359654559846408e+00 1.846543412213969004e-01 -7.873319877134847544e-02 1.670278693605932452e-01
3.252039270317559350e+00 1.774464831527250985e-01 -3.520342682284302582e-02 1.739194443505357179e-01
3.282718886075272291e+00 1.721430626393301855e-01 4.877975675190965418e-04 1.721423715079511696e-01
3.313398501832984788e+00 1.721042627858974938e-01 3.031962654005839614e-02 1.694125069631774727e-01
3.344078117590697730e+00 1.794628713201770198e-01 6.089660015912121832e-02 1.688150652979245603e-01
3.374757733348410671e+00 1.940714948386034755e-01 9.904317950174358620e-02 1.668957569954236386e-01
3.405437349106123612e+00 2.137713920003459500e-01 1.471729177710708047e-01 1.550430272940876431e-01
3.436116964863836110e+00 2.355682518673524461e-01 2.005463293888987419e-01 1.235862899211710164e-01
3.466796580621549051e+00 2.565868189924229714e-01 2.477236903674601698e-01 6.685633037624154340e-02
3.497476196379261992e+00 2.744733236723814751e-01 2.741662454752619160e-01 -1.297980160720027878e-02
3.528155812136974490e+00 2.874777918408234489e-01 2.676097995314472011e-01 -1.050165510594137097e-01
3.558835427894687431e+00 2.944303229436581182e-01 2.230759022068730946e-01 -1.921623192077375475e-01
3.589515043652400372e+00 2.946971715317373008e-01 1.455006876332615995e-01 -2.562732385698012205e-01
3.620194659410113314e+00 2.881368494156867355e-01 4.889045065969350318e-02 -2.839587431749376889e-01
3.650874275167825811e+00 2.750570135374585390e-01 -4.773202334841260275e-02 -2.708837659277724685e-01
3.681553890925538752e+00 2.561709272167957407e-01 -1.260959372476002649e-01 -2.229873506743423328e-01
3.712233506683251694e+00 2.325555048992977714e-01 -1.740505110186508220e-01 -1.542351531691586453e-01
3.742913122440964635e+00 2.056180504332156267e-01 -1.886322536551000850e-01 -8.183309565789623208e-02
3.773592738198677132e+00 1.770852314777565384e-01 -1.758672776163106299e-01 -2.073354459223368529e-02
3.804272353956390074e+00 1.490321708366190157e-01 -1.476054574690283949e-01 2.057223540683022003e-02
3.834951969714103015e+00 1.239472412998961909e-01 -1.167619077923681276e-01 4.158816555874058490e-02
3.865631585471815956e+00 1.046803505964614411e-01 -9.282763122202114525e-02 4.838395067278539186e-02
3.896311201229528454e+00 9.372900434436384765e-02 -7.925191771005681007e-02 5.004257981623408402e-02
3.926990816987241395e+00 9.148435941112650904e-02 -7.344522168375929028e-02 5.454527870208040335e-02
3.957670432744954336e+00 9.534225867400006327e-02 -6.908029904937099119e-02 6.571193630010772890e-02
3.988350048502666834e+00 1.015172780003410768e-01 -5.951967838243571451e-02 8.223846799308671962e-02
4.019029664260379775e+00 1.070576354697627547e-01 -4.088739226977091551e-02 9.894219759917648183e-02
4.049709280018092272e+00 1.102864326221218716e-01 -1.360962844472180314e-02 1.094434796326873294e-01
4.080388895775805658e+00 1.105037947717583263e-01 1.800577544451125236e-02 1.090269723949111452e-01
4.111068511533518155e+00 1.076621852793539086e-01 4.773976738818852539e-02 9.649901941909865000e-02
4.141748127291231540e+00 1.021490774301734433e-01 6.998712662553047137e-02 7.440588771419594238e-02
4.172427743048944038e+00 9.464623000897681715e-02 8.173045668403913777e-02 4.772883096337628833e-02
4.203107358806656535e+00 8.602675358588139642e-02 8.322069220369823772e-02 2.179262998500361426e-02
4.233786974564369920e+00 7.725940769922887141e-02 7.725854459961230269e-02 3.651908889617612908e-04
4.264466590322082418e+00 6.928826487037074988e-02 6.758275344588733635e-02 -1.527858257231531902e-02
4.295146206079794915e+00 6.285753392556403529e-02 5.719497104500493451e-02 -2.607306768227476632e-02
4.325825821837508300e+00 5.829775728712958266e-02 4.737326275609030080e-02 -3.397649894488097982e-02
4.356505437595220798e+00 5.539635278181360284e-02 3.771894426607869805e-02 -4.057138332593056979e-02
4.387185053352934183e+00 5.350187951091801147e-02 2.705834483456697262e-02 -4.615514149056907517e-02
4.417864669110646680e+00 5.182057271348242122e-02 1.463158786724540888e-02 -4.971205480400500004e-02
4.448544284868359178e+00 4.969430946511323860e-02 9.151196294728250382e-04 -4.968588279660729468e-02
4.479223900626072563e+00 4.673416163980818189e-02 -1.233793034598472046e-02 -4.507612826045896692e-02
4.509903516383785060e+00 4.283491942243997791e-02 -2.282890899607724691e-02 -3.624460285305591140e-02
4.540583132141497558e+00 3.813842244193835912e-02 -2.880601509944195199e-02 -2.499505471989349123e-02
