# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.934306229832386329e-02 -1.934306229832386329e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.928917648226996864e-02 -1.903275115738458159e-02 3.134758801763343292e-03
6.135923151542564680e-02 1.916544129376182917e-02 -1.819371078974878556e-02 6.025199389531408177e-03
9.203884727313846326e-02 1.907721356582809530e-02 -1.705161378381743822e-02 8.554679701996026342e-03
1.227184630308512936e-01 1.916982908137740069e-02 -1.584161509057283382e-02 1.079470140075017119e-02
1.533980787885641239e-01 1.958111616156350820e-02 -1.467386086391309075e-02 1.296525809535480772e-02
1.840776945462769265e-01 2.038711292464783290e-02 -1.345865059359341830e-02 1.531336336674312369e-02
2.147573103039897569e-01 2.157031225187412346e-02 -1.193117162840041240e-02 1.797012838621371567e-02
2.454369260617025872e-01 2.303087074381770724e-02 -9.765236341277719681e-03 2.085811991569296378e-02
2.761165418194154175e-01 2.462986083282282801e-02 -6.720202874019241303e-03 2.369533536323644232e-02
3.067961575771282479e-01 2.623718211343498488e-02 -2.748678608963865937e-03 2.609280535239890883e-02
3.374757733348410782e-01 2.776617478314018575e-02 1.986389282019418098e-03 2.769503059590598323e-02
3.681553890925538530e-01 2.919034758931845358e-02 7.188626048406664137e-03 2.829134227853812023e-02
3.988350048502666834e-01 3.054226879145595028e-02 1.255265030116533599e-02 2.784351187164072275e-02
4.295146206079795137e-01 3.189466388381506645e-02 1.786462688044116245e-02 2.642204932786546695e-02
4.601942363656923440e-01 3.332591855334328390e-02 2.302204655772492267e-02 2.409568882016067601e-02
4.908738521234051744e-01 3.487876542218520254e-02 2.796314694746942012e-02 2.084683885317037758e-02
5.215534678811180047e-01 3.652773460954397700e-02 3.255159048629906876e-02 1.657315155658576483e-02
5.522330836388308350e-01 3.817020719746663099e-02 3.649422482440829035e-02 1.118643249490536978e-02
5.829126993965436654e-01 3.964562468132380030e-02 3.935882335199755028e-02 4.760103015549490418e-03
6.135923151542564957e-01 4.077562586483850920e-02 4.070720009140970513e-02 -2.361255044932861723e-03
6.442719309119693261e-01 4.141321743716255832e-02 4.029265630038543489e-02 -9.568512254092326544e-03
6.749515466696821564e-01 4.149147007255803155e-02 3.822564237239657603e-02 -1.613512795113872592e-02
7.056311624273949867e-01 4.106601502501394663e-02 3.501527890496797940e-02 -2.145571796146601706e-02
7.363107781851077061e-01 4.034604236028702107e-02 3.144930864527694520e-02 -2.527338758204335581e-02
7.669903939428205364e-01 3.970313092335567978e-02 2.835467994784368270e-02 -2.779119878976928429e-02
7.976700097005333667e-01 3.963763000214014232e-02 2.634238153380389150e-02 -2.961791092082742202e-02
8.283496254582461971e-01 4.068453225770433251e-02 2.564705973536291969e-02 -3.158258209771503539e-02
8.590292412159590274e-01 4.328612881880979091e-02 2.611642345136799825e-02 -3.451986926724131405e-02
8.897088569736718577e-01 4.772645245304118350e-02 2.731569020832377154e-02 -3.913652171815074771e-02
9.203884727313846881e-01 5.419484870078946498e-02 2.864027372746415917e-02 -4.600887247604952546e-02
9.510680884890975184e-01 6.291291986609083564e-02 2.932320061621235957e-02 -5.566134557930242643e-02
9.817477042468103487e-01 7.420297424119251528e-02 2.829642880157657442e-02 -6.859587089115778968e-02
1.012427320004523068e+00 8.845143114684464458e-02 2.398420574394892826e-02 -8.513761534572675260e-02
1.043106935762236009e+00 1.060082782947820434e-01 1.420401507774037876e-02 -1.050523727609009444e-01
1.073786551519948729e+00 1.270912412349890497e-01 -3.640824410556334125e-03 -1.270390805864938522e-01
1.104466167277661670e+00 1.517404835702134136e-01 -3.199919734105341473e-02 -1.483281015979457940e-01
1.135145783035374389e+00 1.798337528492051363e-01 -7.234563625194745384e-02 -1.646398723855491408e-01
1.165825398793087331e+00 2.111502287126833521e-01 -1.243601000470736379e-01 -1.706428568727689776e-01
1.196505014550800050e+00 2.454658751907888292e-01 -1.854338279139326473e-01 -1.608346708529163338e-01
1.227184630308512991e+00 2.826629414437873966e-01 -2.507018988347993749e-01 -1.305637636799736323e-01
1.257864246066225711e+00 3.228338274358233950e-01 -3.135568919772925844e-01 -7.683590066110683459e-02
1.288543861823938652e+00 3.663544160978460251e-01 -3.663520365805818524e-01 1.320411925776867343e-03
1.319223477581651371e+00 4.138985347000995740e-01 -4.009130269323794571e-01 1.028627331097453912e-01
1.349903093339364313e+00 4.663699782062737942e-01 -4.086431642353735016e-01 2.247481276803477424e-01
1.380582709097077032e+00 5.247463982196878263e-01 -3.803913846286773315e-01 3.614708521372267391e-01
1.411262324854789973e+00 5.898577766821025969e-01 -3.066729938848732906e-01 5.038689031226690762e-01
1.441941940612502693e+00 6.621483713294238349e-01 -1.790216973446467907e-01 6.374885861990394753e-01
1.472621556370215412e+00 7.414790867602006896e-01 7.010827093872453071e-03 7.414459416614276321e-01
1.503301172127928353e+00 8.270119804126123686e-01 2.474391551923871835e-01 7.891277971429397908e-01
1.533980787885641073e+00 9.171906903031780134e-01 5.252508444481444050e-01 7.518978074082482976e-01
1.564660403643354014e+00 1.009806300614741081e+00 8.077002633099563678e-01 6.060767685782518788e-01
1.595340019401066733e+00 1.102126349423470764e+00 1.047707659092196542e+00 3.420396923941074196e-01
1.626019635158779675e+00 1.191063792622711448e+00 1.190753682509275713e+00 -2.717766891026756823e-02
1.656699250916492394e+00 1.273366823089154831e+00 1.186919230273403958e+00 -4.611787147639812567e-01
1.687378866674205335e+00 1.345814872123476835e+00 1.005573881503508238e+00 -8.944489023229325042e-01
1.718058482431918055e+00 1.405409137253545993e+00 6.484741657405505011e-01 -1.246858492148508857e+00
1.748738098189630996e+00 1.449547704570719686e+00 1.565133715528184699e-01 -1.441073250168572129e+00
1.779417713947343715e+00 1.476176473464454242e+00 -3.934616118279302688e-01 -1.422773678709203349e+00
1.810097329705056657e+00 1.483908258552609993e+00 -9.026214636475741182e-01 -1.177819261671055662e+00
1.840776945462769376e+00 1.472103966959588117e+00 -1.272268829876921581e+00 -7.405552741435068587e-01
1.871456561220482318e+00 1.440911712256734756e+00 -1.428384411615516880e+00 -1.895904406145751397e-01
1.902136176978195037e+00 1.391262052840953833e+00 -1.341448400812843333e+00 3.689529612726949459e-01
1.932815792735907978e+00 1.324820068416247887e+00 -1.035257659174081191e+00 8.266739337851614078e-01
1.963495408493620697e+00 1.243897511773214282e+00 -5.815454698751194584e-01 1.099584415251198433e+00
1.994175024251333417e+00 1.151330586713206872e+00 -8.156070315102900703e-02 1.148438057364387088e+00
2.024854640009046136e+00 1.050330815290922981e+00 3.600953289627457088e-01 9.866743006731791832e-01
2.055534255766759077e+00 9.443178098765339090e-01 6.616066631271005916e-01 6.738046819040639512e-01
2.086213871524472019e+00 8.367434490320143636e-01 7.823881785351156637e-01 2.966619921501494339e-01
2.116893487282184960e+00 7.309169392387339093e-01 7.288197830213071216e-01 -5.532897923235192278e-02
2.147573103039897457e+00 6.298396310076169735e-01 5.464958718301590190e-01 -3.131137538665547670e-01
2.178252718797610399e+00 5.360576116821352821e-01 3.025377987146297687e-01 -4.425253025435507137e-01
2.208932334555323340e+00 4.515398583366531660e-01 6.439641484565414298e-02 -4.469243173309226380e-01
2.239611950313036282e+00 3.775916081509808064e-01 -1.179319464723193878e-01 -3.587024930876475670e-01
2.270291566070748779e+00 3.148182773618202202e-01 -2.212652808605411470e-01 -2.239469206012214553e-01
2.300971181828461720e+00 2.631638424289550193e-01 -2.486181034314798866e-01 -8.628004756666403374e-02
2.331650797586174662e+00 2.220494162230898239e-01 -2.206712448419551054e-01 2.470111222024000061e-02
2.362330413343887603e+00 1.906104996278641661e-01 -1.638305982823980711e-01 9.742637032557215082e-02
2.393010029101600100e+00 1.679573220511698106e-01 -9.984197781818214545e-02 1.350601402929598460e-01
2.423689644859313042e+00 1.532981907379368514e-01 -4.046175344189073542e-02 1.478620363444670960e-01
2.454369260617025983e+00 1.457946234867564250e-01 1.193135446566578883e-02 1.453055918341056296e-01
2.485048876374738480e+00 1.442536878340004713e-01 5.949342224444957583e-02 1.314140752102029852e-01
2.515728492132451422e+00 1.469912671970361462e-01 1.030816052158280288e-01 1.047884311282435976e-01
2.546408107890164363e+00 1.520381237136940455e-01 1.386211904061506184e-01 6.244803145626182106e-02
2.577087723647877304e+00 1.575003662279519379e-01 1.574238178031154844e-01 4.909882914132381732e-03
2.607767339405589802e+00 1.618348624954390469e-01 1.501242402387752695e-01 -6.044199873968562897e-02
2.638446955163302743e+00 1.639834048994020799e-01 1.121358428203080293e-01 -1.196499470847372376e-01
2.669126570921015684e+00 1.634176876821946955e-01 4.782112992200082680e-02 -1.562641359377718586e-01
2.699806186678728626e+00 1.601463523620074714e-01 -2.882863899517367282e-02 -1.575301994810588968e-01
2.730485802436441123e+00 1.547057998838101689e-01 -9.764306006818197770e-02 -1.199988222367658341e-01
2.761165418194154064e+00 1.481289327439400672e-01 -1.386759464809010634e-01 -5.206882544752652192e-02
2.791845033951867006e+00 1.418536392427662829e-01 -1.391092408133800806e-01 2.776822080620055394e-02
2.822524649709579947e+00 1.374962051968894317e-01 -9.797419902022684590e-02 9.646897309441052060e-02
2.853204265467292444e+00 1.364311095703338028e-01 -2.687130333828799053e-02 1.337586659454038651e-01
2.883883881225005386e+00 1.392885002392914018e-01 5.357319179744682303e-02 1.285737120081125173e-01
2.914563496982718327e+00 1.457030413163306615e-01 1.201834921450392613e-01 8.237295954772808071e-02
2.945243112740430824e+00 1.545301468728987881e-01 1.543071275524424690e-01 8.299197495777720437e-03
2.975922728498143766e+00 1.643252735514859064e-01 1.470744767850205581e-01 -7.329320436563765973e-02
3.006602344255856707e+00 1.737473957342001718e-01 1.012468473755877563e-01 -1.411992684857864278e-01
3.037281960013569648e+00 1.817638674520533626e-01 2.937069355904342594e-02 -1.793752097447927352e-01
3.067961575771282146e+00 1.877103362750853488e-01 -5.076043905416313673e-02 -1.807167622871055090e-01
3.098641191528995087e+00 1.912821352797789975e-01 -1.215486889555795064e-01 -1.476982447098524331e-01
3.129320807286708028e+00 1.925000480657505508e-01 -1.700907614332116402e-01 -9.014100831689508819e-02
3.160000423044420970e+00 1.916656741294479049e-01 -1.904783528776910206e-01 -2.130088553317778174e-02
3.190680038802133467e+00 1.893076756954156503e-01 -1.835921801883396709e-01 4.616608550541066724e-02
3.221359654559846408e+00 1.861140559100337988e-01 -1.549896982357198694e-01 1.030370576447312697e-01
3.252039270317559350e+00 1.828440897553984257e-01 -1.120337617818780579e-01 1.445005099627042766e-01
3.282718886075272291e+00 1.802178427997872256e-01 -6.145174353097170028e-02 1.694171009090065239e-01
