# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.025813120667703804e-02 -7.025813120667703804e-02 0.000000000000000000e+00
3.067961575771282340e-02 7.044133557701599824e-02 -6.985628820152282870e-02 9.059843076983289251e-03
6.135923151542564680e-02 7.090218213595651797e-02 -6.851096251984431507e-02 1.825835278016172888e-02
9.203884727313846326e-02 7.142786445198502643e-02 -6.592873991430080183e-02 2.748346909477818872e-02
1.227184630308512936e-01 7.181412886640445303e-02 -6.195377602537158190e-02 3.631802226221354790e-02
1.533980787885641239e-01 7.201596614504490734e-02 -5.681586475703150063e-02 4.425219646203969875e-02
1.840776945462769265e-01 7.225675840521228466e-02 -5.113248012340149834e-02 5.105397743231341462e-02
2.147573103039897569e-01 7.304273752279770437e-02 -4.559853508602765282e-02 5.706150280909735167e-02
2.454369260617025872e-01 7.503256111322978428e-02 -4.049401702114134582e-02 6.316739517110134261e-02
2.761165418194154175e-01 7.876095202683537633e-02 -3.528478836430882365e-02 7.041499324901906443e-02
3.067961575771282479e-01 8.434394362072748785e-02 -2.859420906671262738e-02 7.934905187426996576e-02
3.374757733348410782e-01 9.136635202543114120e-02 -1.866289569535520276e-02 8.943996090506353691e-02
3.681553890925538530e-01 9.901214341410538577e-02 -4.159416189109743471e-03 9.892473806091751920e-02
3.988350048502666834e-01 1.063112428765689149e-01 1.501594493738730995e-02 1.052454358136170054e-01
4.295146206079795137e-01 1.123691310025266149e-01 3.735433047534415102e-02 1.059786563275915694e-01
4.601942363656923440e-01 1.165410499898432151e-01 6.005696005095143009e-02 9.987481104950117483e-02
4.908738521234051744e-01 1.185681315317005102e-01 8.000383698334866123e-02 8.750878746080537063e-02
5.215534678811180047e-01 1.186931215263884176e-01 9.499173379359382441e-02 7.116619709219408618e-02
5.522330836388308350e-01 1.177443372816687761e-01 1.046729844889393995e-01 5.391934050113769000e-02
5.829126993965436654e-01 1.171197876518872971e-01 1.107000455674397033e-01 3.824322908685855865e-02
6.135923151542564957e-01 1.185324137697463115e-01 1.159103352368677509e-01 2.479369475006250670e-02
6.442719309119693261e-01 1.234195244041669248e-01 1.228380173989975788e-01 1.196664053251048597e-02
6.749515466696821564e-01 1.322499629768542906e-01 1.322049306618435227e-01 -3.450944229697131167e-03
7.056311624273949867e-01 1.442665759258384139e-01 1.421320088208484766e-01 -2.472522998711936329e-02
7.363107781851077061e-01 1.578453515867208057e-01 1.485499391935608815e-01 -5.336731755601797911e-02
7.669903939428205364e-01 1.710849218109505576e-01 1.467610343735511191e-01 -8.792752277111196002e-02
7.976700097005333667e-01 1.822722799688871465e-01 1.335383209294823403e-01 -1.240592636137703292e-01
8.283496254582461971e-01 1.901888667747199946e-01 1.088109556357008401e-01 -1.559871179895882809e-01
8.590292412159590274e-01 1.943555668118403246e-01 7.606493996025272264e-02 -1.788524846335517726e-01
8.897088569736718577e-01 1.952936663646386850e-01 4.109421659997425369e-02 -1.909211394376673365e-01
9.203884727313846881e-01 1.948021114674856613e-01 9.478246183361847474e-03 -1.945713891646926874e-01
9.510680884890975184e-01 1.960875967513175389e-01 -1.618442955782166057e-02 -1.954185503978453642e-01
9.817477042468103487e-01 2.033074443041995860e-01 -3.800717703239636647e-02 -1.997232370144578217e-01
1.012427320004523068e+00 2.201217526563133131e-01 -6.254616773745180769e-02 -2.110487216114936004e-01
1.043106935762236009e+00 2.479467581743142190e-01 -9.836269469401445753e-02 -2.276013514495991985e-01
1.073786551519948729e+00 2.855121708682435422e-01 -1.522120445530249500e-01 -2.415547416361041588e-01
1.104466167277661670e+00 3.298955623308089669e-01 -2.253625064864789862e-01 -2.409207809959372504e-01
1.135145783035374389e+00 3.777479517126806075e-01 -3.116528869129502333e-01 -2.134619242439960984e-01
1.165825398793087331e+00 4.260208122825538402e-01 -3.982899855794641564e-01 -1.511913353502680468e-01
1.196505014550800050e+00 4.723273661463204820e-01 -4.692737769683293370e-01 -5.362147947044181712e-02
1.227184630308512991e+00 5.151827772510783054e-01 -5.101728542830407109e-01 7.167253817766909563e-02
1.257864246066225711e+00 5.542298885331538028e-01 -5.122801515067747502e-01 2.115178850964334334e-01
1.288543861823938652e+00 5.904464189287907949e-01 -4.743219713514586489e-01 3.516328214474570557e-01
1.319223477581651371e+00 6.262529980941249352e-01 -4.008936350760037848e-01 4.811206823422039536e-01
1.349903093339364313e+00 6.653785634908687685e-01 -2.982879741274768182e-01 5.947713150817697247e-01
1.380582709097077032e+00 7.123287841634914352e-01 -1.697395424658278695e-01 6.918097892277395022e-01
