# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.852886538554142454e-02 -5.852886538554142454e-02 0.000000000000000000e+00
3.067961575771282340e-02 5.888412826897636981e-02 -5.856217675694033731e-02 6.149147541418955448e-03
6.135923151542564680e-02 5.980796800838016763e-02 -5.842888361443070167e-02 1.276943995885239901e-02
9.203884727313846326e-02 6.095874497398804520e-02 -5.759474612759936385e-02 1.997032316466338525e-02
1.227184630308512936e-01 6.199218593939085503e-02 -5.561571406644132826e-02 2.738473053407408306e-02
1.533980787885641239e-01 6.276550376373131457e-02 -5.249996060550921745e-02 3.439858426061966762e-02
1.840776945462769265e-01 6.347306899778344669e-02 -4.878475606113174406e-02 4.060637959795539847e-02
2.147573103039897569e-01 6.466341222850731374e-02 -4.522724187849434113e-02 4.621529479618231157e-02
2.454369260617025872e-01 6.708203526812200890e-02 -4.223949637514721328e-02 5.211357214476369099e-02
2.761165418194154175e-01 7.133527061464745023e-02 -3.937869165794414400e-02 5.948142127566845294e-02
3.067961575771282479e-01 7.754061620247644504e-02 -3.522458953912502300e-02 6.907803886084142031e-02
3.374757733348410782e-01 8.521798833610559620e-02 -2.780983987188835951e-02 8.055258122712491420e-02
3.681553890925538530e-01 9.346786725348678326e-02 -1.548442815560348990e-02 9.217632393195869522e-02
3.988350048502666834e-01 1.012541411848195405e-01 2.164581723140266908e-03 1.012310016400075896e-01
4.295146206079795137e-01 1.076422793866533972e-01 2.381020392942824124e-02 1.049758758019831428e-01
4.601942363656923440e-01 1.119712498821177488e-01 4.662832006651818073e-02 1.018005921787196177e-01
4.908738521234051744e-01 1.139903007487102216e-01 6.728068279205132174e-02 9.201683752344878842e-02
5.215534678811180047e-01 1.139828789037246881e-01 8.325730817230371505e-02 7.784803991805583356e-02
5.522330836388308350e-01 1.128651166799171518e-01 9.396730611853126858e-02 6.251943652975089361e-02
5.829126993965436654e-01 1.121787491388915731e-01 1.010153171058598975e-01 4.878501274335114712e-02
6.135923151542564957e-01 1.138064708602427866e-01 1.074346013889008605e-01 3.754622796062571238e-02
6.442719309119693261e-01 1.192875481778067903e-01 1.161335713745241943e-01 2.724908714197351450e-02
6.749515466696821564e-01 1.290382081156623562e-01 1.282272731365156349e-01 1.444387682287574456e-02
7.056311624273949867e-01 1.421334218295647600e-01 1.420579162573343823e-01 -4.632281252813437965e-03
7.363107781851077061e-01 1.567860166502295649e-01 1.534639309997932466e-01 -3.210415703825220818e-02
7.669903939428205364e-01 1.710050285339426990e-01 1.573135357686228086e-01 -6.704603827124158699e-02
7.976700097005333667e-01 1.830644228382001526e-01 1.497072004445999804e-01 -1.053581370570099984e-01
8.283496254582461971e-01 1.917957210318727568e-01 1.298608397008780557e-01 -1.411444682526339922e-01
8.590292412159590274e-01 1.968271828776015087e-01 1.007198085841101570e-01 -1.691048789311325740e-01
8.897088569736718577e-01 1.988420547947319650e-01 6.785111702711428550e-02 -1.869074334347460564e-01
9.203884727313846881e-01 1.998327822672450738e-01 3.693143071296571545e-02 -1.963904536736997275e-01
9.510680884890975184e-01 2.031483244492713058e-01 1.085742642977005623e-02 -2.028579749920335906e-01
9.817477042468103487e-01 2.128902955572649913e-01 -1.218642825315320588e-02 -2.125412169648286942e-01
1.012427320004523068e+00 2.324028483628183817e-01 -3.864655363851621228e-02 -2.291670303927169361e-01
1.043106935762236009e+00 2.627196011983679580e-01 -7.724882094087892614e-02 -2.511059706918047918e-01
1.073786551519948729e+00 3.023618002362458146e-01 -1.351265810251122412e-01 -2.704874587528360297e-01
1.104466167277661670e+00 3.483799997597458176e-01 -2.139505388778114303e-01 -2.749432507745818710e-01
1.135145783035374389e+00 3.974673605123036357e-01 -3.077462869541637280e-01 -2.515403059919882889e-01
1.165825398793087331e+00 4.466219243028263230e-01 -4.035053195706912454e-01 -1.914539118067682955e-01
1.196505014550800050e+00 4.934981538550249902e-01 -4.845638104899308019e-01 -9.347909617554218953e-02
1.227184630308512991e+00 5.366547073433183268e-01 -5.355017982723188075e-01 3.515819905591511391e-02
1.257864246066225711e+00 5.757850538163685750e-01 -5.465510847965574515e-01 1.811362468034067030e-01
1.288543861823938652e+00 6.119206631061415713e-01 -5.155868524946078946e-01 3.295710780256110861e-01
1.319223477581651371e+00 6.475254118177868889e-01 -4.467626191412776282e-01 4.687134744039478385e-01
1.349903093339364313e+00 6.863410850879593239e-01 -3.463742715561580754e-01 5.925275935208910161e-01
1.380582709097077032e+00 7.328382836870090955e-01 -2.179648286101104615e-01 6.996736978951590968e-01
1.411262324854789973e+00 7.912603403110335387e-01 -5.933657026459481648e-02 7.890323805639204435e-01
1.441941940612502693e+00 8.645238208932083390e-01 1.363834218639695117e-01 8.536984239955386355e-01
1.472621556370215412e+00 9.534334903567550645e-01 3.751043401865354343e-01 8.765455803933348555e-01
1.503301172127928353e+00 1.056518178995687007e+00 6.532021579577523829e-01 8.303960521267536032e-01
1.533980787885641073e+00 1.170411199649663336e+00 9.494828060474124198e-01 6.843572000685721468e-01
1.564660403643354014e+00 1.290467683270124288e+00 1.221770033469564476e+00 4.154333001582098950e-01
1.595340019401066733e+00 1.411360920130866559e+00 1.411189824663709569e+00 2.197556912244707020e-02
1.626019635158779675e+00 1.527555791972297961e+00 1.454723980710273867e+00 -4.660523978423126712e-01
1.656699250916492394e+00 1.633661735549952088e+00 1.303423555486100005e+00 -9.848541522499945078e-01
1.687378866674205335e+00 1.724698986553266034e+00 9.409760650123194514e-01 -1.445389442085348364e+00
1.718058482431918055e+00 1.796306549969423516e+00 3.962204449784213489e-01 -1.752063520664748575e+00
1.748738098189630996e+00 1.844907196805275706e+00 -2.556851708761209707e-01 -1.827103625473374127e+00
1.779417713947343715e+00 1.867834746870833174e+00 -9.055802631669820357e-01 -1.633625118740664295e+00
1.810097329705056657e+00 1.863423526659892415e+00 -1.433980627654537043e+00 -1.189977646521602317e+00
1.840776945462769376e+00 1.831057986711329244e+00 -1.740058693385553967e+00 -5.700606057891605127e-01
1.871456561220482318e+00 1.771180644998630704e+00 -1.767658713905388979e+00 1.116402632212583207e-01
1.902136176978195037e+00 1.685257822185541432e+00 -1.520478755349367050e+00 7.268000287347228250e-01
1.932815792735907978e+00 1.575704455765306378e+00 -1.061551812647144599e+00 1.164453640547446378e+00
1.963495408493620697e+00 1.445771271520210455e+00 -4.968466973785037322e-01 1.357717912107385905e+00
1.994175024251333417e+00 1.299399552377926037e+00 5.234024077764527771e-02 1.298344983398207919e+00
2.024854640009046136e+00 1.141050594998245904e+00 4.801296087919524891e-01 1.035119326023399955e+00
2.055534255766759077e+00 9.755187624506823640e-01 7.210432377789414149e-01 6.570643082275673397e-01
2.086213871524472019e+00 8.077392808617028797e-01 7.623383481937490158e-01 2.669887426844195777e-01
2.116893487282184960e+00 6.426062294735088720e-01 6.409279680059443152e-01 -4.641234734347301355e-02
2.147573103039897457e+00 4.848288207064400668e-01 4.269564584155061682e-01 -2.297110532927955084e-01
2.178252718797610399e+00 3.389040931584052507e-01 2.000261792488240709e-01 -2.735790781010827288e-01
2.208932334555323340e+00 2.095512834499952681e-01 2.584748389857934384e-02 -2.079510711000377154e-01
2.239611950313036282e+00 1.051498522798685054e-01 -5.975197499221519826e-02 -8.652278843754318549e-02
2.270291566070748779e+00 6.478438923707152686e-02 -5.552218893894051571e-02 3.338118668125777261e-02
2.300971181828461720e+00 1.093676956359479480e-01 1.174115399699663352e-02 1.087356342306245033e-01
2.331650797586174662e+00 1.579736952475249145e-01 1.012979408175011115e-01 1.212205245669722153e-01
2.362330413343887603e+00 1.910785723780985268e-01 1.744773939856378298e-01 7.790160338550643215e-02
2.393010029101600100e+00 2.070954074200859474e-01 2.070660707046893256e-01 3.485704722432661929e-03
2.423689644859313042e+00 2.073769941239254067e-01 1.945135737515213126e-01 -7.190053767730858469e-02
2.454369260617025983e+00 1.944395787562761824e-01 1.493591904699667627e-01 -1.244933010610382584e-01
2.485048876374738480e+00 1.716193829195541143e-01 9.307449715670182422e-02 -1.441885937677306051e-01
2.515728492132451422e+00 1.431427382061067621e-01 4.616991130822721556e-02 -1.354923717075335876e-01
2.546408107890164363e+00 1.146678862776300128e-01 2.046767741015790426e-02 -1.128264079230266170e-01
2.577087723647877304e+00 9.423896313286914128e-02 1.607123750780203864e-02 -9.285848101991593662e-02
2.607767339405589802e+00 9.033694401037799249e-02 2.343884116991448718e-02 -8.724324717561635079e-02
2.638446955163302743e+00 1.026890687020863280e-01 2.897842202092556704e-02 -9.851546014752680935e-02
2.669126570921015684e+00 1.221780580387532428e-01 2.145403303156221200e-02 -1.202796837907449540e-01
2.699806186678728626e+00 1.410569069004183052e-01 -3.445947687288794872e-03 -1.410148092536728792e-01
2.730485802436441123e+00 1.552619100052792522e-01 -4.195023368153576876e-02 -1.494872522744062349e-01
2.761165418194154064e+00 1.629942093783133539e-01 -8.447281270200392156e-02 -1.393967582301454400e-01
2.791845033951867006e+00 1.637724040517672119e-01 -1.199615908345784410e-01 -1.114926771287356316e-01
2.822524649709579947e+00 1.580090960463452765e-01 -1.403246589662515975e-01 -7.263514658475159202e-02
2.853204265467292444e+00 1.468164015638974140e-01 -1.431588261360128289e-01 -3.256695054085412266e-02
2.883883881225005386e+00 1.319193638990953654e-01 -1.319193626333879654e-01 1.827409724572067018e-05
2.914563496982718327e+00 1.156410342422711374e-01 -1.138177438322405255e-01 2.045409468934279024e-02
2.945243112740430824e+00 1.008997127883667355e-01 -9.661684376821320919e-02 2.908500543310212072e-02
2.975922728498143766e+00 9.093113501319483039e-02 -8.577569761943637516e-02 3.018279332147513067e-02
3.006602344255856707e+00 8.814642840344759367e-02 -8.303052719748317545e-02 2.959264086883963210e-02
3.037281960013569648e+00 9.254319216837676720e-02 -8.671655403651921945e-02 3.231844168187190947e-02
3.067961575771282146e+00 1.019662689007384410e-01 -9.332331530562235078e-02 4.108380233017740885e-02
3.098641191528995087e+00 1.141414561533730665e-01 -9.929815886402172664e-02 5.628630081136875435e-02
3.129320807286708028e+00 1.279358118137806921e-01 -1.021524530880180137e-01 7.702238812547548830e-02
3.160000423044420970e+00 1.433886837566883121e-01 -1.004201266605703746e-01 1.023528836474604242e-01
3.190680038802133467e+00 1.612424216726072723e-01 -9.270257071683894734e-02 1.319293444588290343e-01
3.221359654559846408e+00 1.823651555659610013e-01 -7.656811867082655154e-02 1.655124562315700154e-01
3.252039270317559350e+00 2.072566914545400374e-01 -4.820030191383278817e-02 2.015739741338096747e-01
3.282718886075272291e+00 2.357841753046719391e-01 -3.343641461512172723e-03 2.357604661216149144e-01
3.313398501832984788e+00 2.671773490290270670e-01 6.056545128567476094e-02 2.602221396129489883e-01
3.344078117590697730e+00 3.001880391964679151e-01 1.418694134904055493e-01 2.645485369313322899e-01
3.374757733348410671e+00 3.332952329128018865e-01 2.329208287914421305e-01 2.383979861439826653e-01
3.405437349106123612e+00 3.648877787418269847e-01 3.201130541612398628e-01 1.751305902197203834e-01
3.436116964863836110e+00 3.934064889066938298e-01 3.861544534724791755e-01 7.518911874243165705e-02
3.466796580621549051e+00 4.174496509628967678e-01 4.141824479224400224e-01 -5.212591411207663505e-02
3.497476196379261992e+00 4.358498581166315167e-01 3.925457700633306901e-01 -1.894014710229952603e-01
3.528155812136974490e+00 4.477279068311011967e-01 3.187070324339218996e-01 -3.144616129713168617e-01
3.558835427894687431e+00 4.525270427534954232e-01 2.008964637555317179e-01 -4.054890075868225474e-01
3.589515043652400372e+00 4.500294725343753632e-01 5.683219518914268964e-02 -4.464265087778180874e-01
3.620194659410113314e+00 4.403566784732058648e-01 -9.022921568795345959e-02 -4.310135646499901330e-01
3.650874275167825811e+00 4.239552833291290734e-01 -2.169765414868442266e-01 -3.642241929184411586e-01
3.681553890925538752e+00 4.015706977421910073e-01 -3.054398067415312612e-01 -2.607020324869873118e-01
3.712233506683251694e+00 3.742113235543387262e-01 -3.467378661319356348e-01 -1.407372262998027035e-01
3.742913122440964635e+00 3.431064884212709498e-01 -3.421894095823885817e-01 -2.506931124766003174e-02
3.773592738198677132e+00 3.096612406856005806e-01 -3.016658017278379678e-01 6.991300344604120531e-02
3.804272353956390074e+00 2.754099313783536229e-01 -2.399167678387355840e-01 1.352426515994259726e-01
3.834951969714103015e+00 2.419665084151751688e-01 -1.721534470221251223e-01 1.700322965587167112e-01
3.865631585471815956e+00 2.109594790764168781e-01 -1.102656033757008491e-01 1.798482652804463677e-01
3.896311201229528454e+00 1.839204809672385088e-01 -6.068982519467264886e-02 1.736188020839345147e-01
3.926990816987241395e+00 1.620761533794461140e-01 -2.429658663374758762e-02 1.602446734597644529e-01
3.957670432744954336e+00 1.460221386225944162e-01 2.027087004227052635e-03 1.460080678804889787e-01
3.988350048502666834e+00 1.354070650839981071e-01 2.291961217015354296e-02 1.334532302068100751e-01
4.019029664260379775e+00 1.289218911718895133e-01 4.219021857360082811e-02 1.218229842026877507e-01
4.049709280018092272e+00 1.247324644280270872e-01 6.135442617767543350e-02 1.085993649645209252e-01
4.080388895775805658e+00 1.210730783469434885e-01 7.941396445956608319e-02 9.138989303648348272e-02
4.111068511533518155e+00 1.166355201267378766e-01 9.374229491289624849e-02 6.939903961654125819e-02
4.141748127291231540e+00 1.106780065740275432e-01 1.015612489452952238e-01 4.398788301194150874e-02
4.172427743048944038e+00 1.029772829712114757e-01 1.013512574686785128e-01 1.822754557395477037e-02
4.203107358806656535e+00 9.374401565810316916e-02 9.364695508837572735e-02 -4.264771316545619244e-03
4.233786974564369920e+00 8.356215169493282080e-02 8.096123261632920398e-02 -2.068603415668639200e-02
4.264466590322082418e+00 7.337173625437064250e-02 6.692959893042998987e-02 -3.006393966187253380e-02
4.295146206079794915e+00 6.447100532793102745e-02 5.504434539740390986e-02 -3.356531793034903816e-02
4.325825821837508300e+00 5.839769081799051770e-02 4.746634711179000682e-02 -3.401817432985902029e-02
4.356505437595220798e+00 5.639840873330585064e-02 4.433848854773676101e-02 -3.485511355527686622e-02
4.387185053352934183e+00 5.857811818862397601e-02 4.382020688414572235e-02 -3.887396814258955308e-02
4.417864669110646680e+00 6.375236123730698701e-02 4.280119156033117267e-02 -4.724850859390079816e-02
4.448544284868359178e+00 7.028619916660187872e-02 3.802660512970278128e-02 -5.911114189048363721e-02
4.479223900626072563e+00 7.681604744113257333e-02 2.724674532752192901e-02 -7.182144535955463371e-02
4.509903516383785060e+00 8.241694791691307753e-02 1.001926851306162401e-02 -8.180566950036123608e-02
4.540583132141497558e+00 8.652437738272042433e-02 -1.207536376255535782e-02 -8.567761359578933422e-02
4.571262747899210943e+00 8.883411298017142299e-02 -3.584673365855043509e-02 -8.128044854075799908e-02
4.601942363656923440e+00 8.923138878676635521e-02 -5.738086419639031044e-02 -6.833503617391639695e-02
4.632621979414635938e+00 8.774552592150730579e-02 -7.311057697888646845e-02 -4.851928331144460260e-02
4.663301595172349323e+00 8.452022463510616701e-02 -8.074274525025269822e-02 -2.498554505752482308e-02
4.693981210930061820e+00 7.979304868508718673e-02 -7.977912030606848504e-02 -1.490832536049909634e-03
4.724660826687775206e+00 7.388081068313646915e-02 -7.150592131246226446e-02 1.858164159737793822e-02
4.755340442445487703e+00 6.716941835477828471e-02 -5.849399333066060414e-02 3.301792704504416531e-02
4.786020058203200200e+00 6.010715683407503312e-02 -4.379413845449300208e-02 4.116969443297812531e-02
4.816699673960913586e+00 5.319831513457057987e-02 -3.008953614182098904e-02 4.387118129167631025e-02
4.847379289718626083e+00 4.698663281972354638e-02 -1.905936901375424736e-02 4.294745762595343630e-02
4.878058905476338580e+00 4.200289980542346729e-02 -1.112224863187598854e-02 4.050356993445362874e-02
4.908738521234051966e+00 3.864282175518105045e-02 -5.595964260140156091e-03 3.823549211402840070e-02
4.939418136991764463e+00 3.699400651102975612e-02 -1.175947810724081938e-03 3.697531155358350224e-02
4.970097752749476960e+00 3.675151585532780707e-02 3.458077910211928771e-03 3.658846286510702289e-02
5.000777368507190346e+00 3.734593927056324703e-02 9.121542457879562235e-03 3.621486770912878128e-02
5.031456984264902843e+00 3.818024267805757155e-02 1.585561021628360823e-02 3.473226965841207103e-02
5.062136600022616229e+00 3.879071072497079081e-02 2.297282614296439901e-02 3.125649528583612086e-02
5.092816215780328726e+00 3.889189218953938848e-02 2.936671067830842752e-02 2.549854078215615591e-02
5.123495831538041223e+00 3.836075061209705261e-02 3.394629463843156642e-02 1.786606469943218325e-02
5.154175447295754608e+00 3.720599942297320162e-02 3.602521455370760045e-02 9.298941306493790221e-03
5.184855063053467106e+00 3.553967636749561648e-02 3.552761255237896904e-02 9.259279855210589662e-04
5.215534678811179603e+00 3.355261069393586371e-02 3.295335484712098861e-02 -6.313009480314974060e-03
5.246214294568892988e+00 3.148935530200428629e-02 2.913991709189777540e-02 -1.193502112328206390e-02
5.276893910326605486e+00 2.961514787973102900e-02 2.493110009417814563e-02 -1.598428077932841779e-02
5.307573526084318871e+00 2.816788126940631201e-02 2.088758638528508821e-02 -1.889810229109324669e-02
5.338253141842031368e+00 2.729838947873454436e-02 1.714538257273225119e-02 -2.124236155815388549e-02
5.368932757599743866e+00 2.702374524498457262e-02 1.346085566251375293e-02 -2.343263049464993156e-02
5.399612373357457251e+00 2.722736855679455670e-02 9.404771667103061297e-03 -2.555151401418672211e-02
5.430291989115169748e+00 2.771071364009086713e-02 4.613294179474635229e-03 -2.732400349979379264e-02
5.460971604872882246e+00 2.826230409801263818e-02 -1.008965917743184521e-03 -2.824428828463153990e-02
5.491651220630595631e+00 2.870837385185456489e-02 -7.208657521952015722e-03 -2.778859452993352394e-02
5.522330836388308128e+00 2.893510409151517707e-02 -1.344414714493485409e-02 -2.562216142974979918e-02
5.553010452146020626e+00 2.889007088078941396e-02 -1.904706729863064538e-02 -2.172200319534254437e-02
5.583690067903734011e+00 2.857262025721361148e-02 -2.341072088632150175e-02 -1.638086615370762042e-02
5.614369683661446508e+00 2.801916852501019559e-02 -2.613157608203678373e-02 -1.011012048897762423e-02
5.645049299419159894e+00 2.728639939692427754e-02 -2.706139366655314904e-02 -3.496936498180459527e-03
5.675728915176872391e+00 2.643424825416478691e-02 -2.627240545202129754e-02 2.920649333181901328e-03
5.706408530934584888e+00 2.551077178012731150e-02 -2.397474244626470255e-02 8.718440310801798404e-03
5.737088146692298274e+00 2.454149070639743968e-02 -2.043802516891237223e-02 1.358572387792039531e-02
5.767767762450010771e+00 2.352556546727895687e-02 -1.595431801932105376e-02 1.728907074118200479e-02
5.798447378207723268e+00 2.243969253377919512e-02 -1.084751749813997468e-02 1.964360366984868600e-02
5.829126993965436654e+00 2.124838471482562094e-02 -5.502556990324329947e-03 2.052354061943182165e-02
5.859806609723149151e+00 1.991760954745930290e-02 -3.733352927453168412e-04 1.991411034528614912e-02
5.890486225480861648e+00 1.842858818924846334e-02 4.061461242924119773e-03 1.797546648132207145e-02
5.921165841238575034e+00 1.678978469495238934e-02 7.395702393928366147e-03 1.507317007809902236e-02
5.951845456996287531e+00 1.504683588082147451e-02 9.413417430632483110e-03 1.173860478511143737e-02
5.982525072754000917e+00 1.329129955754392890e-02 1.017347005775214204e-02 8.553312277263590974e-03
